Genotype,Block,Treatment,Yield
CV1,I,I,42.9
CV1,II,I,41.6
CV1,III,I,28.9
CV1,IV,I,30.8
CV2,I,I,53.3
CV2,II,I,69.6
CV2,III,I,45.4
CV2,IV,I,35.1
CV3,I,I,62.3
CV3,II,I,58.5
CV3,III,I,44.6
CV3,IV,I,50.3
CV4,I,I,75.4
CV4,II,I,65.6
CV4,III,I,54
CV4,IV,I,52.7
CV1,I,II,53.8
CV1,II,II,58.5
CV1,III,II,43.9
CV1,IV,II,46.3
CV2,I,II,57.6
CV2,II,II,69.6
CV2,III,II,42.4
CV2,IV,II,51.9
CV3,I,II,63.4
CV3,II,II,50.4
CV3,III,II,45
CV3,IV,II,46.7
CV4,I,II,70.3
CV4,II,II,67.3
CV4,III,II,57.6
CV4,IV,II,58.5
CV1,I,III,49.5
CV1,II,III,53.8
CV1,III,III,40.7
CV1,IV,III,39.4
CV2,I,III,59.8
CV2,II,III,65.8
CV2,III,III,41.4
CV2,IV,III,45.4
CV3,I,III,64.5
CV3,II,III,46.1
CV3,III,III,62.6
CV3,IV,III,50.3
CV4,I,III,68.8
CV4,II,III,65.3
CV4,III,III,45.6
CV4,IV,III,51
CV1,I,IV,44.4
CV1,II,IV,41.8
CV1,III,IV,28.3
CV1,IV,IV,34.7
CV2,I,IV,64.1
CV2,II,IV,57.4
CV2,III,IV,44.1
CV2,IV,IV,51.6
CV3,I,IV,63.6
CV3,II,IV,56.1
CV3,III,IV,52.7
CV3,IV,IV,51.8
CV4,I,IV,71.6
CV4,II,IV,69.4
CV4,III,IV,56.6
CV4,IV,IV,47.4
