Genotype,Block,Trt_categorical,Trt_numerical,Yield
CV1,I,I,0,42.9
CV1,II,I,0,41.6
CV1,III,I,0,28.9
CV1,IV,I,0,30.8
CV1,I,II,50,53.8
CV1,II,II,50,58.5
CV1,III,II,50,43.9
CV1,IV,II,50,46.3
CV1,I,III,150,49.5
CV1,II,III,150,53.8
CV1,III,III,150,40.7
CV1,IV,III,150,39.4
CV1,I,IV,200,44.4
CV1,II,IV,200,41.8
CV1,III,IV,200,28.3
CV1,IV,IV,200,34.7
CV2,I,I,0,53.3
CV2,II,I,0,69.6
CV2,III,I,0,45.4
CV2,IV,I,0,35.1
CV2,I,II,50,57.6
CV2,II,II,50,69.6
CV2,III,II,50,42.4
CV2,IV,II,50,51.9
CV2,I,III,150,59.8
CV2,II,III,150,65.8
CV2,III,III,150,41.4
CV2,IV,III,150,45.4
CV2,I,IV,200,64.1
CV2,II,IV,200,57.4
CV2,III,IV,200,44.1
CV2,IV,IV,200,51.6
CV3,I,I,0,62.3
CV3,II,I,0,58.5
CV3,III,I,0,44.6
CV3,IV,I,0,50.3
CV3,I,II,50,63.4
CV3,II,II,50,50.4
CV3,III,II,50,45
CV3,IV,II,50,46.7
CV3,I,III,150,64.5
CV3,II,III,150,46.1
CV3,III,III,150,62.6
CV3,IV,III,150,50.3
CV3,I,IV,200,63.6
CV3,II,IV,200,56.1
CV3,III,IV,200,52.7
CV3,IV,IV,200,51.8
CV4,I,I,0,75.4
CV4,II,I,0,65.6
CV4,III,I,0,54
CV4,IV,I,0,52.7
CV4,I,II,50,70.3
CV4,II,II,50,67.3
CV4,III,II,50,57.6
CV4,IV,II,50,58.5
CV4,I,III,150,68.8
CV4,II,III,150,65.3
CV4,III,III,150,45.6
CV4,IV,III,150,51
CV4,I,IV,200,71.6
CV4,II,IV,200,69.4
CV4,III,IV,200,56.6
CV4,IV,IV,200,47.4
