Year,Date,planting_date,Max,Min,Avg
2024,1-Jan,NA,3.35,-5.13,-1.72
2024,2-Jan,NA,2.61,-5.37,-2.12
2024,3-Jan,NA,3.13,-3.9,-1.13
2024,4-Jan,NA,3.94,-4.01,-0.91
2024,5-Jan,NA,3.08,-4.11,-1.13
2024,6-Jan,NA,3.19,-2.45,-0.01
2024,7-Jan,NA,3.24,-3.87,-0.7
2024,8-Jan,NA,3.63,-3.38,-0.02
2024,9-Jan,NA,0.94,-0.58,0.27
2024,10-Jan,NA,0.08,-5.31,-2.1
2024,11-Jan,NA,1.51,-2.97,-0.88
2024,12-Jan,NA,1.78,-7.18,-0.74
2024,13-Jan,NA,-7.27,-18.06,-11.36
2024,14-Jan,NA,-19.85,-25.84,-22.3
2024,15-Jan,NA,-15.74,-27.46,-20.4
2024,16-Jan,NA,-13.51,-22.3,-17.69
2024,17-Jan,NA,-3.17,-19.38,-10.46
2024,18-Jan,NA,-0.13,-6.92,-4.17
2024,19-Jan,NA,-7.89,-15.66,-12.8
2024,20-Jan,NA,-9.77,-20.42,-15.86
2024,21-Jan,NA,-5.14,-18.92,-11.73
2024,22-Jan,NA,0.36,-8.6,-2.49
2024,23-Jan,NA,2.6,0.26,1.13
2024,24-Jan,NA,4.47,1.03,2.43
2024,25-Jan,NA,3.26,-1.02,1.4
2024,26-Jan,NA,4.51,-0.06,1.61
2024,27-Jan,NA,3.21,0.39,1.4
2024,28-Jan,NA,3.7,-1.43,0.79
2024,29-Jan,NA,5.31,-2.22,0.08
2024,30-Jan,NA,3.9,-2.52,0.87
2024,31-Jan,NA,7.04,-2.15,1.14
2024,1-Feb,NA,10.18,-0.76,3.4
2024,2-Feb,NA,8.55,-2.15,2.4
2024,3-Feb,NA,8.94,-2.57,1.39
2024,4-Feb,NA,10.48,-2.7,2.07
2024,5-Feb,NA,9.45,-2.67,1.33
2024,6-Feb,NA,7.08,-1.87,1.3
2024,7-Feb,NA,9.51,-2.42,3.55
2024,8-Feb,NA,14.48,4.91,10.31
2024,9-Feb,NA,17.25,5.69,11.26
2024,10-Feb,NA,7.03,-0.56,3.05
2024,11-Feb,NA,7.74,-3.88,1.15
2024,12-Feb,NA,6.01,-3.89,0.26
2024,13-Feb,NA,8.89,-3.28,2.06
2024,14-Feb,NA,10.26,-2.71,3.18
2024,15-Feb,NA,9.2,-1.99,4.72
2024,16-Feb,NA,-0.57,-7.04,-2.52
2024,17-Feb,NA,-3.12,-11.34,-7.4
2024,18-Feb,NA,4.49,-7,-2.04
2024,19-Feb,NA,8.3,-4.38,0.9
2024,20-Feb,NA,12.18,-1.94,3.44
2024,21-Feb,NA,16.26,-0.08,8.7
2024,22-Feb,NA,15.59,5.43,10.87
