location,trt,block,yield
Cordoba,0,1,750
Cordoba,24,1,1250
Cordoba,36,1,1550
Cordoba,48,1,1120
Cordoba,0,2,780
Cordoba,24,2,1280
Cordoba,36,2,1520
Cordoba,48,2,1130
Cordoba,0,3,790
Cordoba,24,3,1300
Cordoba,36,3,1525
Cordoba,48,3,1140
Cordoba,0,4,800
Cordoba,24,4,1250
Cordoba,36,4,1555
Cordoba,48,4,1130
Granada,0,1,1070
Granada,24,1,1490
Granada,36,1,1790
Granada,48,1,1345
Granada,0,2,1066
Granada,24,2,1510
Granada,36,2,1700
Granada,48,2,1355
Granada,0,3,948
Granada,24,3,1560
Granada,36,3,1830
Granada,48,3,1368
Granada,0,4,960
Granada,24,4,1550
Granada,36,4,1866
Granada,48,4,1356
Leon,0,1,800
Leon,24,1,1250
Leon,36,1,1550
Leon,48,1,910
Leon,0,2,780
Leon,24,2,1180
Leon,36,2,1540
Leon,48,2,890
Leon,0,3,663.6
Leon,24,3,1260
Leon,36,3,1480
Leon,48,3,900
Leon,0,4,750
Leon,24,4,1195
Leon,36,4,1525
Leon,48,4,900
