Date,Direction,Days_from_sowiing,Cumulative_PAR
2019-05-31,Zone1,1,91.16477855
2019-05-31,Zone3,1,81.39287636
2019-05-31,Zone2,1,48.79001284
2019-05-31,Zone4,1,67.66516859
2019-06-01,Zone1,2,160.311949
2019-06-01,Zone3,2,139.7550068
2019-06-01,Zone2,2,86.72786638
2019-06-01,Zone4,2,118.4279784
2019-06-02,Zone1,3,256.4464085
2019-06-02,Zone3,3,227.6708548
2019-06-02,Zone2,3,137.0805077
2019-06-02,Zone4,3,189.7154479
2019-06-03,Zone1,4,357.5361692
2019-06-03,Zone3,4,320.1038025
2019-06-03,Zone2,4,189.811858
2019-06-03,Zone4,4,264.9408694
2019-06-04,Zone1,5,450.7571237
2019-06-04,Zone3,5,403.8697572
2019-06-04,Zone2,5,239.8105913
2019-06-04,Zone4,5,334.7504214
2019-06-05,Zone1,6,532.351417
2019-06-05,Zone3,6,475.7055508
2019-06-05,Zone2,6,283.8755899
2019-06-05,Zone4,6,396.7782985
2019-06-06,Zone1,7,611.168475
2019-06-06,Zone3,7,543.9860864
2019-06-06,Zone2,7,326.0909476
2019-06-06,Zone4,7,455.921587
2019-06-07,Zone1,8,707.5760946
2019-06-07,Zone3,8,632.5469827
2019-06-07,Zone2,8,376.2373464
2019-06-07,Zone4,8,527.7680204
2019-06-08,Zone1,9,782.0067218
2019-06-08,Zone3,9,697.9664014
2019-06-08,Zone2,9,416.1581007
2019-06-08,Zone4,9,585.1117662
2019-06-09,Zone1,10,851.5759054
2019-06-09,Zone3,10,758.2406947
2019-06-09,Zone2,10,455.2935315
2019-06-09,Zone4,10,637.9245208
2019-06-10,Zone1,11,931.6127802
2019-06-10,Zone3,11,831.2573597
2019-06-10,Zone2,11,496.7055687
2019-06-10,Zone4,11,698.3662925
2019-06-11,Zone1,12,1029.760729
2019-06-11,Zone3,12,921.3901781
2019-06-11,Zone2,12,547.0876086
2019-06-11,Zone4,12,773.9465784
2019-06-12,Zone1,13,1110.033958
2019-06-12,Zone3,13,993.1011751
2019-06-12,Zone2,13,589.1070128
2019-06-12,Zone4,13,834.8380761
2019-06-13,Zone1,14,1209.744798
2019-06-13,Zone3,14,1085.027472
2019-06-13,Zone2,14,640.4887252
2019-06-13,Zone4,14,911.9742684
2019-06-14,Zone1,15,1313.486764
2019-06-14,Zone3,15,1181.061862
2019-06-14,Zone2,15,693.6540994
2019-06-14,Zone4,15,991.4593364
2019-06-15,Zone1,16,1402.02132
2019-06-15,Zone3,16,1263.042889
2019-06-15,Zone2,16,738.8228706
2019-06-15,Zone4,16,1059.113245
2019-06-16,Zone1,17,1508.192848
2019-06-16,Zone3,17,1362.034947
2019-06-16,Zone2,17,792.7928694
2019-06-16,Zone4,17,1140.295959
2019-06-17,Zone1,18,1592.60801
2019-06-17,Zone3,18,1438.054454
2019-06-17,Zone2,18,837.0030385
2019-06-17,Zone4,18,1204.466737
2019-06-18,Zone1,19,1685.804385
2019-06-18,Zone3,19,1523.718654
2019-06-18,Zone2,19,884.561337
2019-06-18,Zone4,19,1276.109725
2019-06-19,Zone1,20,1767.352496
2019-06-19,Zone3,20,1597.103605
2019-06-19,Zone2,20,926.8158308
2019-06-19,Zone4,20,1338.080033
2019-06-20,Zone1,21,1860.299249
2019-06-20,Zone3,21,1681.0324
2019-06-20,Zone2,21,974.9922793
2019-06-20,Zone4,21,1409.538688
2019-06-21,Zone1,22,1930.324573
2019-06-21,Zone3,22,1742.215135
2019-06-21,Zone2,22,1013.08261
2019-06-21,Zone4,22,1463.943448
2019-06-22,Zone1,23,2019.236524
2019-06-22,Zone3,23,1821.41094
2019-06-22,Zone2,23,1059.545886
2019-06-22,Zone4,23,1532.074124
2019-06-23,Zone1,24,2109.331985
2019-06-23,Zone3,24,1903.555176
2019-06-23,Zone2,24,1105.586528
2019-06-23,Zone4,24,1600.335635
2019-06-24,Zone1,25,2184.540374
2019-06-24,Zone3,25,1970.832427
2019-06-24,Zone2,25,1145.687997
2019-06-24,Zone4,25,1658.063936
2019-06-25,Zone1,26,2262.126853
2019-06-25,Zone3,26,2041.897905
2019-06-25,Zone2,26,1186.054533
2019-06-25,Zone4,26,1717.81568
2019-06-26,Zone1,27,2350.460041
2019-06-26,Zone3,27,2120.467508
2019-06-26,Zone2,27,1232.38043
2019-06-26,Zone4,27,1784.46633
2019-06-27,Zone1,28,2435.348279
2019-06-27,Zone3,28,2198.116157
2019-06-27,Zone2,28,1276.584711
2019-06-27,Zone4,28,1848.059266
2019-06-28,Zone1,29,2532.978077
2019-06-28,Zone3,29,2286.9717
2019-06-28,Zone2,29,1326.774623
2019-06-28,Zone4,29,1923.039239
2019-06-29,Zone1,30,2626.600108
2019-06-29,Zone3,30,2372.006896
2019-06-29,Zone2,30,1375.838988
2019-06-29,Zone4,30,1995.751
2019-06-30,Zone1,31,2704.002333
2019-06-30,Zone3,31,2440.639495
2019-06-30,Zone2,31,1416.115275
2019-06-30,Zone4,31,2054.032879
2019-07-01,Zone1,32,2794.130078
2019-07-01,Zone3,32,2521.105129
2019-07-01,Zone2,32,1463.265177
2019-07-01,Zone4,32,2121.962421
2019-07-02,Zone1,33,2893.075091
2019-07-02,Zone3,33,2612.27116
2019-07-02,Zone2,33,1514.279565
2019-07-02,Zone4,33,2197.871116
2019-07-03,Zone1,34,2991.430859
2019-07-03,Zone3,34,2702.85499
2019-07-03,Zone2,34,1564.844691
2019-07-03,Zone4,34,2272.011882
2019-07-04,Zone1,35,3090.531693
2019-07-04,Zone3,35,2792.765513
2019-07-04,Zone2,35,1616.072702
2019-07-04,Zone4,35,2346.997435
2019-07-05,Zone1,36,3181.774895
2019-07-05,Zone3,36,2876.401304
2019-07-05,Zone2,36,1663.07702
2019-07-05,Zone4,36,2415.941882
2019-07-06,Zone1,37,3273.041648
2019-07-06,Zone3,37,2957.303818
2019-07-06,Zone2,37,1710.896408
2019-07-06,Zone4,37,2484.565389
2019-07-07,Zone1,38,3351.54593
2019-07-07,Zone3,38,3026.799754
2019-07-07,Zone2,38,1752.968584
2019-07-07,Zone4,38,2543.367805
2019-07-08,Zone1,39,3427.476636
2019-07-08,Zone3,39,3092.96755
2019-07-08,Zone2,39,1793.611922
2019-07-08,Zone4,39,2599.645071
2019-07-09,Zone1,40,3518.308267
2019-07-09,Zone3,40,3174.891763
2019-07-09,Zone2,40,1841.854746
2019-07-09,Zone4,40,2668.196572
2019-07-10,Zone1,41,3610.190464
2019-07-10,Zone3,41,3260.982294
2019-07-10,Zone2,41,1889.58074
2019-07-10,Zone4,41,2736.428931
2019-07-11,Zone1,42,3694.829558
2019-07-11,Zone3,42,3337.156947
2019-07-11,Zone2,42,1935.18209
2019-07-11,Zone4,42,2799.891572
2019-07-12,Zone1,43,3788.400645
2019-07-12,Zone3,43,3424.530522
2019-07-12,Zone2,43,1985.053779
2019-07-12,Zone4,43,2869.579432
2019-07-13,Zone1,44,3888.088941
2019-07-13,Zone3,44,3518.355259
2019-07-13,Zone2,44,2037.234981
2019-07-13,Zone4,44,2943.290184
2019-07-14,Zone1,45,3985.506116
2019-07-14,Zone3,45,3607.818692
2019-07-14,Zone2,45,2088.385261
2019-07-14,Zone4,45,3014.103432
2019-07-15,Zone1,46,4044.534687
2019-07-15,Zone3,46,3656.352485
2019-07-15,Zone2,46,2121.250444
2019-07-15,Zone4,46,3057.863642
2019-07-16,Zone1,47,4110.016274
2019-07-16,Zone3,47,3712.066307
2019-07-16,Zone2,47,2157.710989
2019-07-16,Zone4,47,3105.792178
2019-07-17,Zone1,48,4186.295807
2019-07-17,Zone3,48,3780.438346
2019-07-17,Zone2,48,2199.383137
2019-07-17,Zone4,48,3161.454839
2019-07-18,Zone1,49,4274.665292
2019-07-18,Zone3,49,3860.881123
2019-07-18,Zone2,49,2247.747113
2019-07-18,Zone4,49,3226.230643
2019-07-19,Zone1,50,4362.928605
2019-07-19,Zone3,50,3942.505248
2019-07-19,Zone2,50,2295.333829
2019-07-19,Zone4,50,3290.415475
2019-07-20,Zone1,51,4459.196005
2019-07-20,Zone3,51,4031.146004
2019-07-20,Zone2,51,2346.816758
2019-07-20,Zone4,51,3358.626892
