Fertilizer,Yield,Height
Control,12.2,45.0
Control,12.4,52.0
Control,11.9,42.0
Control,11.3,35.0
Control,11.8,40.0
Control,12.1,48.0
Control,13.1,60.0
Control,12.7,61.0
Control,12.4,50.0
Control,11.4,33.0
Slow,16.6,63.0
Slow,15.8,50.0
Slow,16.5,63.0
Slow,15.0,33.0
Slow,15.4,38.0
Slow,15.6,45.0
Slow,15.8,50.0
Slow,15.8,48.0
Slow,16.0,50.0
Slow,15.8,49.0
Fast,9.5,52.0
Fast,9.5,54.0
Fast,9.6,58.0
Fast,8.8,45.0
Fast,9.5,57.0
Fast,9.8,62.0
Fast,9.1,52.0
Fast,10.3,67.0
Fast,9.5,55.0
Fast,8.5,40.0
