Season,Crop,Day,Carbon_flux,Nitrogen_flux
2015,Soybean,0,14.31818,0.01273
2015,Soybean,1,29.88595,0.02577
2015,Soybean,2,46.70331,0.03912
2015,Soybean,3,64.77025,0.05278
2015,Soybean,4,84.08678,0.06676
2015,Soybean,5,104.65289,0.08105
2015,Soybean,6,126.4686,0.09565
2015,Soybean,7,149.53388,0.11057
2015,Soybean,8,173.84876,0.12579
2015,Soybean,9,199.41322,0.14133
2015,Soybean,10,226.22727,0.15718
2015,Soybean,11,254.29091,0.17335
2015,Soybean,12,283.02468,0.18898
2015,Soybean,13,312.42857,0.20409
2015,Soybean,14,342.5026,0.21867
2015,Soybean,15,373.24675,0.23273
2015,Soybean,16,404.66104,0.24625
2015,Soybean,17,436.74545,0.25925
2015,Soybean,18,469.5,0.27173
2015,Soybean,19,500.06104,0.28301
2015,Soybean,20,528.42857,0.2931
2015,Soybean,21,554.6026,0.302
2015,Soybean,22,578.58312,0.30971
2015,Soybean,23,600.37013,0.31623
2015,Soybean,24,619.96364,0.32155
2015,Soybean,25,637.36364,0.32569
2015,Soybean,26,655.99286,0.32993
2015,Soybean,27,675.8513,0.33428
2015,Soybean,28,696.93896,0.33873
2015,Soybean,29,719.25584,0.34328
2015,Soybean,30,742.80195,0.34794
2015,Soybean,31,767.57727,0.3527
2015,Soybean,32,793.58182,0.35757
2015,Soybean,33,820.81558,0.36255
2015,Soybean,34,849.27857,0.36762
2015,Soybean,35,878.97078,0.3728
2015,Soybean,36,909.89221,0.37809
2015,Soybean,37,942.04286,0.38348
2015,Soybean,38,975.42273,0.38898
2015,Soybean,39,1010.03182,0.39458
2015,Soybean,40,1045.12727,0.40023
2015,Soybean,41,1080.70909,0.40594
2015,Soybean,42,1116.77727,0.4117
2015,Soybean,43,1153.33182,0.41751
2015,Soybean,44,1190.37273,0.42337
2015,Soybean,45,1227.9,0.42929
2015,Soybean,46,1264.32727,0.43422
2015,Soybean,47,1299.65455,0.43817
2015,Soybean,48,1333.88182,0.44112
2015,Soybean,49,1367.00909,0.44309
2015,Soybean,50,1399.03636,0.44407
2015,Soybean,51,1429.96364,0.44406
2015,Soybean,52,1463.00909,0.44459
2015,Soybean,53,1498.17273,0.44564
2015,Soybean,54,1535.45455,0.44723
2015,Soybean,55,1574.85455,0.44935
2015,Soybean,56,1616.37273,0.452
2015,Soybean,57,1660.00909,0.45518
2015,Soybean,58,1705.76364,0.45889
2015,Soybean,59,1753.63636,0.46313
2015,Soybean,60,1803.62727,0.4679
2015,Soybean,61,1853.31039,0.47261
2015,Soybean,62,1902.68571,0.47726
2015,Soybean,63,1951.75325,0.48184
2015,Soybean,64,2000.51299,0.48636
2015,Soybean,65,2048.96494,0.49081
2015,Soybean,66,2097.10909,0.4952
2015,Soybean,67,2144.94545,0.49953
2015,Soybean,68,2192.38247,0.50393
2015,Soybean,69,2239.42013,0.5084
2015,Soybean,70,2286.05844,0.51295
2015,Soybean,71,2332.2974,0.51757
2015,Soybean,72,2378.13701,0.52226
2015,Soybean,73,2423.57727,0.52702
2015,Soybean,74,2468.61818,0.53186
2015,Soybean,75,2513.25974,0.53677
2015,Soybean,76,2557.50195,0.54175
2015,Soybean,77,2601.34481,0.5468
2015,Soybean,78,2644.78831,0.55193
2015,Soybean,79,2687.83247,0.55713
2015,Soybean,80,2730.47727,0.5624
2015,Soybean,81,2772.72273,0.56775
2015,Soybean,82,2818.21364,0.57304
2015,Soybean,83,2866.95,0.57828
2015,Soybean,84,2918.93182,0.58346
2015,Soybean,85,2974.15909,0.58858
2015,Soybean,86,3032.63182,0.59366
2015,Soybean,87,3094.35,0.59868
2015,Soybean,88,3159.31364,0.60364
2015,Soybean,89,3222.03042,0.60867
2015,Soybean,90,3282.50035,0.61376
2015,Soybean,91,3340.72343,0.61891
2015,Soybean,92,3396.69965,0.62413
2015,Soybean,93,3450.42902,0.62941
2015,Soybean,94,3501.91154,0.63476
2015,Soybean,95,3551.1472,0.64017
2015,Soybean,96,3598.13601,0.64564
2015,Soybean,97,3642.87797,0.65118
2015,Soybean,98,3685.37308,0.65678
2015,Soybean,99,3725.62133,0.66244
2015,Soybean,100,3763.62273,0.66817
2015,Soybean,101,3799.37727,0.67396
2015,Soybean,102,3836.24318,0.68108
2015,Soybean,103,3874.22045,0.68953
2015,Soybean,104,3913.30909,0.69932
2015,Soybean,105,3953.50909,0.71043
2015,Soybean,106,3994.82045,0.72288
2015,Soybean,107,4037.24318,0.73665
2015,Soybean,108,4080.77727,0.75176
2015,Soybean,109,4125.42273,0.7682
2015,Soybean,110,4171.17955,0.78597
2015,Soybean,111,4218.04773,0.80507
2015,Soybean,112,4266.02727,0.82551
2015,Soybean,113,4315.11818,0.84727
2015,Soybean,114,4361.22121,0.86824
2015,Soybean,115,4404.33636,0.88842
2015,Soybean,116,4444.46364,0.90781
2015,Soybean,117,4481.60303,0.92641
2015,Soybean,118,4515.75455,0.94421
2015,Soybean,119,4546.91818,0.96122
2015,Soybean,120,4575.09394,0.97744
2015,Soybean,121,4600.28182,0.99287
2015,Soybean,122,4622.48182,1.00751
2015,Soybean,123,4640.87455,1.02041
2015,Soybean,124,4655.46,1.03159
2015,Soybean,125,4666.23818,1.04103
2015,Soybean,126,4673.20909,1.04874
2015,Soybean,127,4676.37273,1.05473
2016,Corn,0,15.52706,0.02392
2016,Corn,1,29.92401,0.04562
2016,Corn,2,43.19087,0.06509
2016,Corn,3,55.32763,0.08235
2016,Corn,4,66.33428,0.09738
2016,Corn,5,76.21084,0.11018
2016,Corn,6,84.9573,0.12077
2016,Corn,7,92.57366,0.12913
2016,Corn,8,99.05993,0.13527
2016,Corn,9,106.41966,0.14465
2016,Corn,10,114.65286,0.15728
2016,Corn,11,123.75953,0.17316
2016,Corn,12,133.73967,0.19228
2016,Corn,13,144.78614,0.21322
2016,Corn,14,156.89894,0.23599
2016,Corn,15,170.07807,0.26058
2016,Corn,16,184.32354,0.28699
2016,Corn,17,199.63533,0.31523
2016,Corn,18,216.01346,0.34528
2016,Corn,19,233.45792,0.37717
2016,Corn,20,250.35655,0.40672
2016,Corn,21,266.70937,0.43395
2016,Corn,22,282.51636,0.45886
2016,Corn,23,297.77753,0.48145
2016,Corn,24,312.49287,0.50171
2016,Corn,25,326.66239,0.51964
2016,Corn,26,340.28609,0.53526
2016,Corn,27,353.36397,0.54854
2016,Corn,28,365.89603,0.55951
2016,Corn,29,379.19875,0.56964
2016,Corn,30,393.27215,0.57895
2016,Corn,31,408.11623,0.58743
2016,Corn,32,423.73097,0.59508
2016,Corn,33,440.11639,0.6019
2016,Corn,34,457.39999,0.60842
2016,Corn,35,475.58179,0.61462
2016,Corn,36,494.66177,0.62052
2016,Corn,37,514.63994,0.62611
2016,Corn,38,535.5163,0.63138
2016,Corn,39,557.29084,0.63635
2016,Corn,40,579.96358,0.64101
2016,Corn,41,602.74193,0.64534
2016,Corn,42,625.6259,0.64935
2016,Corn,43,648.61549,0.65304
2016,Corn,44,671.71069,0.6564
2016,Corn,45,694.91151,0.65944
2016,Corn,46,718.21795,0.66215
2016,Corn,47,741.63,0.66454
2016,Corn,48,765.14768,0.6666
2016,Corn,49,788.77096,0.66834
2016,Corn,50,812.49987,0.66976
2016,Corn,51,837.2855,0.6717
2016,Corn,52,863.12785,0.67417
2016,Corn,53,890.02693,0.67718
2016,Corn,54,917.98273,0.68071
2016,Corn,55,946.99526,0.68477
2016,Corn,56,977.06451,0.68935
2016,Corn,57,1008.19049,0.69447
2016,Corn,58,1040.37319,0.70012
2016,Corn,59,1073.61262,0.70629
2016,Corn,60,1107.90876,0.713
2016,Corn,61,1143.26164,0.72023
2016,Corn,62,1179.67124,0.72799
2016,Corn,63,1217.13756,0.73628
2016,Corn,64,1254.53573,0.74437
2016,Corn,65,1291.86575,0.75225
2016,Corn,66,1329.12761,0.75993
2016,Corn,67,1366.32132,0.7674
2016,Corn,68,1403.44688,0.77467
2016,Corn,69,1440.50429,0.78173
2016,Corn,70,1477.49354,0.78859
2016,Corn,71,1514.41464,0.79525
2016,Corn,72,1551.26759,0.8017
2016,Corn,73,1588.05239,0.80794
2016,Corn,74,1624.76903,0.81398
2016,Corn,75,1661.41752,0.81982
2016,Corn,76,1697.99786,0.82545
2016,Corn,77,1734.51005,0.83088
2016,Corn,78,1770.95408,0.8361
2016,Corn,79,1807.32996,0.84112
2016,Corn,80,1843.63769,0.84594
2016,Corn,81,1879.87727,0.85055
2016,Corn,82,1916.04869,0.85495
2016,Corn,83,1951.94102,0.85924
2016,Corn,84,1987.55426,0.86342
2016,Corn,85,2022.88841,0.86748
2016,Corn,86,2057.94348,0.87143
2016,Corn,87,2092.71945,0.87526
2016,Corn,88,2127.21633,0.87898
2016,Corn,89,2161.43412,0.88258
2016,Corn,90,2195.37282,0.88606
2016,Corn,91,2229.03243,0.88944
