Genotype,Area
Cultivar_A,18.25
Cultivar_A,23.39
Cultivar_A,15.74
Cultivar_A,20.99
Cultivar_A,20.28
Cultivar_A,19.97
Cultivar_A,21.33
Cultivar_A,17.49
Cultivar_A,19.67
Cultivar_A,21.75
Cultivar_A,11.35
Cultivar_A,13.41
Cultivar_A,15.31
Cultivar_A,17.72
Cultivar_A,15.41
Cultivar_A,19.33
Cultivar_A,24.75
Cultivar_A,18.76
Cultivar_A,13.06
Cultivar_A,24.13
Cultivar_A,22.49
Cultivar_A,20.45
Cultivar_A,23.54
Cultivar_A,16.49
Cultivar_A,15.66
Cultivar_A,20.87
Cultivar_A,18.14
Cultivar_A,14.77
Cultivar_A,20.21
Cultivar_A,16.91
Cultivar_A,20.82
Cultivar_A,14.90
Cultivar_A,20.04
Cultivar_A,16.15
Cultivar_A,17.36
Cultivar_A,21.35
Cultivar_A,13.79
Cultivar_A,17.42
Cultivar_A,14.76
Cultivar_A,21.81
Cultivar_A,18.21
Cultivar_A,19.76
Cultivar_A,18.77
Cultivar_A,9.39
Cultivar_A,19.94
Cultivar_A,19.83
Cultivar_A,17.94
Cultivar_A,21.12
Cultivar_A,16.90
Cultivar_A,18.11
Cultivar_A,18.75
Cultivar_A,19.37
Cultivar_A,17.61
Cultivar_A,14.18
Cultivar_A,21.91
Cultivar_A,19.79
Cultivar_A,15.33
Cultivar_A,13.81
Cultivar_A,12.73
Cultivar_A,16.55
Cultivar_A,16.85
Cultivar_A,15.27
Cultivar_A,12.14
Cultivar_A,19.34
Cultivar_A,15.19
Cultivar_A,14.89
Cultivar_A,17.97
Cultivar_A,17.33
Cultivar_A,17.16
Cultivar_A,17.59
Cultivar_A,15.21
Cultivar_A,15.64
Cultivar_A,14.54
Cultivar_A,16.37
Cultivar_A,20.75
Cultivar_A,21.12
Cultivar_A,22.22
Cultivar_A,19.19
Cultivar_A,13.66
Cultivar_A,16.65
Cultivar_A,16.61
Cultivar_A,18.72
Cultivar_A,11.83
Cultivar_A,22.96
Cultivar_A,14.83
Cultivar_A,15.11
Cultivar_A,14.55
Cultivar_A,20.26
Cultivar_A,16.46
Cultivar_A,17.61
Cultivar_A,11.50
Cultivar_A,14.63
Cultivar_A,17.86
Cultivar_A,20.74
Cultivar_A,19.65
Cultivar_A,16.46
Cultivar_A,17.11
Cultivar_A,18.94
Cultivar_A,12.08
Cultivar_A,15.64
Cultivar_A,17.13
Cultivar_A,18.03
Cultivar_A,20.99
Cultivar_A,13.34
Cultivar_A,13.32
Cultivar_A,20.42
Cultivar_A,14.51
Cultivar_A,18.96
Cultivar_A,17.46
Cultivar_A,15.06
Cultivar_A,14.89
Cultivar_A,17.41
Cultivar_A,14.56
Cultivar_A,21.83
Cultivar_A,20.25
Cultivar_A,14.36
Cultivar_A,21.44
Cultivar_A,14.42
Cultivar_A,19.58
Cultivar_A,17.26
Cultivar_A,21.23
Cultivar_A,18.57
Cultivar_A,16.56
Cultivar_A,20.65
Cultivar_A,18.32
Cultivar_A,17.95
Cultivar_A,20.63
Cultivar_A,20.51
Cultivar_A,16.46
Cultivar_A,12.70
Cultivar_A,17.89
Cultivar_A,16.96
Cultivar_A,18.30
Cultivar_A,15.86
Cultivar_A,15.48
Cultivar_A,18.44
Cultivar_A,17.22
Cultivar_A,17.81
Cultivar_A,15.88
Cultivar_A,18.38
Cultivar_A,21.31
Cultivar_A,19.14
Cultivar_A,15.04
Cultivar_A,18.49
Cultivar_A,14.01
Cultivar_A,16.98
Cultivar_A,15.56
Cultivar_A,17.05
Cultivar_A,19.14
Cultivar_A,18.48
Cultivar_A,20.35
Cultivar_A,19.96
Cultivar_A,18.74
Cultivar_A,14.79
Cultivar_A,15.17
Cultivar_A,17.80
Cultivar_A,17.60
Cultivar_A,22.00
Cultivar_A,13.40
Cultivar_A,17.07
Cultivar_A,18.36
Cultivar_A,16.49
Cultivar_A,18.62
Cultivar_A,17.51
Cultivar_A,11.18
Cultivar_A,12.92
Cultivar_A,13.61
Cultivar_A,21.40
Cultivar_A,18.19
Cultivar_A,18.44
Cultivar_A,19.51
Cultivar_A,18.07
Cultivar_A,14.46
Cultivar_A,18.88
Cultivar_A,13.74
Cultivar_A,14.76
Cultivar_A,17.51
Cultivar_A,14.34
Cultivar_A,13.45
Cultivar_A,15.02
Cultivar_A,19.97
Cultivar_A,17.60
Cultivar_A,16.42
Cultivar_A,21.02
Cultivar_A,20.19
Cultivar_A,20.51
Cultivar_A,12.98
Cultivar_A,14.40
Cultivar_A,10.67
Cultivar_A,19.96
Cultivar_A,15.29
Cultivar_A,18.11
Cultivar_A,20.97
Cultivar_A,19.46
Cultivar_A,18.49
Cultivar_A,14.02
Cultivar_A,18.28
Cultivar_A,20.85
Cultivar_A,18.10
Cultivar_A,18.79
Cultivar_A,18.29
Cultivar_A,18.65
Cultivar_A,17.76
Cultivar_A,12.12
Cultivar_A,17.20
Cultivar_A,16.42
Cultivar_A,19.57
Cultivar_A,20.96
Cultivar_A,17.68
Cultivar_A,20.41
Cultivar_A,19.99
Cultivar_A,12.15
Cultivar_A,13.55
Cultivar_A,20.14
Cultivar_A,20.13
Cultivar_A,13.84
Cultivar_A,14.81
Cultivar_A,20.06
Cultivar_A,16.79
Cultivar_A,16.68
Cultivar_A,16.37
Cultivar_A,19.65
Cultivar_A,21.36
Cultivar_A,16.88
Cultivar_A,14.69
Cultivar_A,14.60
Cultivar_A,17.90
Cultivar_A,15.56
Cultivar_A,14.54
Cultivar_A,10.78
Cultivar_A,16.26
Cultivar_A,17.38
Cultivar_A,14.31
Cultivar_A,15.76
Cultivar_A,11.94
Cultivar_A,15.53
Cultivar_A,11.54
Cultivar_A,22.13
Cultivar_A,18.88
Cultivar_A,20.86
Cultivar_A,14.68
Cultivar_A,16.47
Cultivar_A,20.28
Cultivar_A,18.56
Cultivar_A,12.03
Cultivar_A,17.97
Cultivar_A,20.68
Cultivar_A,19.80
Cultivar_A,12.02
Cultivar_A,17.46
Cultivar_A,15.40
Cultivar_A,17.12
Cultivar_A,10.18
Cultivar_A,19.32
Cultivar_A,12.08
Cultivar_A,19.26
Cultivar_A,15.60
Cultivar_A,14.37
Cultivar_A,14.26
Cultivar_A,16.12
Cultivar_A,14.64
Cultivar_A,15.10
Cultivar_A,17.25
Cultivar_A,16.28
Cultivar_A,12.86
Cultivar_A,17.11
Cultivar_A,9.38
Cultivar_A,14.11
Cultivar_A,14.63
Cultivar_A,13.53
Cultivar_A,12.81
Cultivar_A,12.05
Cultivar_A,17.40
