Genotype,Length_mm,Width_mm,Area_mm_2,GW_mg
cv1,4.86,2.12,7.56,14.44
cv1,5.01,1.94,7.25,13.67
cv1,5.54,1.97,7.99,15.55
cv1,3.84,1.99,5.86,10.32
cv1,5.3,2.06,8.04,15.66
cv1,7.03,3.98,21.38,56.97
cv1,5.32,3.31,13.12,29.9
cv1,6.49,3.91,18.13,45.83
cv1,6.07,3.21,14.6,34.43
cv1,6.14,3.73,17.51,43.77
cv1,6.4,4.43,20.67,54.49
cv1,6.53,4.12,20.95,55.45
cv1,6.95,3.84,20.44,53.69
cv1,6.36,3.43,16.59,40.76
cv1,6.56,3.33,17.06,42.29
cv1,6.02,3.7,16.64,40.9
cv1,5.25,3.27,12.74,28.76
cv1,6.62,3.68,19.37,50.01
cv1,6.79,3.57,19.27,49.68
cv1,6.58,4.32,20.68,54.52
cv1,6.37,4.24,20.17,52.74
cv1,6.53,3.74,18.7,47.73
cv1,6.95,3.71,17.96,45.27
cv1,6.55,3.32,16.22,39.56
cv1,6.47,4.13,20.43,53.66
cv1,6.55,3.44,17.49,43.69
cv1,6.98,3.63,19.94,51.95
cv1,6.76,3.58,18.6,47.4
cv1,6.84,3.83,20.39,53.51
cv1,5.17,2.75,11.02,23.76
cv1,6.76,3.78,19.65,50.95
cv1,5.96,3.17,14.04,32.7
cv1,6.19,4,18.97,48.66
cv1,6.73,3.18,15.74,38.03
cv1,6.92,4,21.67,58
cv1,6.13,3.46,16.71,41.13
cv1,6.15,3.91,18.18,46.01
cv1,6.24,3.58,17.28,43.02
cv1,6.23,3.37,15.8,38.23
cv1,5.98,3.28,14.25,33.33
cv1,7.01,3.43,17.18,42.67
cv1,6.97,3.83,20.49,53.85
cv1,6.83,4.22,22.46,60.8
cv1,6.76,3.65,19.57,50.7
cv1,6.97,3.41,17.13,42.52
cv1,7.03,3.74,20.42,53.6
cv1,6.7,3.35,16.58,40.73
cv1,6.19,3.43,16.64,40.93
cv1,5.38,2.31,8.95,18.05
cv1,6.12,3.23,15.33,36.71
cv1,6.34,3.6,17.45,43.57
cv1,6.37,3.02,14.48,34.07
cv1,6.91,3.75,20.28,53.14
cv1,6.31,3.91,18.11,45.74
cv1,6.62,3.83,16.74,41.25
cv1,6.43,3.29,17.12,42.49
cv1,6.72,4.18,21.12,56.07
cv1,6.9,3.44,18.23,46.15
cv1,6.28,3.12,15.48,37.21
cv1,7.27,3.85,21.74,58.22
cv1,6.95,3.84,20.65,54.4
cv1,7.13,3.94,21.56,57.59
cv1,6.13,3.4,16.06,39.05
cv1,6.76,3.37,16.89,41.74
cv1,6.57,3.92,19.98,52.1
cv1,6.47,3.7,18.39,46.69
cv1,6.45,3.52,17.72,44.45
cv1,6.3,3.39,16.46,40.33
cv1,6.57,3.54,17.81,44.77
cv1,5.88,3.24,14.79,35.04
cv1,6.4,4.16,21.09,55.94
cv1,6.72,3.89,19.96,52.01
cv1,5.75,2.82,12.27,27.37
cv1,6.69,3.87,19.98,52.1
cv1,6.95,3.73,20.34,53.32
cv1,6.87,3.65,19.48,50.37
cv1,5.99,3.54,15.41,36.99
cv1,6.28,3.22,14.65,34.59
cv1,6.32,3.46,16.36,40.02
cv1,6.6,3.89,19.67,51.04
cv1,6.32,3.49,16.91,41.8
cv1,6.29,3.76,18.65,47.58
cv1,6.24,3.49,16.41,40.19
cv1,6.4,3.7,18.37,46.63
cv1,6.09,3.33,15.72,37.97
cv1,6.36,3.55,17.23,42.84
cv1,6.24,4.06,19.19,49.41
cv1,6.61,3.74,19.73,51.25
cv1,6.85,3.54,18.74,47.88
cv1,7,4.13,22.9,62.38
cv1,6.43,3.62,17.85,44.89
cv1,6.7,3.83,17.58,44.01
cv1,6.44,3.24,15.7,37.89
cv1,5.44,2.61,10.12,21.22
cv1,6.35,3.58,17.24,42.87
cv1,6.45,3.56,17.69,44.36
cv1,6.61,3.77,19.11,49.14
cv1,5.2,2.14,8.03,15.64
cv1,4.84,2.89,10.86,23.31
cv1,6.55,2.52,12.34,27.58
cv1,6.92,4.32,21.59,57.72
cv1,5.81,2.89,12.63,28.45
cv1,6.62,3.92,19.73,51.25
cv1,6.5,3.6,18.44,46.87
cv1,6.42,2.96,14.71,34.76
cv1,6.8,3.74,20.12,52.59
cv1,6.67,3.64,18.85,48.24
cv1,6.9,3.69,19.37,50.01
cv1,6.51,3.04,14.77,34.95
cv1,6.02,3.56,15.93,38.62
cv1,6.34,3.53,17.2,42.75
cv1,6.69,3.65,18.91,48.45
cv1,6.38,3.18,15.8,38.23
cv1,6.07,3.37,15.59,37.55
cv1,6.15,2.41,10.84,23.23
cv1,6.02,3.19,14.44,33.93
cv1,5.89,3.12,14.14,33
cv1,5.8,2.84,12.11,26.9
cv1,6.47,2.99,14.66,34.62
cv1,6.55,2.89,14.46,33.99
cv1,6.04,3.31,15.26,36.51
cv1,6.43,3.69,18.45,46.9
cv1,6.33,3.42,16.94,41.88
cv1,6.47,2.93,14.97,35.59
cv1,5.84,2.71,11.64,25.54
cv1,6.07,3.49,16.27,39.73
cv1,6.15,3.48,16.44,40.27
cv1,5.89,3.32,15.56,37.44
cv1,6.57,3.62,18.12,45.8
cv1,6.7,3.66,18.78,48
cv1,5.98,3.45,15.82,38.28
cv1,6.21,3.27,15.57,37.49
cv1,6.72,3.87,19.93,51.92
cv1,5.91,3.17,13.87,32.19
cv1,6.42,3.77,19.3,49.77
cv1,6.08,3.25,15.04,35.81
cv1,6.48,4.03,19.28,49.71
cv1,6.68,3.57,18.77,47.97
cv1,6.84,3.86,20.09,52.47
cv1,6.63,3.72,18.92,48.48
cv1,6.44,3.55,17.58,44.01
cv1,6.61,3.23,16.58,40.73
cv1,6.59,4.14,21.81,58.47
cv1,5.78,2.9,13.09,29.8
cv1,6.54,4,21.2,56.32
cv1,6.76,3.75,19.62,50.86
cv1,7.05,3.83,21.31,56.72
cv1,6.16,3.68,16.83,41.54
cv1,6.42,3.35,16.62,40.85
cv1,5.78,2.68,11.19,24.24
cv1,6.5,3.62,17.53,43.83
cv1,6.62,3.24,16.21,39.53
cv1,6.58,3.87,19.86,51.68
cv1,6.36,3.27,16.1,39.19
cv1,6.98,3.79,21.23,56.44
cv1,6.34,3.87,19.51,50.49
cv1,6.53,3.71,18.73,47.82
cv1,6.97,3.2,16.97,42
cv1,6.65,3.83,20.09,52.47
cv1,6.19,3.03,14.31,33.52
cv1,6.8,3.98,20.25,53.02
cv1,6.73,3.78,19.94,51.95
cv1,6.67,4.11,20.91,55.32
cv1,6.57,3.42,16.85,41.6
cv1,6.57,4.02,20.45,53.72
cv1,6.17,3.75,17.06,42.29
cv1,6.73,3.76,19.59,50.76
cv1,6.1,3.48,16.37,40.04
cv1,6.67,3.79,19.75,51.31
cv1,6.54,3.92,20.14,52.65
cv1,6.67,3.56,18.74,47.88
cv1,5.86,2.47,10.45,22.13
cv1,6.32,3.37,16.1,39.16
cv1,6.11,3.5,16.19,39.47
cv1,6.15,3.33,15.6,37.58
cv1,6.39,3.35,15.48,37.21
cv1,6.02,3.06,13.72,31.73
cv1,6.59,4.05,20.27,53.11
cv1,6.16,3.28,15.38,36.87
cv1,6.92,3.78,20.64,54.37
cv1,6.26,3.69,18.65,47.58
cv1,6.55,3.66,18.25,46.21
cv1,6.13,2.96,13.05,29.69
cv1,5.82,3.23,14.55,34.26
cv1,6.98,3.82,20.79,54.89
cv1,6.44,3.73,18.03,45.5
cv1,6.56,3.29,16.9,41.77
cv1,6.7,3.79,19.64,50.92
cv1,6.55,3.58,18.23,46.15
cv1,6.5,3.21,16.05,39.02
cv1,5.14,2.61,10.36,21.89
cv1,6.33,3.7,18.33,46.48
cv1,5.78,2.85,12.73,28.74
cv1,6.76,3.62,19.16,49.29
cv1,6.69,3.68,19.94,51.95
cv1,6.59,3.76,19.03,48.87
cv1,6.61,3.52,18.04,45.53
cv1,6.43,3.22,15.9,38.54
cv1,5.7,3.32,14.29,33.47
cv1,6.39,3.57,16.47,40.36
cv1,6.44,3.53,17.85,44.89
cv1,6.61,3.54,17.8,44.74
cv1,5.5,2.89,11.81,26.03
cv1,6.29,3.25,15.91,38.56
cv1,6.45,3.72,18.26,46.24
cv1,6.23,2.93,12.89,29.21
cv1,5.51,3.14,13.03,29.64
cv1,6.62,4.19,21.25,56.5
cv1,5.69,2.65,10.96,23.58
cv1,6.67,3.95,20.65,54.4
cv1,6.55,3.35,17.26,42.93
cv1,6.61,3.47,18.19,46.04
cv1,7.17,3.81,20.66,54.46
cv1,6.76,4.25,21.95,58.97
cv1,6.28,3.63,18.05,45.56
cv1,6.53,3.6,18.04,45.53
cv1,6.28,3.33,16.25,39.67
cv1,5.93,2.84,12.62,28.39
cv1,6.79,3.73,20.12,52.56
cv1,6.37,3.39,16.83,41.54
cv1,6.89,3.41,18.28,46.33
cv1,6.09,2.74,12.24,27.29
cv1,6.65,3.76,18.39,46.69
cv1,6.98,3.93,20.98,55.57
cv1,6.42,3.33,16.1,39.19
cv1,6.67,3.85,19.63,50.89
cv1,6.2,3.37,14.82,35.12
cv1,5.86,3.41,15.15,36.15
cv1,6.45,2.81,14.08,32.81
cv1,6.26,3.13,15.54,37.38
cv1,6.15,3.74,17.41,43.42
cv1,6.74,3.62,18.08,45.65
cv1,6.62,3.47,17.97,45.3
cv1,6.67,3.86,19.91,51.86
cv1,6.24,3.5,17.13,42.52
cv1,7.11,3.86,21.39,57
cv1,6.92,3.25,17.7,44.39
cv1,6.55,3.5,17.91,45.09
cv1,6.25,3.33,16.25,39.67
cv1,6.28,3.81,18.96,48.63
cv1,6.34,3.44,16.98,42.03
cv1,6.58,3.42,18.1,45.71
cv1,6.73,3.44,17.49,43.69
cv1,6.67,3.57,17.19,42.72
cv1,6.69,3.97,20.34,53.32
cv1,6.4,3.85,19.91,51.86
cv1,6.26,3.16,14.6,34.43
cv1,5.94,3.12,13.89,32.24
cv1,6.37,3.65,18.05,45.56
cv1,5.98,3.44,14.97,35.59
cv1,6.63,4.04,20.62,54.31
cv1,6.87,3.97,21.06,55.85
cv1,6.28,3.34,14.78,34.98
cv1,6.73,4.21,21.74,58.25
cv1,6.45,4.1,19.82,51.55
cv1,6.34,2.83,13.27,30.36
cv1,6.81,3.65,18.5,47.07
cv1,6.4,3.59,18.3,46.39
cv1,6.39,3.41,16.57,40.7
cv1,6.35,3.39,16.12,39.25
cv1,6.39,4.02,19.93,51.92
cv1,6.16,3.71,17.71,44.42
cv1,6.42,3.05,14.8,35.06
cv1,7.31,4.11,22.51,60.99
cv1,6.55,4.15,20.77,54.83
cv1,6.36,2.54,12.69,28.6
cv1,7,3.63,19.15,49.26
cv1,6.79,3.59,18.64,47.52
cv1,6.2,3.46,16.01,38.88
cv1,6.39,3.48,16.95,41.91
cv1,6.45,3.51,17.1,42.41
cv1,5.89,3.47,15.41,36.99
cv1,6.26,2.48,11.85,26.13
cv1,6.55,3.23,16.08,39.1
cv1,5.65,2.84,12.2,27.16
cv1,6.62,3.3,16.48,40.39
cv1,7.03,3.59,19.29,49.74
cv1,6.49,3.82,19.19,49.41
cv1,6.5,3.46,16.94,41.88
cv1,6.85,3.64,19.31,49.8
cv1,6.32,3.5,17.29,43.04
cv1,5.82,3.84,16.83,41.54
cv1,6.65,3.99,21.13,56.1
cv1,6.16,3.26,15.3,36.62
cv1,6.28,3.63,17.61,44.09
cv1,5.87,2.94,13.31,30.46
cv1,5.78,3.26,14.19,33.17
cv1,6.47,3.78,19.36,49.98
cv1,6.5,3.49,16.74,41.25
cv1,6.55,3.63,17.95,45.24
cv1,6.69,3.32,17.09,42.38
cv1,6.19,3.78,18.42,46.81
cv1,6.74,3.63,18.96,48.63
cv1,6.44,3.9,18.92,48.48
cv1,6.78,3.38,17.33,43.16
cv1,6.55,3.99,19.28,49.71
cv1,6.24,3.52,16.25,39.64
cv1,6.85,4.45,23.49,64.49
cv1,6.56,3.69,19.19,49.41
cv1,5.98,3.38,14.85,35.2
cv1,5.8,3.26,14.32,33.55
cv1,6.29,3.39,16.79,41.42
cv1,6.73,3.65,19.44,50.25
cv1,6.05,3.7,16.02,38.93
cv1,6.55,3.59,18.53,47.16
cv1,6.23,3.36,15.81,38.25
cv1,7.46,4.11,23.34,63.95
cv1,6.33,4.27,19.89,51.8
cv1,6.55,3.57,17.86,44.92
cv1,6.19,3.41,16.73,41.22
cv1,6.48,2.87,14.25,33.36
cv1,6.55,3.43,16.42,40.22
cv1,6.17,3.65,17.17,42.64
cv1,6.62,3.38,17.52,43.8
cv1,6.37,3.53,16.96,41.97
cv1,6.02,3.66,16.77,41.34
cv1,6.57,3.88,19.85,51.64
cv1,6,3.24,15.37,36.85
cv1,5.88,3.57,16.45,40.3
cv1,6.26,3.88,18.28,46.33
cv1,6.92,4.14,20.87,55.17
cv1,7.09,3.84,20.87,55.17
cv1,6.74,3.45,18.41,46.75
cv1,5.91,2.25,10.52,22.33
cv1,5.77,3.16,13.63,31.43
cv1,6.79,4.04,21.41,57.06
cv1,6.31,4.21,20.89,55.26
cv1,6.92,3.87,20.88,55.2
cv1,5.65,2.57,10.44,22.11
cv1,7,3.87,20.5,53.88
cv1,6.55,3.72,17.54,43.86
cv1,6.75,3.79,19.14,49.23
cv1,6.76,3.83,20.09,52.47
cv1,6.87,4.13,20.87,55.17
cv1,6.84,3.91,20.85,55.11
cv1,6.5,3.25,15.21,36.34
cv1,6.07,3.17,14.45,33.96
cv1,7.14,3.75,20.96,55.48
cv1,6.13,3.38,14.88,35.31
cv1,6.45,3.98,18.99,48.72
cv1,6.37,3.29,15.72,37.97
cv1,6.79,3.61,19.28,49.71
cv1,6.73,4.18,21.58,57.69
cv1,6.48,3.27,16.79,41.42
cv1,6.92,3.7,19.81,51.52
cv1,6.8,3.53,18.03,45.48
cv1,7.05,4.36,21.35,56.84
cv1,5.78,2.79,12,26.57
cv1,6.7,3.6,18.03,45.48
cv1,5.77,3.25,14.24,33.3
cv1,6.67,4.04,21.15,56.16
cv1,5.73,2.74,11.83,26.08
cv1,6.3,3.54,17,42.09
cv1,5.94,3,13.12,29.9
cv1,5.65,3.16,13.76,31.83
cv1,6.13,3.55,16.34,39.96
cv1,6.42,3.67,18.79,48.03
cv1,6.31,3.96,19.31,49.8
cv1,6.84,4.31,22.55,61.11
cv1,6.54,3.2,16.75,41.28
cv1,6.53,3.45,17.57,43.95
cv1,6.97,3.9,21.33,56.78
cv1,6.39,4.39,20.8,54.92
cv1,6.24,3.46,16.52,40.53
cv1,6.02,3.82,17.43,43.51
cv1,6.32,4.15,20.2,52.86
cv1,5.65,2.92,11.88,26.23
cv1,6.26,3.13,14.46,33.99
cv1,6.15,3.32,15.36,36.82
cv1,6.59,3.11,16,38.85
cv1,6.78,3.76,20.31,53.23
cv1,6.78,3.55,18.16,45.92
cv1,6.26,4.2,20.18,52.77
cv1,6.64,3.3,16.61,40.82
cv1,5.61,2.68,11.06,23.86
cv1,6.32,2.95,14.09,32.87
cv1,6.57,3.8,19.15,49.26
cv1,6.32,3.38,15.93,38.62
cv1,6.26,3.94,17.9,45.06
cv1,6.43,3.34,16.67,41.02
cv1,6.67,3.84,18.88,48.33
cv1,6.21,3.4,16.4,40.13
cv1,6.84,3.54,18.5,47.07
cv1,6.79,3.98,20.8,54.92
cv1,6.39,3.62,17.57,43.95
cv1,6.42,3.98,19.68,51.07
cv1,6.76,3.36,17.14,42.55
cv1,7.41,4.06,22.94,62.51
cv1,5.23,2.33,8.98,18.12
cv1,5.14,2,7.37,13.96
