Genotype,Length_mm,Width_mm,Area_mm_2,GW_mg
cv3,6.40,3.40,15.50,37.46
cv3,7.46,3.68,19.81,51.82
cv3,7.14,3.75,19.50,50.76
cv3,6.60,3.40,15.90,38.75
cv3,7.02,3.70,18.92,48.77
cv3,6.88,3.65,18.27,46.56
cv3,6.64,3.35,15.82,38.49
cv3,7.49,3.73,20.38,53.80
cv3,7.05,3.81,19.54,50.88
cv3,6.71,3.31,15.68,38.02
cv3,6.70,3.48,16.39,40.35
cv3,6.71,3.41,16.43,40.45
cv3,7.16,3.59,18.73,48.13
cv3,6.88,3.62,18.03,45.74
cv3,6.26,3.08,13.77,32.04
cv3,7.21,3.71,19.67,51.33
cv3,7.18,3.80,19.47,50.65
cv3,7.08,3.47,17.10,42.65
cv3,7.25,3.52,17.71,44.67
cv3,7.28,3.73,19.25,49.89
cv3,7.19,3.74,19.66,51.31
cv3,7.25,3.80,20.01,52.50
cv3,7.41,3.79,20.05,52.66
cv3,7.07,3.86,19.66,51.29
cv3,7.09,3.50,17.68,44.58
cv3,7.10,3.41,17.02,42.39
cv3,7.59,3.69,19.88,52.05
cv3,7.77,3.61,20.34,53.66
cv3,7.79,3.80,21.49,57.71
cv3,7.77,3.77,21.12,56.40
cv3,7.81,3.79,21.08,56.24
cv3,7.15,3.58,17.90,45.31
cv3,6.00,2.90,12.80,29.09
cv3,6.97,3.40,16.59,40.99
cv3,7.09,3.42,17.34,43.46
cv3,7.61,3.59,19.51,50.79
cv3,7.48,3.58,19.29,50.04
cv3,7.23,3.47,17.91,45.36
cv3,6.71,3.27,15.01,35.91
cv3,7.19,3.51,18.40,47.01
cv3,7.30,3.45,17.91,45.34
cv3,7.47,3.73,19.96,52.35
cv3,6.38,3.15,14.28,33.62
cv3,6.45,3.17,14.63,34.70
cv3,6.10,3.00,13.30,30.60
cv3,6.03,2.85,12.61,28.52
cv3,5.50,2.70,11.00,23.81
cv3,7.35,3.62,19.55,50.91
cv3,6.60,3.50,16.30,40.04
cv3,7.01,3.38,16.71,41.37
cv3,7.05,3.37,16.78,41.62
cv3,7.14,3.58,18.22,46.38
cv3,7.06,3.66,19.02,49.11
cv3,7.15,3.78,19.25,49.89
cv3,7.00,3.71,18.94,48.84
cv3,6.70,3.40,16.60,41.02
cv4,7.00,3.40,16.70,41.35
cv4,6.71,3.34,15.99,39.04
cv4,7.10,3.20,16.50,40.69
