grain_weight_mg,grain_area_mm2
49.080,18.600
45.430,18.300
41.780,16.700
53.420,20.300
44.400,17.500
56.950,20.800
45.040,18.200
34.710,15.800
42.120,17.600
45.880,18.900
47.120,18.900
45.170,18.700
49.220,18.700
42.190,17.400
45.110,18.600
50.500,19.200
51.840,20.400
53.400,19.800
53.250,19.500
49.850,19.100
49.110,18.900
44.920,17.300
51.510,19.600
51.010,19.300
41.110,16.900
42.290,17.200
49.370,19.800
45.250,18.500
41.360,17.100
50.250,19.000
49.570,18.100
54.890,20.000
47.650,19.000
45.260,18.000
54.520,20.400
45.650,18.100
44.170,17.900
48.860,18.600
39.340,16.400
47.740,19.400
42.820,16.900
47.880,18.900
43.530,17.800
44.450,17.100
46.730,18.400
47.560,18.200
38.880,15.500
49.510,19.600
35.990,15.000
44.630,17.700
47.330,18.500
45.380,17.500
52.670,19.500
45.520,18.000
41.100,16.700
43.890,16.700
44.030,17.200
48.680,19.200
51.330,19.200
51.420,19.100
48.680,18.100
55.890,20.900
48.260,18.400
46.190,18.400
49.840,19.300
47.050,18.400
40.720,16.800
47.020,17.400
52.460,19.800
43.540,17.600
44.590,18.700
49.810,18.700
49.880,19.100
47.320,18.500
48.350,18.500
55.750,21.300
49.060,18.600
44.760,18.100
43.460,17.500
35.420,15.400
40.730,17.000
41.720,17.000
43.360,17.600
47.000,18.100
41.680,16.600
45.840,17.800
51.950,19.500
53.990,19.800
43.320,17.700
29.210,13.200
47.500,17.600
52.830,19.700
40.640,16.800
46.970,18.400
47.960,17.900
47.770,17.800
51.230,19.300
51.380,19.400
43.540,17.300
43.890,18.200
57.580,21.200
50.860,18.600
51.440,18.700
47.290,18.700
55.590,22.200
50.850,20.100
57.750,21.400
39.560,16.700
53.590,19.500
47.790,18.500
52.240,19.700
52.560,19.900
53.240,21.300
52.680,19.700
46.050,18.200
35.810,15.900
45.860,17.900
44.790,18.300
53.560,19.900
54.560,20.600
47.340,18.600
48.860,19.400
45.640,18.500
52.940,19.800
48.390,18.600
38.500,15.900
50.080,19.300
49.520,19.300
51.550,19.100
41.360,17.600
49.590,19.300
47.220,19.200
48.080,19.400
44.170,17.200
59.630,22.200
43.090,17.400
43.970,19.400
48.190,18.700
50.740,20.300
45.780,19.800
54.430,20.200
47.550,18.500
54.240,21.600
45.560,18.200
47.130,18.600
46.350,18.800
41.090,17.200
45.090,17.200
50.200,18.900
46.330,19.100
47.400,18.600
46.170,18.200
50.830,19.000
52.170,20.000
54.250,20.500
40.600,16.100
52.640,20.000
41.920,18.000
47.670,18.900
39.820,16.600
45.600,17.800
45.140,18.200
45.100,18.600
43.260,17.000
44.700,18.100
52.090,19.900
53.330,19.800
34.750,15.400
50.490,19.200
48.350,19.100
39.210,15.900
48.730,17.800
58.220,21.400
52.920,19.100
58.990,22.600
52.750,19.900
53.730,19.600
46.610,18.300
52.850,20.700
41.590,17.300
50.790,19.700
44.170,16.600
43.740,16.500
54.590,19.700
50.520,19.600
46.580,18.400
43.640,17.400
51.990,20.300
47.900,18.500
43.850,17.400
49.670,19.200
48.140,18.500
51.570,19.500
48.310,18.900
44.890,18.100
40.310,16.800
44.660,17.900
48.180,18.700
42.960,16.900
51.500,19.900
49.160,19.200
51.060,19.200
45.680,18.000
47.690,18.600
52.720,19.400
46.840,18.000
42.630,17.000
45.570,18.600
51.720,20.400
52.350,20.500
53.000,19.700
47.950,18.900
37.770,16.400
43.410,17.400
49.730,18.400
51.730,19.500
51.640,19.800
49.520,19.700
53.650,20.000
43.870,17.300
43.910,17.300
48.310,19.900
54.310,20.000
46.100,18.300
46.710,18.800
47.470,18.400
42.850,17.900
50.080,19.000
49.510,18.200
46.610,17.800
40.320,15.800
46.950,18.600
