Column,Row,SOC
1,1,1.450
2,1,1.600
3,1,2.340
4,1,2.200
5,1,1.800
6,1,2.310
7,1,2.610
8,1,2.330
9,1,2.070
10,1,2.320
11,1,2.140
12,1,2.140
13,1,1.960
14,1,2.150
15,1,2.070
16,1,2.080
17,1,2.040
18,1,1.660
19,1,1.930
1,2,1.600
2,2,1.680
3,2,1.940
4,2,1.570
5,2,1.050
6,2,1.680
7,2,2.000
8,2,1.720
9,2,1.730
10,2,2.150
11,2,3.150
12,2,2.580
13,2,1.600
14,2,2.000
15,2,1.750
16,2,1.450
17,2,1.350
18,2,2.000
19,2,1.330
1,3,1.390
2,3,1.360
3,3,1.860
4,3,2.280
5,3,1.360
6,3,1.510
7,3,1.440
8,3,1.500
9,3,2.180
10,3,1.930
11,3,1.570
12,3,1.620
13,3,2.350
14,3,2.250
15,3,1.900
16,3,1.880
17,3,1.530
18,3,1.700
19,3,2.040
1,4,2.230
2,4,2.090
3,4,2.000
4,4,1.640
5,4,1.980
6,4,2.070
7,4,1.610
8,4,2.100
9,4,2.830
10,4,1.560
11,4,2.020
12,4,2.450
13,4,1.860
14,4,2.410
15,4,2.640
16,4,1.910
17,4,1.790
18,4,1.600
19,4,1.990
1,5,1.550
2,5,2.370
3,5,2.730
4,5,2.580
5,5,2.090
6,5,2.250
7,5,2.410
8,5,2.490
9,5,2.370
10,5,1.620
11,5,1.870
12,5,2.400
13,5,2.540
14,5,2.860
15,5,2.400
16,5,2.070
17,5,1.670
18,5,1.910
19,5,0.930
1,6,2.430
2,6,2.510
3,6,2.500
4,6,2.460
5,6,2.510
6,6,2.580
7,6,2.580
8,6,2.710
9,6,2.280
10,6,1.630
11,6,1.920
12,6,2.570
13,6,2.500
14,6,1.520
15,6,1.910
16,6,1.800
17,6,1.690
18,6,1.560
19,6,1.160
1,7,2.280
2,7,2.180
3,7,2.280
4,7,2.490
5,7,2.570
6,7,2.450
7,7,1.370
8,7,1.290
9,7,2.020
10,7,2.130
11,7,2.350
12,7,2.420
13,7,2.720
14,7,2.110
15,7,1.520
16,7,1.920
17,7,1.680
18,7,1.520
19,7,1.220
1,8,2.330
2,8,2.330
3,8,2.080
4,8,2.240
5,8,2.320
6,8,1.710
7,8,1.180
8,8,0.960
9,8,1.770
10,8,2.200
11,8,1.880
12,8,2.020
13,8,1.620
14,8,0.960
15,8,1.020
16,8,0.870
17,8,1.310
18,8,1.390
19,8,1.000
1,9,1.850
2,9,2.240
3,9,2.210
4,9,1.940
5,9,1.420
6,9,1.100
7,9,1.100
8,9,1.310
9,9,1.840
10,9,1.830
11,9,1.070
12,9,1.190
13,9,1.080
14,9,1.140
15,9,1.030
16,9,1.200
17,9,1.510
18,9,1.390
19,9,1.310
1,10,2.130
2,10,2.220
3,10,2.010
4,10,1.290
5,10,1.260
6,10,1.130
7,10,1.540
8,10,2.380
9,10,2.310
10,10,1.690
11,10,1.420
12,10,1.140
13,10,1.070
14,10,1.040
15,10,1.050
16,10,1.170
17,10,1.360
18,10,1.210
19,10,1.080
1,11,2.460
2,11,2.190
3,11,2.350
4,11,1.800
5,11,1.870
6,11,1.110
7,11,1.410
8,11,1.970
9,11,1.850
10,11,1.150
11,11,1.350
12,11,1.400
13,11,1.420
14,11,1.250
15,11,1.000
16,11,1.040
17,11,1.080
18,11,1.230
19,11,1.210
1,12,0.990
2,12,1.870
3,12,1.810
4,12,1.270
5,12,0.830
6,12,1.150
7,12,1.530
8,12,1.210
9,12,1.440
10,12,1.440
11,12,1.670
12,12,1.960
13,12,1.410
14,12,1.300
15,12,1.430
16,12,1.040
17,12,1.490
18,12,1.370
19,12,1.540
1,13,1.250
2,13,1.100
3,13,1.360
4,13,1.100
5,13,1.100
6,13,1.100
7,13,1.440
8,13,1.200
9,13,1.330
10,13,1.170
11,13,1.490
12,13,1.230
13,13,1.120
14,13,1.040
15,13,1.320
16,13,1.500
17,13,1.310
18,13,1.110
19,13,1.490
