Genotype,Replicate,baseline,plasticity,baseline_se,plasticity_se
CV1,1,3.33,0.00,1.46,0.01
CV1,2,3.58,0.00,1.38,0.01
CV1,3,3.37,0.00,1.08,0.01
CV1,4,3.55,0.00,1.15,0.01
CV1,5,3.51,0.00,1.16,0.01
CV1,6,3.95,-0.00,1.04,0.01
CV1,7,3.69,0.00,1.18,0.01
CV1,8,3.56,0.00,0.93,0.01
CV1,9,3.53,0.00,0.97,0.01
CV1,10,3.77,0.00,1.17,0.01
CV1,11,3.72,0.00,1.24,0.01
CV1,12,3.55,0.00,0.98,0.01
CV1,13,3.92,0.00,1.23,0.01
CV1,14,3.36,0.00,1.05,0.01
CV1,15,3.74,0.00,1.17,0.01
CV1,16,3.47,0.00,1.28,0.01
CV1,17,3.78,0.00,1.14,0.01
CV1,18,3.81,0.00,1.16,0.01
CV1,19,3.42,0.00,1.03,0.01
CV1,20,3.78,0.00,1.06,0.01
CV1,21,3.64,0.00,1.07,0.01
CV1,22,3.62,0.00,1.04,0.01
CV1,23,3.55,0.00,1.11,0.01
CV1,24,3.58,0.00,0.90,0.01
CV1,25,3.63,-0.00,1.14,0.01
CV1,26,3.22,0.01,1.12,0.01
CV1,27,3.41,0.00,1.16,0.01
CV1,28,3.47,0.00,1.11,0.01
CV1,29,3.57,0.00,1.20,0.01
CV1,30,3.75,-0.00,1.28,0.01
CV1,31,3.53,0.00,1.29,0.01
CV1,32,3.34,0.00,1.06,0.01
CV1,33,3.47,0.00,1.03,0.01
CV1,34,3.66,0.00,0.99,0.01
CV1,35,3.49,0.00,0.99,0.01
CV1,36,3.57,0.00,1.12,0.01
CV1,37,3.56,0.00,0.99,0.01
CV1,38,3.49,0.00,0.98,0.01
CV1,39,3.64,0.00,1.10,0.01
CV1,40,3.49,0.00,1.16,0.01
CV1,41,3.52,0.00,1.25,0.01
CV1,42,3.57,0.00,1.06,0.01
CV1,43,3.56,0.00,1.07,0.01
CV1,44,3.38,0.00,1.01,0.01
CV1,45,3.45,0.00,1.15,0.01
CV1,46,3.62,0.00,1.03,0.01
CV1,47,3.55,0.00,1.21,0.01
CV1,48,3.53,0.00,0.91,0.01
CV1,49,3.71,0.00,1.12,0.01
CV1,50,3.57,0.00,1.19,0.01
