Season,Location ,AV_Site,Genotype,Plot,Block,Row,Yield
2015 season,MidWest,Control,cv1,109,I,East,548.4
2015 season,MidWest,Control,cv1,109,I,East,415.1
2015 season,MidWest,Control,cv1,109,I,Middle,348.5
2015 season,MidWest,Control,cv1,109,I,West,384.4
2015 season,MidWest,Control,cv1,109,I,West,497.1
2015 season,MidWest,Control,cv2,110,I,East,533.2
2015 season,MidWest,Control,cv2,110,I,East,397.5
2015 season,MidWest,Control,cv2,110,I,Middle,421.7
2015 season,MidWest,Control,cv2,110,I,West,358.7
2015 season,MidWest,Control,cv2,110,I,West,450.8
2015 season,MidWest,Control,cv2,111,II,East,513.8
2015 season,MidWest,Control,cv2,111,II,East,489.6
2015 season,MidWest,Control,cv2,111,II,Middle,305.4
2015 season,MidWest,Control,cv2,111,II,West,436.3
2015 season,MidWest,Control,cv2,111,II,West,615.6
2015 season,MidWest,Control,cv1,112,II,East,476.6
2015 season,MidWest,Control,cv1,112,II,East,433.1
2015 season,MidWest,Control,cv1,112,II,Middle,389.5
2015 season,MidWest,Control,cv1,112,II,West,420.2
2015 season,MidWest,Control,cv1,112,II,West,445.9
2015 season,MidWest,Control,cv2,113,III,East,562.3
2015 season,MidWest,Control,cv2,113,III,East,416.9
2015 season,MidWest,Control,cv2,113,III,Middle,460.5
2015 season,MidWest,Control,cv2,113,III,West,392.6
2015 season,MidWest,Control,cv2,113,III,West,465.4
2015 season,MidWest,Control,cv1,114,III,East,522.7
2015 season,MidWest,Control,cv1,114,III,East,358.7
2015 season,MidWest,Control,cv1,114,III,Middle,292.1
2015 season,MidWest,Control,cv1,114,III,West,440.7
2015 season,MidWest,Control,cv1,114,III,West,322.9
2015 season,MidWest,Control,cv1,115,IV,East,517.6
2015 season,MidWest,Control,cv1,115,IV,East,507.4
2015 season,MidWest,Control,cv1,115,IV,Middle,174.3
2015 season,MidWest,Control,cv1,115,IV,West,353.6
2015 season,MidWest,Control,cv1,115,IV,West,363.9
2015 season,MidWest,Control,cv2,116,IV,East,504.1
2015 season,MidWest,Control,cv2,116,IV,East,402.3
2015 season,MidWest,Control,cv2,116,IV,Middle,375.7
2015 season,MidWest,Control,cv2,116,IV,West,378.1
2015 season,MidWest,Control,cv2,116,IV,West,426.6
2015 season,MidWest,AV,cv1,101,I,East,32.4
2015 season,MidWest,AV,cv1,101,I,East,179.7
2015 season,MidWest,AV,cv1,101,I,Middle,169.6
2015 season,MidWest,AV,cv1,101,I,West,150.5
2015 season,MidWest,AV,cv1,101,I,West,94.6
2015 season,MidWest,AV,cv2,102,II,East,124.9
2015 season,MidWest,AV,cv2,102,II,East,144.1
2015 season,MidWest,AV,cv2,102,II,Middle,203.5
2015 season,MidWest,AV,cv2,102,II,West,220.9
2015 season,MidWest,AV,cv2,102,II,West,89.0
2015 season,MidWest,AV,cv2,103,III,East,116.1
2015 season,MidWest,AV,cv2,103,III,East,164.3
2015 season,MidWest,AV,cv2,103,III,Middle,138.2
2015 season,MidWest,AV,cv2,103,III,West,58.8
2015 season,MidWest,AV,cv2,103,III,West,31.7
2015 season,MidWest,AV,cv1,104,IV,East,129.3
2015 season,MidWest,AV,cv1,104,IV,East,172.9
2015 season,MidWest,AV,cv1,104,IV,Middle,172.2
2015 season,MidWest,AV,cv1,104,IV,West,100.1
2015 season,MidWest,AV,cv1,104,IV,West,53.9
2015 season,MidWest,AV,cv2,105,I,East,166.1
2015 season,MidWest,AV,cv2,105,I,East,215.9
2015 season,MidWest,AV,cv2,105,I,Middle,193.4
2015 season,MidWest,AV,cv2,105,I,West,196.6
2015 season,MidWest,AV,cv2,105,I,West,163.8
2015 season,MidWest,AV,cv1,106,II,East,101.2
2015 season,MidWest,AV,cv1,106,II,East,137.0
2015 season,MidWest,AV,cv1,106,II,Middle,64.3
2015 season,MidWest,AV,cv1,106,II,West,74.3
2015 season,MidWest,AV,cv1,106,II,West,86.0
2015 season,MidWest,AV,cv1,107,III,East,116.7
2015 season,MidWest,AV,cv1,107,III,East,182.6
2015 season,MidWest,AV,cv1,107,III,Middle,185.7
2015 season,MidWest,AV,cv1,107,III,West,168.6
2015 season,MidWest,AV,cv1,107,III,West,91.2
2015 season,MidWest,AV,cv2,108,IV,East,128.5
2015 season,MidWest,AV,cv2,108,IV,East,146.4
2015 season,MidWest,AV,cv2,108,IV,Middle,179.7
2015 season,MidWest,AV,cv2,108,IV,West,171.4
2015 season,MidWest,AV,cv2,108,IV,West,145.3
2016 season,MidWest,Control,cv1,109,I,East,675.6
2016 season,MidWest,Control,cv1,109,I,East,511.4
2016 season,MidWest,Control,cv1,109,I,Middle,429.3
2016 season,MidWest,Control,cv1,109,I,West,473.5
2016 season,MidWest,Control,cv1,109,I,West,612.4
2016 season,MidWest,Control,cv2,110,I,East,656.9
2016 season,MidWest,Control,cv2,110,I,East,489.7
2016 season,MidWest,Control,cv2,110,I,Middle,519.6
2016 season,MidWest,Control,cv2,110,I,West,441.9
2016 season,MidWest,Control,cv2,110,I,West,555.4
2016 season,MidWest,Control,cv2,111,II,East,633.0
2016 season,MidWest,Control,cv2,111,II,East,603.2
2016 season,MidWest,Control,cv2,111,II,Middle,376.2
2016 season,MidWest,Control,cv2,111,II,West,537.5
2016 season,MidWest,Control,cv2,111,II,West,758.5
2016 season,MidWest,Control,cv1,112,II,East,587.2
2016 season,MidWest,Control,cv1,112,II,East,479.9
2016 season,MidWest,Control,cv1,112,II,Middle,479.9
2016 season,MidWest,Control,cv1,112,II,West,517.7
2016 season,MidWest,Control,cv1,112,II,West,549.3
2016 season,MidWest,Control,cv2,113,III,East,692.8
2016 season,MidWest,Control,cv2,113,III,East,513.6
2016 season,MidWest,Control,cv2,113,III,Middle,567.3
2016 season,MidWest,Control,cv2,113,III,West,483.7
2016 season,MidWest,Control,cv2,113,III,West,573.3
2016 season,MidWest,Control,cv1,114,III,East,644.0
2016 season,MidWest,Control,cv1,114,III,East,442.0
2016 season,MidWest,Control,cv1,114,III,Middle,359.9
2016 season,MidWest,Control,cv1,114,III,West,543.0
2016 season,MidWest,Control,cv1,114,III,West,397.8
2016 season,MidWest,Control,cv1,115,IV,East,637.7
2016 season,MidWest,Control,cv1,115,IV,East,625.1
2016 season,MidWest,Control,cv1,115,IV,Middle,214.7
2016 season,MidWest,Control,cv1,115,IV,West,435.7
2016 season,MidWest,Control,cv1,115,IV,West,448.3
2016 season,MidWest,Control,cv2,116,IV,East,621.1
2016 season,MidWest,Control,cv2,116,IV,East,495.7
2016 season,MidWest,Control,cv2,116,IV,Middle,462.8
2016 season,MidWest,Control,cv2,116,IV,West,465.8
2016 season,MidWest,Control,cv2,116,IV,West,525.5
2016 season,MidWest,AV,cv1,101,I,East,39.9
2016 season,MidWest,AV,cv1,101,I,East,221.3
2016 season,MidWest,AV,cv1,101,I,Middle,209.0
2016 season,MidWest,AV,cv1,101,I,West,185.5
2016 season,MidWest,AV,cv1,101,I,West,116.5
2016 season,MidWest,AV,cv2,102,II,East,153.9
2016 season,MidWest,AV,cv2,102,II,East,177.5
2016 season,MidWest,AV,cv2,102,II,Middle,250.7
2016 season,MidWest,AV,cv2,102,II,West,272.1
2016 season,MidWest,AV,cv2,102,II,West,109.6
2016 season,MidWest,AV,cv2,103,III,East,143.1
2016 season,MidWest,AV,cv2,103,III,East,200.5
2016 season,MidWest,AV,cv2,103,III,Middle,170.3
2016 season,MidWest,AV,cv2,103,III,West,72.4
2016 season,MidWest,AV,cv2,103,III,West,39.1
2016 season,MidWest,AV,cv1,104,IV,East,159.3
2016 season,MidWest,AV,cv1,104,IV,East,213.0
2016 season,MidWest,AV,cv1,104,IV,Middle,212.2
2016 season,MidWest,AV,cv1,104,IV,West,123.3
2016 season,MidWest,AV,cv1,104,IV,West,35.7
2016 season,MidWest,AV,cv2,105,I,East,204.6
2016 season,MidWest,AV,cv2,105,I,East,256.4
2016 season,MidWest,AV,cv2,105,I,Middle,238.2
2016 season,MidWest,AV,cv2,105,I,West,242.2
2016 season,MidWest,AV,cv2,105,I,West,201.8
2016 season,MidWest,AV,cv1,106,II,East,124.7
2016 season,MidWest,AV,cv1,106,II,East,168.8
2016 season,MidWest,AV,cv1,106,II,Middle,80.2
2016 season,MidWest,AV,cv1,106,II,West,91.5
2016 season,MidWest,AV,cv1,106,II,West,106.3
2016 season,MidWest,AV,cv1,107,III,East,143.8
2016 season,MidWest,AV,cv1,107,III,East,225.0
2016 season,MidWest,AV,cv1,107,III,Middle,228.8
2016 season,MidWest,AV,cv1,107,III,West,207.8
2016 season,MidWest,AV,cv1,107,III,West,112.4
2016 season,MidWest,AV,cv2,108,IV,East,158.3
2016 season,MidWest,AV,cv2,108,IV,East,180.4
2016 season,MidWest,AV,cv2,108,IV,Middle,220.1
2016 season,MidWest,AV,cv2,108,IV,West,211.2
2016 season,MidWest,AV,cv2,108,IV,West,185.3
2015 season,East,Control,cv1,109,I,East,477.1
2015 season,East,Control,cv1,109,I,East,361.2
2015 season,East,Control,cv1,109,I,Middle,303.2
2015 season,East,Control,cv1,109,I,West,334.4
2015 season,East,Control,cv1,109,I,West,432.5
2015 season,East,Control,cv2,110,I,East,463.9
2015 season,East,Control,cv2,110,I,East,345.8
2015 season,East,Control,cv2,110,I,Middle,366.9
2015 season,East,Control,cv2,110,I,West,312.1
2015 season,East,Control,cv2,110,I,West,392.2
2015 season,East,Control,cv2,111,II,East,447.0
2015 season,East,Control,cv2,111,II,East,425.9
2015 season,East,Control,cv2,111,II,Middle,265.7
2015 season,East,Control,cv2,111,II,West,379.6
2015 season,East,Control,cv2,111,II,West,535.6
2015 season,East,Control,cv1,112,II,East,414.7
2015 season,East,Control,cv1,112,II,East,338.9
2015 season,East,Control,cv1,112,II,Middle,338.9
2015 season,East,Control,cv1,112,II,West,365.6
2015 season,East,Control,cv1,112,II,West,387.9
2015 season,East,Control,cv2,113,III,East,489.2
2015 season,East,Control,cv2,113,III,East,362.7
2015 season,East,Control,cv2,113,III,Middle,500.8
2015 season,East,Control,cv2,113,III,West,427.0
2015 season,East,Control,cv2,113,III,West,506.1
2015 season,East,Control,cv1,114,III,East,568.5
2015 season,East,Control,cv1,114,III,East,390.1
2015 season,East,Control,cv1,114,III,Middle,317.7
2015 season,East,Control,cv1,114,III,West,479.3
2015 season,East,Control,cv1,114,III,West,351.1
2015 season,East,Control,cv1,115,IV,East,562.9
2015 season,East,Control,cv1,115,IV,East,551.8
2015 season,East,Control,cv1,115,IV,Middle,189.5
2015 season,East,Control,cv1,115,IV,West,384.6
2015 season,East,Control,cv1,115,IV,West,395.7
2015 season,East,Control,cv2,116,IV,East,548.2
2015 season,East,Control,cv2,116,IV,East,437.5
2015 season,East,Control,cv2,116,IV,Middle,408.6
2015 season,East,Control,cv2,116,IV,West,411.2
2015 season,East,Control,cv2,116,IV,West,463.9
2015 season,East,AV,cv1,101,I,East,35.2
2015 season,East,AV,cv1,101,I,East,195.4
2015 season,East,AV,cv1,101,I,Middle,184.5
2015 season,East,AV,cv1,101,I,West,163.7
2015 season,East,AV,cv1,101,I,West,102.8
2015 season,East,AV,cv2,102,II,East,135.9
2015 season,East,AV,cv2,102,II,East,156.7
2015 season,East,AV,cv2,102,II,Middle,221.3
2015 season,East,AV,cv2,102,II,West,240.2
2015 season,East,AV,cv2,102,II,West,96.8
