Season,Genotype,Plot,Block,Row1,Row,Site,Yield,,,,
2015,cv1,109,I,1,Side1,Control,548.36,,,,
2015,cv1,109,I,2,Side1,Control,415.11,,,,
2015,cv1,109,I,3,Middle,Control,348.49,,,,
2015,cv1,109,I,4,Side2,Control,384.36,,,,
2015,cv1,109,I,5,Side2,Control,497.11,,,,
2015,cv2,110,I,1,Side1,Control,533.22,,,,
2015,cv2,110,I,2,Side1,Control,397.49,,,,
2015,cv2,110,I,3,Middle,Control,421.73,,,,
2015,cv2,110,I,4,Side2,Control,358.71,,,,
2015,cv2,110,I,5,Side2,Control,450.81,,,,
2015,cv2,111,II,1,Side1,Control,513.83,,,,
2015,cv2,111,II,2,Side1,Control,489.59,,,,
2015,cv2,111,II,3,Middle,Control,305.39,,,,
2015,cv2,111,II,4,Side2,Control,436.27,,,,
2015,cv2,111,II,5,Side2,Control,615.63,,,,
2015,cv1,112,II,1,Side1,Control,476.61,,,,
2015,cv1,112,II,2,Side1,Control,389.49,,,,
2015,cv1,112,II,3,Middle,Control,389.49,,,,
2015,cv1,112,II,4,Side2,Control,420.24,,,,
2015,cv1,112,II,5,Side2,Control,445.86,,,,
2015,cv2,113,III,1,Side1,Control,562.30,,,,
2015,cv2,113,III,2,Side1,Control,416.88,,,,
2015,cv2,113,III,3,Middle,Control,460.51,,,,
2015,cv2,113,III,4,Side2,Control,392.64,,,,
2015,cv2,113,III,5,Side2,Control,465.35,,,,
2015,cv1,114,III,1,Side1,Control,522.74,,,,
2015,cv1,114,III,2,Side1,Control,358.74,,,,
2015,cv1,114,III,3,Middle,Control,292.12,,,,
2015,cv1,114,III,4,Side2,Control,440.74,,,,
2015,cv1,114,III,5,Side2,Control,322.87,,,,
2015,cv1,115,IV,1,Side1,Control,517.61,,,,
2015,cv1,115,IV,2,Side1,Control,507.36,,,,
2015,cv1,115,IV,3,Middle,Control,174.25,,,,
2015,cv1,115,IV,4,Side2,Control,353.62,,,,
2015,cv1,115,IV,5,Side2,Control,363.86,,,,
2015,cv2,116,IV,1,Side1,Control,504.13,,,,
2015,cv2,116,IV,2,Side1,Control,402.34,,,,
2015,cv2,116,IV,3,Middle,Control,375.68,,,,
2015,cv2,116,IV,4,Side2,Control,378.10,,,,
2015,cv2,116,IV,5,Side2,Control,426.57,,,,
2015,cv1,101,I,1,Side1,AV,32.35,,,,
2015,cv1,101,I,2,Side1,AV,179.66,,,,
2015,cv1,101,I,3,Middle,AV,169.62,,,,
2015,cv1,101,I,4,Side2,AV,150.52,,,,
2015,cv1,101,I,5,Side2,AV,94.55,,,,
2015,cv2,102,II,1,Side1,AV,124.93,,,,
2015,cv2,102,II,2,Side1,AV,144.09,,,,
2015,cv2,102,II,3,Middle,AV,203.48,,,,
