Season,Genotype,Plot,Block,Row,Site,GY
2016,cv1,207,I,1,Control,548.36
2016,cv1,207,I,2,Control,348.49
2016,cv1,207,I,3,Control,497.11
2016,cv2,208,I,1,Control,533.22
2016,cv2,208,I,2,Control,421.73
2016,cv2,208,I,3,Control,450.81
2016,cv2,210,II,1,Control,513.83
2016,cv2,210,II,2,Control,305.39
2016,cv2,210,II,3,Control,615.63
2016,cv1,211,II,1,Control,476.61
2016,cv1,211,II,2,Control,389.49
2016,cv1,211,II,3,Control,445.86
2016,cv2,219,III,1,Control,562.3
2016,cv2,219,III,2,Control,460.51
2016,cv2,219,III,3,Control,465.35
2016,cv1,221,III,1,Control,522.74
2016,cv1,221,III,2,Control,292.12
2016,cv1,221,III,3,Control,322.87
2016,cv1,222,IV,1,Control,517.61
2016,cv1,222,IV,2,Control,174.25
2016,cv1,222,IV,3,Control,363.86
2016,cv2,223,IV,1,Control,504.13
2016,cv2,223,IV,2,Control,375.68
2016,cv2,223,IV,3,Control,426.57
2016,cv1,102,I,1,AV,32.35
2016,cv1,102,I,2,AV,169.62
2016,cv1,102,I,3,AV,94.55
2016,cv2,105,II,1,AV,124.93
2016,cv2,105,II,2,AV,203.48
2016,cv2,105,II,3,AV,88.98
2016,cv2,107,III,1,AV,116.14
2016,cv2,107,III,2,AV,138.19
2016,cv2,107,III,3,AV,31.69
2016,cv1,110,IV,1,AV,129.27
2016,cv1,110,IV,2,AV,172.24
2016,cv1,110,IV,3,AV,53.87
2016,cv2,115,I,1,AV,166.08
2016,cv2,115,I,2,AV,193.37
2016,cv2,115,I,3,AV,163.78
2016,cv1,116,II,1,AV,101.18
2016,cv1,116,II,2,AV,64.3
2016,cv1,116,II,3,AV,86.02
2016,cv1,121,III,1,AV,116.73
2016,cv1,121,III,2,AV,185.7
2016,cv1,121,III,3,AV,91.21
2016,cv2,122,IV,1,AV,128.48
2016,cv2,122,IV,2,AV,179.66
2016,cv2,122,IV,3,AV,145.34
2015,cv1,3,I,1,AV,430.46
2015,cv1,3,I,2,AV,273.56
2015,cv1,3,I,3,AV,390.23
2015,cv1,6,II,1,AV,418.58
2015,cv1,6,II,2,AV,331.06
2015,cv1,6,II,3,AV,353.89
2015,cv1,7,III,1,AV,403.36
2015,cv1,7,III,2,AV,239.73
2015,cv1,7,III,3,AV,483.27
2015,cv1,11,IV,1,AV,374.14
2015,cv1,11,IV,2,AV,305.75
2015,cv1,11,IV,3,AV,350
2016,cv1,207,I,1,Control,441.41
2016,cv1,207,I,2,Control,361.5
2016,cv1,207,I,3,Control,365.3
2016,cv2,208,I,1,Control,410.35
2016,cv2,208,I,2,Control,229.31
2016,cv2,208,I,3,Control,253.45
2016,cv2,210,II,1,Control,406.32
2016,cv2,210,II,2,Control,136.78
2016,cv2,210,II,3,Control,285.63
2016,cv1,211,II,1,Control,395.75
2016,cv1,211,II,2,Control,294.91
2016,cv1,211,II,3,Control,334.86
2016,cv2,219,III,1,Control,25.39
2016,cv2,219,III,2,Control,133.15
2016,cv2,219,III,3,Control,74.22
2016,cv1,221,III,1,Control,98.07
2016,cv1,221,III,2,Control,159.73
2016,cv1,221,III,3,Control,69.85
2016,cv1,222,IV,1,Control,91.17
2016,cv1,222,IV,2,Control,108.48
2016,cv1,222,IV,3,Control,24.88
2016,cv2,223,IV,1,Control,101.47
2016,cv2,223,IV,2,Control,135.21
2016,cv2,223,IV,3,Control,42.29
2016,cv1,102,I,1,AV,130.37
2016,cv1,102,I,2,AV,151.8
2016,cv1,102,I,3,AV,128.57
2016,cv2,105,II,1,AV,79.43
2016,cv2,105,II,2,AV,50.48
2016,cv2,105,II,3,AV,67.53
2016,cv2,107,III,1,AV,91.63
2016,cv2,107,III,2,AV,145.77
2016,cv2,107,III,3,AV,71.6
2016,cv1,110,IV,1,AV,100.85
2016,cv1,110,IV,2,AV,141.03
2016,cv1,110,IV,3,AV,114.09
2016,cv2,115,I,1,AV,337.91
2016,cv2,115,I,2,AV,214.75
2016,cv2,115,I,3,AV,306.33
2016,cv1,116,II,1,AV,328.58
2016,cv1,116,II,2,AV,259.88
2016,cv1,116,II,3,AV,277.8
2016,cv1,121,III,1,AV,316.63
2016,cv1,121,III,2,AV,188.19
2016,cv1,121,III,3,AV,379.36
2016,cv2,122,IV,1,AV,293.7
2016,cv2,122,IV,2,AV,240.01
2016,cv2,122,IV,3,AV,274.75
2015,cv1,3,I,1,AV,346.51
2015,cv1,3,I,2,AV,283.78
2015,cv1,3,I,3,AV,286.76
2015,cv1,6,II,1,AV,322.12
2015,cv1,6,II,2,AV,180.01
2015,cv1,6,II,3,AV,198.96
2015,cv1,7,III,1,AV,318.96
2015,cv1,7,III,2,AV,107.37
2015,cv1,7,III,3,AV,224.22
2015,cv1,11,IV,1,AV,310.66
2015,cv1,11,IV,2,AV,231.5
2015,cv1,11,IV,3,AV,262.87
