Site,Genotype,Block,Plot,Rows,Yield,AGW,GN
AV,CV1,I,101,1,284.43,30.69,9267
AV,CV1,I,101,1,271.08,49.12,5519
AV,CV1,I,101,3,260.44,25.47,10224
AV,CV1,I,101,2,375.78,29.24,12853
AV,CV1,I,101,2,239.39,26.49,9038
AV,CV1,II,102,1,337.32,28.55,11816
AV,CV1,II,102,1,416.37,24.76,16814
AV,CV1,II,102,3,619.96,23.88,25959
AV,CV1,II,102,2,248.08,29.22,8491
AV,CV1,II,102,2,343.31,28.79,11926
AV,CV1,III,103,1,277.69,28.78,9649
AV,CV1,III,103,1,554.97,26.71,20778
AV,CV1,III,103,3,544.07,23.86,22799
AV,CV1,III,103,2,442.08,25.39,17414
AV,CV1,III,103,2,298.27,29.46,10124
AV,CV1,IV,104,1,382.53,28.61,13371
AV,CV1,IV,104,1,448.77,29.26,15338
AV,CV1,IV,104,3,644.6,20.89,30858
AV,CV1,IV,104,2,466.11,27.73,16811
AV,CV1,IV,104,2,432.95,27.66,15653
Control,CV1,I,201,1,313.73,28.12,13248
Control,CV1,II,202,1,441.65,26.29,19952
Control,CV1,III,203,1,542.28,20.79,30974
Control,CV1,IV,204,1,364.59,27.69,15637
Control,CV1,I,201,1,293.05,28.12,13248
Control,CV1,II,202,1,412.54,26.29,19952
Control,CV1,III,203,1,506.54,20.79,30974
Control,CV1,IV,204,1,340.56,27.69,15637
Control,CV1,I,201,3,372.6,28.12,13248
Control,CV1,II,202,3,524.53,26.29,19952
Control,CV1,III,203,3,644.04,20.79,30974
Control,CV1,IV,204,3,433.01,27.69,15637
Control,CV1,I,201,2,344.66,28.12,13248
Control,CV1,II,202,2,485.19,26.29,19952
Control,CV1,III,203,2,595.74,20.79,30974
Control,CV1,IV,204,2,400.53,27.69,15637
Control,CV1,I,201,2,352.85,28.12,13248
Control,CV1,II,202,2,496.73,26.29,19952
Control,CV1,III,203,2,609.91,20.79,30974
Control,CV1,IV,204,2,410.06,27.69,15637
AV,CV2,I,101,1,142.22,30.38,4634
AV,CV2,I,101,1,135.54,48.63,2760
AV,CV2,I,101,3,130.22,25.22,5112
AV,CV2,I,101,2,187.89,28.95,6427
AV,CV2,I,101,2,119.70,26.23,4519
AV,CV2,II,102,1,168.66,28.26,5908
AV,CV2,II,102,1,208.19,24.51,8407
AV,CV2,II,102,3,309.98,23.64,12980
AV,CV2,II,102,2,124.04,28.93,4246
AV,CV2,II,102,2,171.66,28.50,5963
AV,CV2,III,103,1,138.85,28.49,4825
AV,CV2,III,103,1,277.49,26.44,10389
AV,CV2,III,103,3,272.04,23.62,11400
AV,CV2,III,103,2,221.04,25.14,8707
AV,CV2,III,103,2,149.14,29.17,5062
AV,CV2,IV,104,1,191.27,28.32,6686
AV,CV2,IV,104,1,224.39,28.97,7669
AV,CV2,IV,104,3,322.30,20.68,15429
AV,CV2,IV,104,2,233.06,27.45,8406
AV,CV2,IV,104,2,216.48,27.38,7827
Control,CV2,I,201,1,241.57,27.28,10333
Control,CV2,II,202,1,340.07,25.50,15563
Control,CV2,III,203,1,417.56,20.17,24160
Control,CV2,IV,204,1,280.73,26.86,12197
Control,CV2,I,201,1,225.65,27.28,10333
Control,CV2,II,202,1,317.66,25.50,15563
Control,CV2,III,203,1,390.04,20.17,24160
Control,CV2,IV,204,1,262.23,26.86,12197
Control,CV2,I,201,3,286.90,27.28,10333
Control,CV2,II,202,3,403.89,25.50,15563
Control,CV2,III,203,3,495.91,20.17,24160
Control,CV2,IV,204,3,333.42,26.86,12197
Control,CV2,I,201,2,265.39,27.28,10333
Control,CV2,II,202,2,373.60,25.50,15563
Control,CV2,III,203,2,458.72,20.17,24160
Control,CV2,IV,204,2,308.41,26.86,12197
Control,CV2,I,201,2,271.69,27.28,10333
Control,CV2,II,202,2,382.48,25.50,15563
Control,CV2,III,203,2,469.63,20.17,24160
Control,CV2,IV,204,2,315.75,26.86,12197
