Season,Site,Block,Rows,Yield,AGW,GN
2017,AV,I,1,284.43,30.69,9267
2017,AV,I,1,271.08,49.12,5519
2017,AV,I,3,260.44,25.47,10224
2017,AV,I,2,375.78,29.24,12853
2017,AV,I,2,239.39,26.49,9038
2017,AV,II,1,337.32,28.55,11816
2017,AV,II,1,416.37,24.76,16814
2017,AV,II,3,619.96,23.88,25959
2017,AV,II,2,248.08,29.22,8491
2017,AV,II,2,343.31,28.79,11926
2017,AV,III,1,277.69,28.78,9649
2017,AV,III,1,554.97,26.71,20778
2017,AV,III,3,544.07,23.86,22799
2017,AV,III,2,442.08,25.39,17414
2017,AV,III,2,298.27,29.46,10124
2017,AV,IV,1,382.53,28.61,13371
2017,AV,IV,1,448.77,29.26,15338
2017,AV,IV,3,644.6,20.89,30858
2017,AV,IV,2,466.11,27.73,16811
2017,AV,IV,2,432.95,27.66,15653
2017,Control,I,1,313.73,28.12,13248
2017,Control,II,1,441.65,26.29,19952
2017,Control,III,1,542.28,20.79,30974
2017,Control,IV,1,364.59,27.69,15637
2017,Control,I,1,293.05,28.12,13248
2017,Control,II,1,412.54,26.29,19952
2017,Control,III,1,506.54,20.79,30974
2017,Control,IV,1,340.56,27.69,15637
2017,Control,I,3,372.6,28.12,13248
2017,Control,II,3,524.53,26.29,19952
2017,Control,III,3,644.04,20.79,30974
2017,Control,IV,3,433.01,27.69,15637
2017,Control,I,2,344.66,28.12,13248
2017,Control,II,2,485.19,26.29,19952
2017,Control,III,2,595.74,20.79,30974
2017,Control,IV,2,400.53,27.69,15637
2017,Control,I,2,352.85,28.12,13248
2017,Control,II,2,496.73,26.29,19952
2017,Control,III,2,609.91,20.79,30974
2017,Control,IV,2,410.06,27.69,15637
2018,Control,I,1,906.824147,30.85,29394.62389
2018,Control,I,1,838.812336,30.85,27190.0271
2018,Control,I,3,680.1181102,30.85,22045.96792
2018,Control,I,2,702.7887139,30.85,22780.83351
2018,Control,I,2,906.824147,30.85,29394.62389
2018,Control,II,1,680.1181102,30.85,22045.96792
2018,Control,II,1,770.8005249,30.85,24985.43031
2018,Control,II,3,657.4475066,30.85,21311.10232
2018,Control,II,2,589.4356955,30.85,19106.50553
2018,Control,II,2,861.4829396,30.85,27924.89269
2018,Control,III,1,997.5065617,30.85,32334.08628
2018,Control,III,1,929.4947507,30.85,30129.48949
2018,Control,III,3,793.4711286,30.85,25720.2959
2018,Control,III,2,680.1181102,30.85,22045.96792
2018,Control,III,2,770.8005249,30.85,24985.43031
2018,Control,IV,1,793.4711286,30.85,25720.2959
2018,Control,IV,1,770.8005249,30.85,24985.43031
2018,Control,IV,3,725.4593176,30.85,23515.69911
2018,Control,IV,2,906.824147,30.85,29394.62389
2018,Control,IV,2,1020.177165,30.85,33068.95188
2018,AV,I,1,604.3307087,29.43,20534.5127
2018,AV,I,1,574.1469816,28.78,19949.51291
2018,AV,I,3,651.5748031,29.58,22027.54575
2018,AV,I,2,647.6377953,28.9,22409.61229
2018,AV,I,2,447.5065617,29.82,15006.92695
2018,AV,II,1,528.5433071,29.27,18057.50964
2018,AV,II,1,678.1496063,28.4,23878.50726
2018,AV,II,3,685.3674541,27.52,24904.34063
2018,AV,II,2,657.152231,28.2,23303.2706
2018,AV,II,2,566.2729659,29.29,19333.32079
2018,AV,III,1,618.4383202,30.37,20363.46132
2018,AV,III,1,511.1548556,29.2,17505.30328
2018,AV,III,3,731.2992126,28,26117.82902
2018,AV,III,2,651.2467192,27.99,23267.12108
2018,AV,III,2,465.2230971,28.89,16103.25708
2018,AV,IV,1,697.8346457,29.25,23857.59472
2018,AV,IV,1,587.5984252,28.75,20438.20609
2018,AV,IV,3,738.5170604,28.83,25616.26987
2018,AV,IV,2,439.9606299,27.86,15791.83883
2018,AV,IV,2,586.6141732,28.55,20546.90624
