Site,Genotype,Block,Plot,Rows,Yield,AGW,GN
AV,CV1,I,101,1,271.08,49.12,5519
AV,CV1,I,101,3,260.44,25.47,10224
AV,CV1,I,101,2,239.39,26.49,9038
AV,CV1,II,102,1,337.32,28.55,11816
AV,CV1,II,102,3,619.96,23.88,25959
AV,CV1,II,102,2,248.08,29.22,8491
AV,CV1,III,103,1,277.69,28.78,9649
AV,CV1,III,103,3,544.07,23.86,22799
AV,CV1,III,103,2,442.08,25.39,17414
AV,CV1,IV,104,1,382.53,28.61,13371
AV,CV1,IV,104,3,644.6,20.89,30858
AV,CV1,IV,104,2,466.11,27.73,16811
Control,CV1,I,201,1,313.73,28.12,13248
Control,CV1,II,202,1,441.65,26.29,19952
Control,CV1,III,203,1,542.28,20.79,30974
Control,CV1,IV,204,1,364.59,27.69,15637
Control,CV1,I,201,3,372.6,28.12,13248
Control,CV1,II,202,3,524.53,26.29,19952
Control,CV1,III,203,3,644.04,20.79,30974
Control,CV1,IV,204,3,433.01,27.69,15637
Control,CV1,I,201,2,344.66,28.12,13248
Control,CV1,II,202,2,485.19,26.29,19952
Control,CV1,III,203,2,595.74,20.79,30974
Control,CV1,IV,204,2,400.53,27.69,15637
AV,CV2,I,101,1,142.22,30.38,4634
AV,CV2,I,101,3,130.22,25.22,5112
AV,CV2,I,101,2,187.89,28.95,6427
AV,CV2,II,102,1,168.66,28.26,5908
AV,CV2,II,102,3,309.98,23.64,12980
AV,CV2,II,102,2,124.04,28.93,4246
AV,CV2,III,103,1,138.85,28.49,4825
AV,CV2,III,103,3,272.04,23.62,11400
AV,CV2,III,103,2,221.04,25.14,8707
AV,CV2,IV,104,1,191.27,28.32,6686
AV,CV2,IV,104,3,322.3,20.68,15429
AV,CV2,IV,104,2,233.06,27.45,8406
Control,CV2,I,201,1,241.57,27.28,10333
Control,CV2,II,202,1,340.07,25.5,15563
Control,CV2,III,203,1,417.56,20.17,24160
Control,CV2,IV,204,1,280.73,26.86,12197
Control,CV2,I,201,3,286.9,27.28,10333
Control,CV2,II,202,3,403.89,25.5,15563
Control,CV2,III,203,3,495.91,20.17,24160
Control,CV2,IV,204,3,333.42,26.86,12197
Control,CV2,I,201,2,265.39,27.28,10333
Control,CV2,II,202,2,373.6,25.5,15563
Control,CV2,III,203,2,458.72,20.17,24160
Control,CV2,IV,204,2,308.41,26.86,12197
