Season,Site,Plot,Genotype,Block1,Block,Row,Plant,Yield
2023,Control,A101,CV1,I,I,East,1,509.400
2023,Control,A101,CV1,I,I,East,2,134.800
2023,Control,A101,CV1,I,I,East,3,102.100
2023,Control,A101,CV1,I,I,East,4,173.600
2023,Control,A101,CV1,I,I,East,5,193.400
2023,Control,A101,CV1,I,I,West,1,92.000
2023,Control,A101,CV1,I,I,West,2,212.800
2023,Control,A101,CV1,I,I,West,3,278.900
2023,Control,A101,CV1,I,I,West,4,280.800
2023,Control,A201,CV1,II,II,East,1,101.500
2023,Control,A201,CV1,II,II,East,2,234.500
2023,Control,A201,CV1,II,II,East,3,147.500
2023,Control,A201,CV1,II,II,East,4,46.100
2023,Control,A201,CV1,II,II,East,5,83.000
2023,Control,A201,CV1,II,II,West,1,232.700
2023,Control,A201,CV1,II,II,West,2,133.000
2023,Control,A201,CV1,II,II,West,3,225.500
2023,Control,A201,CV1,II,II,West,4,135.400
2023,Control,A201,CV1,II,II,West,5,142.900
2023,Control,A301,CV1,III,III,East,1,194.400
2023,Control,A301,CV1,III,III,East,2,192.800
2023,Control,A301,CV1,III,III,East,3,145.600
2023,Control,A301,CV1,III,III,East,4,223.800
2023,Control,A301,CV1,III,III,East,5,137.800
2023,Control,A301,CV1,III,III,West,1,128.400
2023,Control,A301,CV1,III,III,West,2,95.000
2023,Control,A301,CV1,III,III,West,3,160.000
2023,Control,A301,CV1,III,III,West,4,162.000
2023,Control,A301,CV1,III,III,West,5,81.600
2023,Control,A401,CV1,IV,IV,East,1,207.600
2023,Control,A301,CV1,IV,IV,East,2,210.000
2023,Control,A301,CV1,IV,IV,East,3,415.500
2023,Control,A301,CV1,IV,IV,East,4,202.900
2023,Control,A301,CV1,IV,IV,East,5,98.900
2023,Control,A301,CV1,IV,IV,West,1,560.100
2023,Control,A301,CV1,IV,IV,West,2,437.900
2023,Control,A301,CV1,IV,IV,West,3,170.600
2023,Control,A301,CV1,IV,IV,West,4,204.000
2023,Control,A301,CV1,IV,IV,West,5,35.600
2023,AV,B101,CV1,I,A,East,1,390.300
2023,AV,B101,CV1,I,A,East,2,93.500
2023,AV,B101,CV1,I,A,East,3,161.300
2023,AV,B101,CV1,I,A,East,4,223.200
2023,AV,B101,CV1,I,A,East,5,268.500
2023,AV,B101,CV1,I,A,West,1,101.600
2023,AV,B101,CV1,I,A,West,2,188.100
2023,AV,B101,CV1,I,A,West,3,177.300
2023,AV,B101,CV1,I,A,West,4,49.000
2023,AV,B101,CV1,I,A,West,5,150.200
2023,AV,B201,CV1,II,B,East,1,112.700
2023,AV,B201,CV1,II,B,East,2,168.100
2023,AV,B201,CV1,II,B,East,3,224.600
2023,AV,B201,CV1,II,B,East,4,113.600
2023,AV,B201,CV1,II,B,East,5,118.100
2023,AV,B201,CV1,II,B,West,1,171.800
2023,AV,B201,CV1,II,B,West,2,101.900
2023,AV,B201,CV1,II,B,West,3,79.400
2023,AV,B201,CV1,II,B,West,4,64.500
2023,AV,B201,CV1,II,B,West,5,80.400
2023,AV,B301,CV1,III,C,East,1,83.200
2023,AV,B301,CV1,III,C,East,2,51.200
2023,AV,B301,CV1,III,C,East,3,302.200
2023,AV,B301,CV1,III,C,East,4,220.000
2023,AV,B301,CV1,III,C,East,5,114.300
