season,cultivar,treatment,rep,biomass,nitrogen,phosphorus
2022,cv1,N0,1,9.16,1.23,0.41
2022,cv1,N0,2,13.06,1.49,0.45
2022,cv1,N0,3,8.4,1.18,0.31
2022,cv1,N0,4,11.97,1.42,0.48
2022,cv1,N1,1,24.9,1.77,0.49
2022,cv1,N1,2,22.9,1.74,0.46
2022,cv1,N1,3,28.78,1.85,0.42
2022,cv1,N1,4,24.84,1.75,0.42
2022,cv1,N2,1,25.58,1.81,0.46
2022,cv1,N2,2,35.11,2.01,0.36
2022,cv1,N2,3,36.57,2.03,0.38
2022,cv1,N2,4,40.56,2.04,0.42
2022,cv1,N3,1,42.2,2.06,0.48
2022,cv1,N3,2,31.76,1.93,0.42
2022,cv1,N3,3,43.79,2.11,0.41
2022,cv1,N3,4,43.67,2.09,0.32
2022,cv1,N4,1,52.47,2.34,0.49
2022,cv1,N4,2,45.83,2.16,0.38
2022,cv1,N4,3,48.3,2.20,0.31
2022,cv1,N4,4,51.09,2.29,0.28
2022,cv2,N0,1,9.83,1.27,0.40
2022,cv2,N0,2,6.74,1.07,0.37
2022,cv2,N0,3,15.85,1.60,0.42
2022,cv2,N0,4,14.09,1.57,0.49
2022,cv2,N0,5,9.9,1.32,0.45
2022,cv2,N1,1,25.56,1.79,0.50
2022,cv2,N1,2,16.78,1.64,0.32
2022,cv2,N1,3,21.57,1.71,0.43
2022,cv2,N1,4,25.61,1.81,0.43
2022,cv2,N1,5,26.5,1.82,0.34
2022,cv2,N2,1,42.56,2.06,0.39
2022,cv2,N2,3,21.9,1.72,0.26
2022,cv2,N2,4,29.26,1.88,0.35
2022,cv2,N2,5,16.16,1.63,0.38
2022,cv2,N3,1,50.18,2.25,0.45
2022,cv2,N3,2,29.38,1.89,0.43
2022,cv2,N3,3,42.11,2.05,0.34
2022,cv2,N3,4,45.42,2.14,0.53
2022,cv2,N3,5,27.7,1.85,0.38
2022,cv2,N4,1,59.88,2.70,0.47
2022,cv2,N4,2,36.56,2.03,0.35
2022,cv2,N4,3,47.23,2.16,0.39
2022,cv2,N4,4,63.39,2.89,0.49
2022,cv2,N4,5,47.39,2.17,0.46
2023,cv2,N0,1,13.88,1.54,0.41
2023,cv2,N0,2,9.06,1.19,0.42
2023,cv2,N1,1,36.63,2.04,0.43
2023,cv2,N1,2,32.64,2.00,0.45
2023,cv2,N2,1,45.32,2.13,0.43
2023,cv2,N3,1,12.76,1.44,0.32
2023,cv2,N4,1,52.83,2.34,0.44
2023,cv2,N4,2,35.78,2.01,0.42
2023,cv3,N0,1,14.65,1.60,0.52
2023,cv3,N0,2,13.41,1.50,0.45
2023,cv3,N1,1,31.9,1.98,0.62
2023,cv3,N1,2,33.1,2.00,0.59
2023,cv3,N2,1,21.07,1.67,0.47
2023,cv3,N2,2,18.39,1.66,0.37
2023,cv3,N3,1,47.72,2.20,0.49
2023,cv3,N3,2,47.69,2.18,0.46
2023,cv3,N4,1,54.42,2.48,0.53
2023,cv3,N4,2,59.06,2.58,0.48
