Treatment,Block,Plant,Branch,Days,Biomass
Drought,I,1,1,45,72.01
Drought,I,2,1,45,101.08
Drought,I,2,2,45,75.21
Drought,I,2,3,45,77.08
Drought,I,3,1,45,185.36
Drought,I,3,2,45,86.68
Drought,I,4,1,45,78.68
Drought,I,4,2,45,73.61
Drought,I,5,1,45,182.69
Drought,I,6,1,45,122.15
Drought,I,7,1,45,420.32
Drought,I,8,1,45,48.01
Drought,I,8,2,45,101.08
Drought,II,1,1,45,144.82
Drought,II,1,2,45,76.81
Drought,II,1,3,45,68.54
Drought,II,1,4,45,138.42
Drought,II,2,1,45,151.22
Drought,II,2,2,45,68.01
Drought,II,2,3,45,66.94
Drought,II,3,1,45,56.81
Drought,II,4,1,45,308.57
Drought,II,4,2,45,159.22
Drought,III,1,1,45,175.49
Drought,III,3,1,45,75.48
Drought,III,6,1,45,53.87
Drought,III,7,1,45,107.48
Drought,III,7,2,45,61.34
Drought,III,8,1,45,57.87
Drought,IV,1,1,45,104.28
Drought,IV,1,2,45,133.35
Drought,IV,1,3,45,344.04
Drought,IV,2,1,45,297.64
Drought,IV,2,2,45,62.67
Drought,IV,2,3,45,359.51
Drought,IV,3,1,45,105.88
Drought,IV,3,2,45,121.88
Drought,IV,5,1,45,73.08
Drought,IV,5,2,45,55.47
Drought,IV,6,1,45,62.94
Drought,IV,6,2,45,85.88
Drought,IV,6,3,45,55.74
Drought,IV,6,4,45,83.21
Drought,IV,6,5,45,146.69
Drought,IV,6,6,45,85.34
Drought,IV,7,1,45,60.27
Drought,IV,8,1,45,178.69
Drought,IV,8,2,45,63.74
Drought,I,2,1,52,128.02
Drought,I,2,2,52,141.62
Drought,I,3,1,52,155.75
Drought,I,4,1,52,150.42
Drought,I,4,2,52,153.09
Drought,I,5,1,52,196.56
Drought,I,5,2,52,245.90
Drought,I,6,1,52,174.96
Drought,I,6,2,52,194.96
Drought,I,6,3,52,122.15
Drought,II,7,1,52,114.95
Drought,III,3,1,52,142.42
Drought,III,3,2,52,114.68
Drought,III,5,1,52,133.35
Drought,III,6,1,52,143.75
Drought,IV,2,1,52,142.95
Drought,IV,5,1,52,113.61
Drought,IV,7,1,52,129.88
Drought,IV,8,1,52,167.49
Drought,I,1,1,59,290.97
Drought,I,1,2,59,194.16
Drought,I,1,3,59,199.22
Drought,I,4,1,59,372.85
Drought,I,4,2,59,365.65
Drought,I,5,1,59,252.56
Drought,I,5,2,59,226.43
Drought,I,6,1,59,239.76
Drought,I,6,2,59,217.89
Drought,I,8,1,59,335.78
Drought,I,8,2,59,188.56
Drought,I,8,3,59,178.42
Drought,I,8,4,59,254.70
Drought,II,1,1,59,128.55
Drought,II,1,2,59,88.28
Drought,II,2,1,59,236.03
Drought,II,2,2,59,274.97
Drought,II,2,3,59,168.82
Drought,II,3,1,59,186.96
Drought,II,5,1,59,174.96
Drought,II,5,2,59,147.75
Drought,II,5,3,59,124.28
Drought,II,5,4,59,116.01
