season,crop ,reps,days,ch
2024,Sorghum,1,65,65.8
2024,Sorghum,2,65,63
2024,Sorghum,3,65,62.7
2024,Sorghum,4,65,61.4
2024,Sorghum,1,75,57.3
2024,Sorghum,2,75,56.5
2024,Sorghum,3,75,59.8
2024,Sorghum,4,75,59.1
2024,Sorghum,1,85,54.7
2024,Sorghum,2,85,55
2024,Sorghum,3,85,59.1
2024,Sorghum,4,85,58.1
2024,Sorghum,1,95,50.2
2024,Sorghum,2,95,54.8
2024,Sorghum,3,95,55.2
2024,Sorghum,4,95,54.3
2024,Sorghum,1,105,48.3
2024,Sorghum,2,105,53.2
2024,Sorghum,3,105,53.5
2024,Sorghum,4,105,50.2
2024,Sorghum,1,115,45.2
2024,Sorghum,2,115,50.2
2024,Sorghum,3,115,52.1
2024,Sorghum,4,115,48.2
2024,Sorghum,1,125,40.3
2024,Sorghum,2,125,49.2
2024,Sorghum,3,125,49.3
2024,Sorghum,4,125,45.2
2024,Soybean,1,65,41.5
2024,Soybean,2,65,41.3
2024,Soybean,3,65,47.7
2024,Soybean,4,65,44.2
2024,Soybean,1,75,41.5
2024,Soybean,2,75,40.2
2024,Soybean,3,75,46.9
2024,Soybean,4,75,41.9
2024,Soybean,1,85,38.7
2024,Soybean,2,85,38.7
2024,Soybean,3,85,41.2
2024,Soybean,4,85,39.2
2024,Soybean,1,95,38.7
2024,Soybean,2,95,35.5
2024,Soybean,3,95,38.2
2024,Soybean,4,95,38.7
2024,Soybean,1,105,38.5
2024,Soybean,2,105,33.5
2024,Soybean,3,105,35.6
2024,Soybean,4,105,36.8
2024,Soybean,1,115,25.3
2024,Soybean,2,115,30.2
2024,Soybean,3,115,32.1
2024,Soybean,4,115,35.3
2024,Soybean,1,125,9.2
2024,Soybean,2,125,0
2024,Soybean,3,125,7.2
2024,Soybean,4,125,6.1
