Location,Genotype,Treatment,Days_after_planting,Chlorophyll_contents,Chlorophyll_contents_Std_error,Loss_of_greenness_on_leaves,Loss_of_greenness_on_leaves_Std_error
Northern area,CV1,Control,21,44.64,1.81,0.03,0.02
Northern area,CV1,Control,22,43.50,2.81,0.05,0.02
Northern area,CV1,Control,23,42.35,3.81,0.06,0.02
Northern area,CV1,Control,24,41.21,4.81,0.08,0.02
Northern area,CV1,Control,25,40.06,5.81,0.09,0.03
Northern area,CV1,Control,26,38.92,6.81,0.11,0.03
Northern area,CV1,Control,27,37.77,1.72,0.13,0.03
Northern area,CV1,Control,28,37.52,1.75,0.23,0.03
Northern area,CV1,Control,29,34.33,2.75,0.29,0.03
Northern area,CV1,Control,30,31.14,3.75,0.34,0.03
Northern area,CV1,Control,31,27.96,4.75,0.39,0.04
Northern area,CV1,Control,32,24.77,5.75,0.44,0.04
Northern area,CV1,Control,33,21.58,1.62,0.49,0.04
Northern area,CV1,Control,34,18.96,2.62,0.55,0.04
Northern area,CV1,Control,35,16.33,3.62,0.61,0.04
Northern area,CV1,Control,36,13.71,4.62,0.67,0.03
Northern area,CV1,Control,37,11.09,0.85,0.73,0.03
Northern area,CV1,Control,38,9.10,1.85,0.78,0.03
Northern area,CV1,Control,39,7.12,2.85,0.83,0.02
Northern area,CV1,Control,40,5.14,3.85,0.88,0.02
Northern area,CV1,Stress_2,21,40.63,2.98,0.16,0.03
Northern area,CV1,Stress_2,22,37.75,3.98,0.23,0.03
Northern area,CV1,Stress_2,23,34.87,4.98,0.30,0.04
Northern area,CV1,Stress_2,24,31.99,5.98,0.37,0.04
Northern area,CV1,Stress_2,25,29.11,6.98,0.45,0.05
Northern area,CV1,Stress_2,26,26.23,7.98,0.52,0.06
Northern area,CV1,Stress_2,27,23.35,8.98,0.59,0.06
Northern area,CV1,Stress_2,28,20.47,4.11,0.67,0.07
Northern area,CV1,Stress_2,29,16.99,5.11,0.73,0.06
Northern area,CV1,Stress_2,30,13.50,6.11,0.78,0.05
Northern area,CV1,Stress_2,31,10.01,7.11,0.84,0.04
Northern area,CV1,Stress_2,32,6.53,8.11,0.90,0.03
Northern area,CV1,Stress_2,33,3.04,0.81,0.96,0.02
Northern area,CV1,Stress_2,34,2.28,1.81,0.97,0.02
Northern area,CV1,Stress_2,35,1.52,2.81,0.98,0.01
Northern area,CV1,Stress_2,36,0.76,3.81,0.99,0.01
Northern area,CV1,Stress_2,37,0.00,,1.00,
Northern area,CV1,Stress_2,38,0.00,,1.00,
Northern area,CV1,Stress_2,39,0.00,,1.00,
Northern area,CV1,Stress_2,40,0.00,,1.00,
Northern area,CV1,Stress_1,21,42.56,1.07,0.04,0.02
Northern area,CV1,Stress_1,22,41.22,2.07,0.06,0.02
Northern area,CV1,Stress_1,23,39.87,3.07,0.09,0.02
Northern area,CV1,Stress_1,24,38.53,4.07,0.12,0.03
Northern area,CV1,Stress_1,25,37.18,5.07,0.14,0.03
Northern area,CV1,Stress_1,26,35.84,6.07,0.17,0.04
Northern area,CV1,Stress_1,27,34.49,7.07,0.19,0.04
