grain_length,grain_weight
6.50,44.33
6.53,60.45
9.00,49.05
6.65,40.24
6.20,42.49
6.55,95.00
6.78,51.01
5.74,30.84
6.63,43.80
8.90,35.42
6.31,41.16
8.00,42.00
5.46,26.44
6.40,49.56
5.36,37.75
5.66,33.44
6.24,52.28
6.09,88.00
6.16,31.40
6.10,36.34
6.28,34.02
6.20,55.00
6.61,53.97
4.50,40.56
6.02,33.41
6.40,32.70
6.81,48.30
5.80,37.15
6.33,40.45
6.20,53.35
5.43,29.88
6.07,45.77
6.53,45.77
6.01,29.32
6.34,46.18
5.87,43.54
5.65,32.73
6.13,41.88
6.03,30.49
6.49,35.87
6.39,41.74
6.36,41.16
6.69,47.85
6.50,59.73
6.15,42.58
5.96,40.62
6.31,37.49
6.59,63.21
6.33,37.27
6.42,42.72
5.51,31.16
5.38,37.01
6.33,37.27
5.86,27.29
6.24,47.73
6.01,33.25
5.83,37.32
6.08,40.85
5.50,31.78
5.99,39.05
6.81,54.18
6.39,34.13
5.36,26.67
5.54,33.85
6.87,54.61
6.08,35.12
6.68,34.90
6.37,43.89
6.61,48.18
5.88,35.81
6.37,40.73
6.57,41.48
6.33,41.36
5.83,42.84
5.61,33.03
6.38,38.91
6.07,40.53
6.31,45.71
6.39,40.82
6.26,37.15
5.43,30.28
6.58,45.45
6.80,50.31
6.13,37.49
6.02,42.55
5.49,23.21
5.84,34.65
6.57,41.68
6.55,49.86
5.91,33.03
6.42,38.28
6.14,31.89
6.33,32.11
5.80,35.62
5.91,32.35
6.65,37.75
6.35,46.90
6.40,41.86
6.32,44.12
5.96,40.13
5.36,30.20
6.16,44.42
5.61,33.74
5.96,32.76
6.02,29.50
5.85,33.28
6.37,35.59
5.17,26.28
5.78,36.51
6.28,42.32
5.82,38.25
4.93,20.59
6.60,45.71
6.08,32.43
6.02,42.12
6.02,32.95
5.33,28.39
6.31,35.79
6.10,40.36
6.00,41.16
6.32,45.68
6.39,39.84
6.07,39.27
6.32,44.97
6.19,36.31
6.21,36.87
6.57,38.54
6.16,32.68
6.00,35.98
6.07,34.73
4.91,21.74
4.84,23.03
6.16,30.97
5.78,35.62
6.14,40.36
5.78,36.54
6.48,50.40
5.54,28.66
6.20,27.45
6.40,52.07
6.34,37.32
6.20,41.68
5.94,35.56
6.44,49.53
6.76,44.24
5.78,29.69
6.78,44.95
6.52,41.60
6.58,40.10
5.65,32.54
6.01,40.88
4.89,24.19
6.45,38.48
5.40,29.26
6.02,35.01
6.19,40.13
5.42,31.21
6.38,43.10
6.55,49.74
6.63,39.16
5.26,27.35
6.26,39.13
5.14,21.59
6.19,32.51
6.32,49.53
5.80,31.97
5.87,27.53
6.26,36.20
6.19,33.41
6.49,38.08
6.39,37.60
6.76,41.60
6.79,51.86
6.21,35.40
6.08,46.39
6.58,44.04
5.78,35.26
6.50,43.48
5.69,34.73
5.64,31.86
5.26,27.24
5.80,34.24
6.61,35.98
6.49,51.01
6.27,36.73
6.40,34.48
6.42,40.56
6.35,29.98
6.46,43.66
6.90,47.88
6.34,32.98
6.62,46.57
6.73,43.71
6.06,26.49
6.26,39.22
6.43,46.69
6.34,38.54
6.28,30.81
4.92,24.21
6.79,48.75
6.37,38.88
5.91,37.13
5.96,41.57
5.75,40.93
6.11,45.86
6.36,47.49
5.93,30.68
6.13,29.82
6.36,45.71
6.53,38.14
6.10,36.57
6.67,40.76
6.73,48.12
6.20,36.12
6.22,35.48
6.83,47.43
6.26,43.54
6.17,43.28
6.32,29.93
5.94,32.21
6.45,52.53
5.76,36.96
6.62,38.59
5.48,33.58
6.36,39.42
6.24,38.39
6.03,38.11
6.64,39.62
6.55,37.15
4.74,24.24
5.81,31.56
6.26,41.05
6.04,29.08
6.26,33.49
6.34,34.15
5.96,36.48
6.44,46.10
6.72,48.36
6.17,37.89
6.14,34.43
