sample_no,grain_length,grain_weight
1,6.5,44.33
2,6.53,60.45
3,9,49.05
4,6.65,40.24
5,6.2,42.49
6,6.55,95
7,6.78,51.01
8,5.74,30.84
9,6.63,43.8
10,8.9,35.42
11,6.31,41.16
12,8,42
13,5.46,26.44
14,6.4,49.56
15,5.36,37.75
16,5.66,33.44
17,6.24,52.28
18,6.09,88
19,6.16,31.4
20,6.1,36.34
21,6.28,34.02
22,6.2,55
23,6.61,53.97
24,4.5,40.56
25,6.02,33.41
26,6.4,32.7
27,6.81,48.3
28,5.8,37.15
29,6.33,40.45
30,6.2,53.35
31,5.43,29.88
32,6.07,45.77
33,6.53,45.77
34,6.01,29.32
35,6.34,46.18
36,5.87,43.54
37,5.65,32.73
38,6.13,41.88
39,6.03,30.49
40,6.49,35.87
41,6.39,41.74
42,6.36,41.16
43,6.69,47.85
44,6.5,59.73
45,6.15,42.58
46,5.96,40.62
47,6.31,37.49
48,6.59,63.21
49,6.33,37.27
50,6.42,42.72
51,5.51,31.16
52,5.38,37.01
53,6.33,37.27
54,5.86,27.29
55,6.24,47.73
56,6.01,33.25
57,5.83,37.32
58,6.08,40.85
59,5.5,31.78
60,5.99,39.05
61,6.81,54.18
62,6.39,34.13
63,5.36,26.67
64,5.54,33.85
65,6.87,54.61
66,6.08,35.12
67,6.68,34.9
68,6.37,43.89
69,6.61,48.18
70,5.88,35.81
71,6.37,40.73
72,6.57,41.48
73,6.33,41.36
74,5.83,42.84
75,5.61,33.03
76,6.38,38.91
77,6.07,40.53
78,6.31,45.71
79,6.39,40.82
80,6.26,37.15
81,5.43,30.28
82,6.58,45.45
83,6.8,50.31
84,6.13,37.49
85,6.02,42.55
86,5.49,23.21
87,5.84,34.65
88,6.57,41.68
89,6.55,49.86
90,5.91,33.03
91,6.42,38.28
92,6.14,31.89
93,6.33,32.11
94,5.8,35.62
95,5.91,32.35
96,6.65,37.75
97,6.35,46.9
98,6.4,41.86
99,6.32,44.12
100,5.96,40.13
101,5.36,30.2
102,6.16,44.42
103,5.61,33.74
104,5.96,32.76
105,6.02,29.5
106,5.85,33.28
107,6.37,35.59
108,5.17,26.28
109,5.78,36.51
110,6.28,42.32
111,5.82,38.25
112,4.93,20.59
113,6.6,45.71
114,6.08,32.43
115,6.02,42.12
116,6.02,32.95
117,5.33,28.39
118,6.31,35.79
119,6.1,40.36
120,6,41.16
121,6.32,45.68
122,6.39,39.84
123,6.07,39.27
124,6.32,44.97
125,6.19,36.31
126,6.21,36.87
127,6.57,38.54
128,6.16,32.68
129,6,35.98
130,6.07,34.73
131,4.91,21.74
132,4.84,23.03
133,6.16,30.97
134,5.78,35.62
135,6.14,40.36
136,5.78,36.54
137,6.48,50.4
138,5.54,28.66
139,6.2,27.45
140,6.4,52.07
141,6.34,37.32
142,6.2,41.68
143,5.94,35.56
144,6.44,49.53
145,6.76,44.24
146,5.78,29.69
147,6.78,44.95
148,6.52,41.6
149,6.58,40.1
150,5.65,32.54
151,6.01,40.88
152,4.89,24.19
153,6.45,38.48
154,5.4,29.26
155,6.02,35.01
156,6.19,40.13
157,5.42,31.21
158,6.38,43.1
159,6.55,49.74
160,6.63,39.16
161,5.26,27.35
162,6.26,39.13
163,5.14,21.59
164,6.19,32.51
165,6.32,49.53
166,5.8,31.97
167,5.87,27.53
168,6.26,36.2
169,6.19,33.41
170,6.49,38.08
171,6.39,37.6
172,6.76,41.6
173,6.79,51.86
174,6.21,35.4
175,6.08,46.39
176,6.58,44.04
177,5.78,35.26
178,6.5,43.48
179,5.69,34.73
180,5.64,31.86
181,5.26,27.24
182,5.8,34.24
183,6.61,35.98
184,6.49,51.01
185,6.27,36.73
186,6.4,34.48
187,6.42,40.56
188,6.35,29.98
189,6.46,43.66
190,6.9,47.88
191,6.34,32.98
192,6.62,46.57
193,6.73,43.71
194,6.06,26.49
195,6.26,39.22
196,6.43,46.69
197,6.34,38.54
198,6.28,30.81
199,4.92,24.21
200,6.79,48.75
201,6.37,38.88
202,5.91,37.13
203,5.96,41.57
204,5.75,40.93
205,6.11,45.86
206,6.36,47.49
207,5.93,30.68
208,6.13,29.82
209,6.36,45.71
210,6.53,38.14
211,6.1,36.57
212,6.67,40.76
213,6.73,48.12
214,6.2,36.12
215,6.22,35.48
216,6.83,47.43
217,6.26,43.54
218,6.17,43.28
219,6.32,29.93
220,5.94,32.21
221,6.45,52.53
222,5.76,36.96
223,6.62,38.59
224,5.48,33.58
225,6.36,39.42
226,6.24,38.39
227,6.03,38.11
228,6.64,39.62
229,6.55,37.15
230,4.74,24.24
231,5.81,31.56
232,6.26,41.05
233,6.04,29.08
234,6.26,33.49
235,6.34,34.15
236,5.96,36.48
237,6.44,46.1
238,6.72,48.36
239,6.17,37.89
240,6.14,34.43
241,6.19,39.08
242,6.69,35.2
243,5.98,39.87
244,6.17,42.03
245,6.43,40.19
246,6.2,29.56
247,6.63,42.84
248,6.65,48.66
249,6.61,39.76
250,6.37,36.31
251,6.37,39.93
252,6.72,59.79
253,6.39,41.08
254,6.61,40.19
255,6.22,31.51
256,6.01,41.65
257,6.07,31.92
258,6.55,47.91
259,5.72,21.76
260,6.47,45.21
261,5.82,38.79
262,6.13,32.08
263,6.33,38.71
264,6.39,49.26
265,5.47,26.64
266,5.84,35.42
267,6.45,33.49
268,6.21,40.02
269,6.62,43.89
270,6.5,41.62
271,6.53,40.22
272,6.52,45.45
273,6.51,37.75
274,6.11,31.7
275,5.66,38.54
276,6.44,39.62
277,5.32,34.18
278,5.6,38
279,6.11,30.62
280,6.14,42.99
281,6.5,37.97
282,5.61,34.1
283,5.94,35.62
284,5.98,44.21
285,5.99,28.24
286,6.46,41.6
287,7.31,63.44
288,6.82,62.45
289,6.1,34.32
290,6.07,30.68
291,6.95,61.65
292,5.73,35.4
293,6.49,36.2
294,6.72,36.9
295,6.15,50.07
296,6.28,45.45
297,6.36,39.99
298,6.13,35.09
299,6.37,47.52
300,6.28,36.4
301,5.48,32.13
302,6.42,36.93
303,6.24,41.6
304,5.7,24.06
305,6.28,41.48
306,6.13,42.29
307,6.13,42.17
308,5.67,34.59
309,5.59,26.46
310,5.72,36.4
311,5.61,36.18
312,5.22,28.63
313,6.49,41.8
314,5.06,24.06
315,6.39,48.3
316,6.55,58.88
317,6.13,41.57
318,6.46,46.04
319,5.91,41.25
320,5.59,30.78
321,6.47,49.95
322,6.65,41.51
323,6.75,60.17
324,6.24,42.12
325,6.85,63.53
326,6.61,40.67
327,6.92,56.13
328,4.89,20.61
329,5.99,45.95
330,6.83,54.31
331,6.45,46.57
332,6.92,56.6
333,6.28,45.42
334,4.05,20.76
335,6.46,49.77
336,6.67,53.51
337,6.26,43.48
338,4.82,25.26
339,6.96,59.6
340,6.09,38.17
341,6.85,50.52
342,5.91,44.53
343,5.96,36.15
344,5.82,39.42
345,6.19,37.41
346,6.4,51.8
347,6.65,39.39
348,6.73,51.61
349,6.28,28.13
350,6.53,47.19
351,6.39,44.01
352,5.2,25.13
353,6.02,36.43
354,5.86,34.18
355,5.48,31
356,6.55,57.5
357,6.21,44.09
358,6.47,50.34
359,6.65,43.86
360,6.59,54.52
361,6.37,47.01
362,5.59,30.49
363,6.67,36.26
364,6.63,52.22
365,5.62,38.99
366,4.64,19.02
367,6.39,46.81
368,5.07,27.19
369,6.38,53.88
370,6.21,36.51
371,6.44,50.58
372,7.09,56.35
373,6.55,42.78
374,5.65,33.63
375,5.72,28.68
376,5.67,41.65
377,6.87,57.53
378,6.7,49.68
379,6.64,53.02
