variety,seeds,population,reps,kn_cob,cob,agw,kn,yield
CV1,100000,High,1,400,119,297.5,3754,11169.34
CV1,100000,High,2,384,109,283.85,3604,10230.74
CV1,100000,High,3,432,117,270.83,4055,10981.62
CV1,100000,High,4,384,126,328.13,3604,11826.36
CV1,100000,High,5,416,124,298.08,3905,11638.64
CV1,100000,High,6,464,139,299.57,4355,13046.54
CV1,100000,High,7,336,111,330.36,3154,10418.46
CV1,100000,High,8,352,125,355.11,3304,11732.5
CV1,100000,High,9,464,128,275.86,4355,12014.08
CV1,100000,High,10,464,136,293.1,4355,12764.96
CV1,100000,High,11,464,124,267.24,4355,11638.64
CV1,100000,High,12,364,133,365.38,3417,12483.38
CV1,100000,High,13,464,123,265.09,4355,11544.78
CV1,100000,High,14,434,131,301.84,4074,12295.66
CV1,100000,High,15,476,141,296.22,4468,13234.26
CV1,100000,High,16,544,151,277.57,5106,14172.86
CV1,100000,High,17,432,156,361.11,4055,14642.16
CV1,100000,High,18,448,127,283.48,4205,11920.22
CV1,100000,High,19,490,148,302.04,4599,13891.28
CV1,100000,High,20,408,141,345.59,3829,13234.26
CV1,100000,High,21,560,170,303.57,5256,15956.2
CV1,100000,High,22,612,170,277.78,5744,15956.2
CV1,100000,High,23,576,163,282.99,5406,15299.18
CV1,100000,High,24,476,180,378.15,4468,16894.8
CV1,100000,High,25,608,168,276.32,5707,15768.48
CV1,100000,High,26,544,166,305.15,5106,15580.76
CV1,100000,High,27,648,189,291.67,6082,17739.54
CV1,100000,High,28,476,147,308.82,4468,13797.42
CV1,100000,High,29,512,136,265.63,4806,12764.96
CV1,100000,High,30,558,,,5237,
CV1,100000,High,31,560,168,300,5256,15768.48
CV1,100000,High,32,560,167,298.21,5256,15674.62
CV1,100000,High,33,496,154,310.48,4655,14454.44
CV1,100000,High,34,528,182,344.7,4956,17082.52
CV1,100000,High,35,558,171,306.45,5237,16050.06
CV1,100000,High,36,448,148,330.36,4205,13891.28
CV1,100000,High,37,480,163,339.58,4505,15299.18
CV1,100000,High,38,612,170,277.78,5744,15956.2
CV1,100000,High,39,522,156,298.85,4899,14642.16
CV1,100000,High,40,522,170,325.67,4899,15956.2
CV1,100000,High,41,512,144,281.25,4806,13515.84
CV1,100000,High,42,416,134,322.12,3905,12577.24
CV1,100000,High,43,448,144,321.43,4205,13515.84
CV1,100000,High,44,540,154,285.19,5068,14454.44
CV1,100000,High,45,504,130,257.94,4731,12201.8
CV1,100000,High,46,560,116,207.14,5256,10887.76
CV1,100000,High,47,480,147,306.25,4505,13797.42
CV1,100000,High,48,480,136,283.33,4505,12764.96
CV1,100000,High,49,496,147,296.37,4655,13797.42
CV1,100000,High,50,464,137,295.26,4355,12858.82
CV1,50000,Low,1,592,193,326.01,3509,11441.04
CV1,50000,Low,2,666,199,298.8,3948,11796.72
CV1,50000,Low,3,496,161,324.6,2940,9544.08
CV1,50000,Low,4,594,188,316.5,3521,11144.64
CV1,50000,Low,5,512,166,324.22,3035,9840.48
CV1,50000,Low,6,528,178,337.12,3130,10551.84
CV1,50000,Low,7,480,164,341.67,2845,9721.92
CV1,50000,Low,8,528,176,333.33,3130,10433.28
CV1,50000,Low,9,464,159,342.67,2751,9425.52
CV1,50000,Low,10,560,189,337.5,3320,11203.92
CV1,50000,Low,11,532,175,328.95,3154,10374
CV1,50000,Low,12,592,210,354.73,3509,12448.8
CV1,50000,Low,13,624,212,339.74,3699,12567.36
CV1,50000,Low,14,608,196,322.37,3604,11618.88
CV1,50000,Low,15,608,169,277.96,3604,10018.32
CV1,50000,Low,16,608,211,347.04,3604,12508.08
CV1,50000,Low,17,672,205,305.06,3984,12152.4
CV1,50000,Low,18,666,208,312.31,3948,12330.24
CV1,50000,Low,19,656,212,323.17,3889,12567.36
CV1,50000,Low,20,608,169,277.96,3604,10018.32
CV1,50000,Low,21,720,213,295.83,4268,12626.64
CV1,50000,Low,22,720,226,313.89,4268,13397.28
CV1,50000,Low,23,640,222,346.88,3794,13160.16
CV1,50000,Low,24,720,211,293.06,4268,12508.08
CV1,50000,Low,25,672,222,330.36,3984,13160.16
CV1,50000,Low,26,608,198,325.66,3604,11737.44
CV1,50000,Low,27,624,204,326.92,3699,12093.12
CV1,50000,Low,28,720,181,251.39,4268,10729.68
CV1,50000,Low,29,624,227,363.78,3699,13456.56
CV1,50000,Low,30,624,198,317.31,3699,11737.44
CV1,50000,Low,31,648,233,359.57,3841,13812.24
CV1,50000,Low,32,648,193,297.84,3841,11441.04
CV1,50000,Low,33,648,227,350.31,3841,13456.56
CV1,50000,Low,34,702,245,349,4161,14523.6
CV1,50000,Low,35,666,215,322.82,3948,12745.2
CV1,50000,Low,36,684,246,359.65,4055,14582.88
CV1,50000,Low,37,740,230,310.81,4387,13634.4
CV1,50000,Low,38,608,211,347.04,3604,12508.08
CV1,50000,Low,39,666,208,312.31,3948,12330.24
CV1,50000,Low,40,720,260,361.11,4268,15412.8
CV1,50000,Low,41,720,237,329.17,4268,14049.36
CV1,50000,Low,42,630,220,349.21,3735,13041.6
CV1,50000,Low,43,560,242,432.14,3320,14345.76
CV1,50000,Low,44,608,226,371.71,3604,13397.28
CV1,50000,Low,45,666,211,316.82,3948,12508.08
CV1,50000,Low,46,592,240,405.41,3509,14227.2
CV1,50000,Low,47,648,243,375,3841,14405.04
CV1,50000,Low,48,544,176,323.53,3225,10433.28
CV1,50000,Low,49,684,260,380.12,4055,15412.8
CV1,50000,Low,50,648,192,296.3,3841,11381.76
CV10,100000,High,1,400,125,312.5,3754,11732.5
CV10,100000,High,2,336,110,327.38,3154,10324.6
CV10,100000,High,3,384,127,330.73,3604,11920.22
CV10,100000,High,4,432,138,319.44,4055,12952.68
CV10,100000,High,5,414,125,301.93,3886,11732.5
CV10,100000,High,6,416,130,312.5,3905,12201.8
CV10,100000,High,7,400,128,320,3754,12014.08
CV10,100000,High,8,468,141,301.28,4393,13234.26
CV10,100000,High,9,414,130,314.01,3886,12201.8
CV10,100000,High,10,432,129,298.61,4055,12107.94
CV10,100000,High,11,512,136,265.63,4806,12764.96
CV10,100000,High,12,464,127,273.71,4355,11920.22
CV10,100000,High,13,504,137,271.83,4731,12858.82
CV10,100000,High,14,496,140,282.26,4655,13140.4
CV10,100000,High,15,504,154,305.56,4731,14454.44
CV10,100000,High,16,496,133,268.15,4655,12483.38
CV10,100000,High,17,464,126,271.55,4355,11826.36
CV10,100000,High,18,448,134,299.11,4205,12577.24
CV10,100000,High,19,384,130,338.54,3604,12201.8
CV10,100000,High,20,432,117,270.83,4055,10981.62
