Treatment,Block,Plant,Days,Yield
Drought,I,A,30,156.8892
Drought,I,A,30,333.216
Drought,I,A,30,368.6202
Drought,I,B,30,405.4128
Drought,I,B,30,299.2002
Drought,I,C,30,370.7028
Drought,II,A,30,298.506
Drought,II,A,30,372.0912
Drought,II,A,30,338.0754
Drought,II,B,30,614.367
Drought,III,B,30,715.7202
Drought,III,C,30,439.4286
Drought,III,C,30,486.6342
Drought,IV,A,30,362.3724
Drought,IV,A,30,322.1088
Drought,IV,A,30,803.8836
Drought,IV,B,30,422.0736
Drought,IV,B,30,438.7344
Drought,IV,C,30,390.8346
Drought,I,A,37,439.4286
Drought,I,A,37,646.3002
Drought,I,B,37,529.6746
Drought,II,C,37,697.671
Drought,III,B,37,489.411
Drought,III,B,37,657.4074
Drought,IV,A,37,581.0454
Drought,IV,C,37,376.9506
Drought,II,A,44,565.773
Drought,II,A,44,492.882
Drought,II,A,44,383.1984
Drought,II,B,44,355.4304
Drought,II,C,44,443.5938
Drought,III,A,44,617.838
Drought,III,B,44,538.6992
Drought,III,B,44,438.0402
Drought,III,C,44,474.8328
Drought,III,C,44,488.7168
Drought,IV,A,44,437.346
Drought,IV,A,44,371.397
Drought,IV,A,44,591.4584
Drought,IV,B,44,415.1316
Drought,IV,B,44,441.5112
Drought,IV,C,44,710.8608
Drought,IV,C,44,750.4302
Drought,I,B,51,719.8854
Drought,I,B,51,397.0824
Drought,I,C,51,607.425
Drought,II,A,51,317.2494
Drought,II,A,51,565.0788
Drought,II,B,51,601.1772
Drought,II,B,51,708.7782
Drought,II,B,51,420.6852
Drought,II,C,51,392.9172
Drought,II,C,51,585.2106
Drought,II,C,51,553.9716
Drought,III,A,51,306.8364
Drought,III,C,51,921.8976
Drought,IV,A,51,673.374
Drought,IV,A,51,469.9734
Drought,IV,B,51,438.0402
Drought,IV,B,51,586.599
Drought,IV,C,51,590.07
Drought,IV,C,51,433.1808
Drought,IV,C,51,353.3478
Drought,I,A,58,358.2072
Drought,I,A,58,568.5498
Drought,I,B,58,565.773
Drought,I,C,58,553.9716
Drought,I,C,58,454.701
Drought,II,A,58,395.694
Drought,II,A,58,533.1456
Drought,II,A,58,974.6568
Drought,II,B,58,279.0684
Drought,II,B,58,413.049
Drought,II,C,58,224.9208
Drought,II,C,58,359.5956
Drought,II,C,58,317.9436
Drought,III,A,58,197.1528
Drought,III,A,58,217.9788
Drought,III,B,58,793.4706
Drought,III,C,58,256.1598
Drought,III,C,58,104.13
Drought,III,C,58,1030.1928
Drought,IV,A,58,685.1754
Drought,IV,A,58,478.998
Drought,IV,B,58,198.5412
Drought,IV,B,58,153.4182
Drought,IV,B,58,111.072
Drought,IV,C,58,174.2442
Control,I,A,30,1095.12
Control,I,A,30,313.56
Control,I,B,30,464.10
Control,I,B,30,252.72
Control,I,B,30,404.04
Control,I,C,30,357.24
Control,I,C,30,221.52
Control,I,C,30,244.92
Control,II,A,30,891.54
Control,II,B,30,287.82
Control,II,B,30,117.00
Control,III,A,30,1157.52
Control,III,A,30,769.86
Control,III,A,30,538.20
Control,III,B,30,223.08
Control,III,B,30,172.38
Control,III,C,30,124.80
Control,III,C,30,195.78
Control,IV,A,30,143.52
Control,IV,C,30,95.94
Control,IV,C,30,260.52
Control,IV,C,30,360.36
Control,II,A,37,408.72
Control,IV,A,37,575.64
Control,IV,A,37,752.70
Control,I,A,44,393.90
Control,I,A,44,546.00
Control,I,A,44,700.44
Control,I,B,44,478.92
Control,I,B,44,401.70
Control,I,B,44,621.66
Control,I,C,44,339.30
Control,I,C,44,368.16
Control,I,C,44,475.02
Control,II,A,44,415.74
Control,II,A,44,438.36
Control,II,B,44,552.24
Control,II,C,44,637.26
Control,II,C,44,795.60
Control,II,C,44,769.08
Control,III,A,44,829.92
Control,III,A,44,597.48
Control,III,A,44,425.10
Control,III,B,44,567.06
Control,III,B,44,429.00
Control,III,B,44,975.00
Control,III,C,44,368.94
Control,III,C,44,450.06
Control,III,C,44,513.24
Control,IV,A,44,634.92
Control,IV,A,44,644.28
Control,IV,A,44,616.98
Control,IV,C,44,774.54
Control,I,A,51,457.08
Control,I,A,51,640.38
Control,I,B,51,751.92
Control,I,B,51,558.48
Control,I,C,51,455.52
Control,II,A,51,659.10
Control,II,A,51,534.30
Control,II,A,51,527.28
Control,II,B,51,461.76
Control,II,B,51,485.16
Control,II,C,51,435.24
Control,II,C,51,623.22
Control,II,C,51,635.70
Control,III,A,51,489.84
Control,III,A,51,417.30
Control,III,B,51,361.92
Control,III,B,51,430.56
Control,III,B,51,491.40
Control,III,C,51,429.00
Control,III,C,51,669.24
Control,I,A,58,758.16
Control,I,A,58,471.90
Control,I,B,58,577.98
Control,I,B,58,310.44
Control,I,B,58,595.92
Control,I,C,58,631.02
Control,I,C,58,459.42
Control,II,A,58,309.66
Control,II,A,58,581.88
Control,II,A,58,460.20
Control,II,B,58,807.30
Control,II,B,58,661.44
Control,II,B,58,393.12
Control,II,C,58,544.44
Control,II,C,58,406.38
Control,II,C,58,493.74
Control,III,A,58,511.68
Control,III,A,58,466.44
Control,III,A,58,482.82
Control,III,B,58,528.06
Control,III,B,58,483.60
Control,III,B,58,433.68
Control,III,C,58,761.28
Control,IV,B,58,537.42
Control,IV,C,58,820.56
Control,IV,C,58,645.06
