Treatment,Days,Rep,Cumulative_germination
Control,116,1,0.00
Control,120,1,0.03
Control,123,1,0.07
Control,126,1,0.15
Control,128,1,0.19
Control,130,1,0.21
Control,134,1,0.27
Control,136,1,0.31
Control,137,1,0.35
Control,140,1,0.47
Control,141,1,0.49
Control,142,1,0.53
Control,143,1,0.58
Control,144,1,0.61
Control,146,1,0.69
Control,148,1,0.71
Control,149,1,0.77
Control,150,1,0.87
Control,151,1,0.96
Control,153,1,1.09
Control,154,1,1.10
Control,155,1,1.12
Control,156,1,1.12
Control,157,1,1.13
Control,161,1,1.16
Control,162,1,1.17
Control,163,1,1.17
Control,165,1,1.18
Control,168,1,1.18
Control,170,1,1.18
Control,172,1,1.19
Control,175,1,1.20
Control,177,1,1.20
Control,179,1,1.20
Control,182,1,1.21
Control,184,1,1.21
Control,186,1,1.21
Control,189,1,1.22
Control,191,1,1.22
Control,193,1,1.22
Control,196,1,1.22
Control,198,1,1.22
Control,200,1,1.22
Control,203,1,1.22
Control,207,1,1.22
Control,210,1,1.22
Control,213,1,1.22
Control,217,1,1.22
Control,219,1,1.22
Control,221,1,1.22
Control,226,1,1.22
Control,228,1,1.22
Control,233,1,1.22
Control,238,1,1.22
Control,246,1,1.23
Control,248,1,1.23
Control,249,1,1.23
Control,250,1,1.23
Control,109,2,0.00
Control,112,2,0.00
Control,114,2,0.00
Control,116,2,0.00
Control,120,2,0.04
Control,123,2,0.08
Control,126,2,0.13
Control,128,2,0.15
Control,130,2,0.17
Control,134,2,0.21
Control,136,2,0.26
Control,137,2,0.29
Control,140,2,0.38
Control,141,2,0.39
Control,142,2,0.41
Control,143,2,0.44
Control,144,2,0.47
Control,146,2,0.51
Control,148,2,0.53
Control,149,2,0.57
Control,150,2,0.62
Control,151,2,0.67
Control,153,2,0.74
Control,154,2,0.75
Control,155,2,0.76
Control,156,2,0.76
Control,157,2,0.76
Control,161,2,0.77
Control,162,2,0.77
Control,163,2,0.78
Control,165,2,0.78
Control,168,2,0.79
Control,170,2,0.79
Control,172,2,0.79
Control,175,2,0.79
Control,177,2,0.79
Control,179,2,0.79
Control,182,2,0.79
Control,184,2,0.80
Control,186,2,0.80
Control,189,2,0.80
Control,191,2,0.80
Control,193,2,0.80
Control,196,2,0.80
Control,198,2,0.80
Control,200,2,0.80
Control,203,2,0.80
Control,207,2,0.80
Control,210,2,0.80
Control,213,2,0.80
Control,217,2,0.80
Control,219,2,0.80
Control,221,2,0.80
Control,226,2,0.80
Control,228,2,0.80
Control,233,2,0.80
Control,238,2,0.80
Control,246,2,0.81
Control,248,2,0.81
Control,249,2,0.81
Control,250,2,0.81
Control,109,3,0.00
Control,112,3,0.00
Control,114,3,0.00
Control,116,3,0.01
Control,120,3,0.03
Control,123,3,0.07
Control,126,3,0.15
Control,128,3,0.19
Control,130,3,0.22
Control,134,3,0.27
Control,136,3,0.31
Control,137,3,0.35
Control,140,3,0.43
Control,141,3,0.44
Control,142,3,0.47
Control,143,3,0.51
Control,144,3,0.56
Control,146,3,0.62
Control,148,3,0.66
Control,149,3,0.72
Control,150,3,0.80
Control,151,3,0.90
Control,153,3,1.00
Control,154,3,1.02
Control,155,3,1.03
Control,156,3,1.05
Control,157,3,1.06
