Date,Direction,Days_from_sowing,Cumulative_PAR
5/31/2019,Zone1,1,91.16477855
5/31/2019,Zone3,1,81.39287636
5/31/2019,Zone2,1,48.79001284
5/31/2019,Zone4,1,67.66516859
6/1/2019,Zone1,2,160.311949
6/1/2019,Zone3,2,139.7550068
6/1/2019,Zone2,2,86.72786638
6/1/2019,Zone4,2,118.4279784
6/2/2019,Zone1,3,256.4464085
6/2/2019,Zone3,3,227.6708548
6/2/2019,Zone2,3,137.0805077
6/2/2019,Zone4,3,189.7154479
6/3/2019,Zone1,4,357.5361692
6/3/2019,Zone3,4,320.1038025
6/3/2019,Zone2,4,189.811858
6/3/2019,Zone4,4,264.9408694
6/4/2019,Zone1,5,450.7571237
6/4/2019,Zone3,5,403.8697572
6/4/2019,Zone2,5,239.8105913
6/4/2019,Zone4,5,334.7504214
6/5/2019,Zone1,6,532.351417
6/5/2019,Zone3,6,475.7055508
6/5/2019,Zone2,6,283.8755899
6/5/2019,Zone4,6,396.7782985
6/6/2019,Zone1,7,611.168475
6/6/2019,Zone3,7,543.9860864
6/6/2019,Zone2,7,326.0909476
6/6/2019,Zone4,7,455.921587
6/7/2019,Zone1,8,707.5760946
6/7/2019,Zone3,8,632.5469827
6/7/2019,Zone2,8,376.2373464
6/7/2019,Zone4,8,527.7680204
6/8/2019,Zone1,9,782.0067218
6/8/2019,Zone3,9,697.9664014
6/8/2019,Zone2,9,416.1581007
6/8/2019,Zone4,9,585.1117662
6/9/2019,Zone1,10,851.5759054
6/9/2019,Zone3,10,758.2406947
6/9/2019,Zone2,10,455.2935315
6/9/2019,Zone4,10,637.9245208
6/10/2019,Zone1,11,931.6127802
6/10/2019,Zone3,11,831.2573597
6/10/2019,Zone2,11,496.7055687
6/10/2019,Zone4,11,698.3662925
6/11/2019,Zone1,12,1029.760729
6/11/2019,Zone3,12,921.3901781
6/11/2019,Zone2,12,547.0876086
6/11/2019,Zone4,12,773.9465784
6/12/2019,Zone1,13,1110.033958
6/12/2019,Zone3,13,993.1011751
6/12/2019,Zone2,13,589.1070128
6/12/2019,Zone4,13,834.8380761
6/13/2019,Zone1,14,1209.744798
6/13/2019,Zone3,14,1085.027472
6/13/2019,Zone2,14,640.4887252
6/13/2019,Zone4,14,911.9742684
6/14/2019,Zone1,15,1313.486764
6/14/2019,Zone3,15,1181.061862
6/14/2019,Zone2,15,693.6540994
6/14/2019,Zone4,15,991.4593364
6/15/2019,Zone1,16,1402.02132
6/15/2019,Zone3,16,1263.042889
6/15/2019,Zone2,16,738.8228706
6/15/2019,Zone4,16,1059.113245
6/16/2019,Zone1,17,1508.192848
6/16/2019,Zone3,17,1362.034947
6/16/2019,Zone2,17,792.7928694
6/16/2019,Zone4,17,1140.295959
6/17/2019,Zone1,18,1592.60801
6/17/2019,Zone3,18,1438.054454
6/17/2019,Zone2,18,837.0030385
6/17/2019,Zone4,18,1204.466737
6/18/2019,Zone1,19,1685.804385
6/18/2019,Zone3,19,1523.718654
6/18/2019,Zone2,19,884.561337
6/18/2019,Zone4,19,1276.109725
6/19/2019,Zone1,20,1767.352496
6/19/2019,Zone3,20,1597.103605
6/19/2019,Zone2,20,926.8158308
6/19/2019,Zone4,20,1338.080033
6/20/2019,Zone1,21,1860.299249
6/20/2019,Zone3,21,1681.0324
6/20/2019,Zone2,21,974.9922793
6/20/2019,Zone4,21,1409.538688
6/21/2019,Zone1,22,1930.324573
6/21/2019,Zone3,22,1742.215135
6/21/2019,Zone2,22,1013.08261
6/21/2019,Zone4,22,1463.943448
6/22/2019,Zone1,23,2019.236524
6/22/2019,Zone3,23,1821.41094
6/22/2019,Zone2,23,1059.545886
6/22/2019,Zone4,23,1532.074124
