Treatment,Block,Plant,Days,Yield
Drought,I,A,30,175.88
Drought,I,A,30,197.74
Drought,I,A,30,290.84
Drought,I,B,30,238.35
Drought,I,B,30,313.95
Drought,I,C,30,220.23
Drought,II,A,30,295.83
Drought,II,A,30,261.47
Drought,II,A,30,169.63
Drought,II,B,30,254.60
Drought,III,B,30,221.80
Drought,III,C,30,172.44
Drought,III,C,30,159.94
Drought,IV,A,30,199.62
Drought,IV,A,30,278.03
Drought,IV,A,30,242.41
Drought,IV,B,30,197.12
Drought,IV,B,30,213.67
Drought,IV,C,30,219.92
Drought,I,A,37,196.81
Drought,I,A,37,167.13
Drought,I,B,37,266.16
Drought,II,C,37,186.81
Drought,III,B,37,198.68
Drought,III,B,37,319.89
Drought,IV,A,37,337.69
Drought,IV,C,37,323.95
Drought,II,A,44,178.69
Drought,II,A,44,273.34
Drought,II,A,44,142.76
Drought,II,B,44,254.29
Drought,II,C,44,270.53
Drought,III,A,44,318.95
Drought,III,B,44,189.31
Drought,III,B,44,176.81
Drought,III,C,44,263.34
Drought,III,C,44,249.29
Drought,IV,A,44,138.08
Drought,IV,A,44,414.85
Drought,IV,A,44,303.02
Drought,IV,B,44,211.49
Drought,IV,B,44,197.12
Drought,IV,C,44,263.97
Drought,IV,C,44,265.53
Drought,I,B,51,194.93
Drought,I,B,51,159.01
Drought,I,C,51,161.19
Drought,II,A,51,255.85
Drought,II,A,51,254.60
Drought,II,B,51,249.29
Drought,II,B,51,204.62
Drought,II,B,51,178.06
Drought,II,C,51,239.92
Drought,II,C,51,438.60
Drought,II,C,51,125.58
Drought,III,A,51,185.87
Drought,III,C,51,101.21
Drought,IV,A,51,161.82
Drought,IV,A,51,143.07
Drought,IV,B,51,88.72
Drought,IV,B,51,98.09
Drought,IV,C,51,357.06
Drought,IV,C,51,115.27
Drought,IV,C,51,46.86
Drought,I,A,58,463.59
Drought,I,A,58,308.33
Drought,I,B,58,215.55
Drought,I,C,58,89.34
Drought,I,C,58,69.04
Drought,II,A,58,49.98
Drought,II,A,58,78.41
Drought,II,A,58,492.80
Drought,II,B,58,141.10
Drought,II,B,58,208.85
Drought,II,C,58,113.72
Drought,II,C,58,181.82
Drought,II,C,58,160.76
Drought,III,A,58,99.68
Drought,III,A,58,110.21
Drought,III,B,58,401.19
Drought,III,C,58,129.52
Drought,III,C,58,52.65
Drought,III,C,58,520.88
Drought,IV,A,58,346.44
Drought,IV,A,58,242.19
Drought,IV,B,58,100.39
Drought,IV,B,58,77.57
Drought,IV,B,58,56.16
Drought,IV,C,58,88.10
Control,I,A,30,1971.22
Control,I,A,30,564.41
Control,I,B,30,835.38
Control,I,B,30,454.90
Control,I,B,30,727.27
Control,I,C,30,643.03
Control,I,C,30,398.74
Control,I,C,30,440.86
Control,II,A,30,1604.77
Control,II,B,30,518.08
Control,II,B,30,210.60
Control,III,A,30,2083.54
Control,III,A,30,1385.75
Control,III,A,30,968.76
Control,III,B,30,401.54
Control,III,B,30,310.28
Control,III,C,30,224.64
Control,III,C,30,352.40
Control,IV,A,30,258.34
Control,IV,C,30,172.69
Control,IV,C,30,468.94
Control,IV,C,30,648.65
Control,II,A,37,735.70
Control,IV,A,37,1036.15
Control,IV,A,37,1354.86
Control,I,A,44,880.20
Control,I,A,44,982.80
Control,I,A,44,1260.79
Control,I,B,44,862.06
Control,I,B,44,723.06
Control,I,B,44,1118.99
Control,I,C,44,1413.00
Control,I,C,44,999.00
Control,I,C,44,855.04
Control,II,A,44,748.33
Control,II,A,44,789.05
Control,II,B,44,994.03
Control,II,C,44,1147.07
Control,II,C,44,1432.08
Control,II,C,44,1384.34
Control,III,A,44,1493.86
Control,III,A,44,1075.46
Control,III,A,44,1125.00
Control,III,B,44,1020.71
Control,III,B,44,772.20
Control,III,B,44,1755.00
Control,III,C,44,1072.80
Control,III,C,44,810.11
Control,III,C,44,923.83
Control,IV,A,44,1142.86
Control,IV,A,44,1159.70
Control,IV,A,44,1110.56
Control,IV,C,44,1394.17
Control,I,A,51,822.74
Control,I,A,51,1152.68
Control,I,B,51,1353.46
Control,I,B,51,1005.26
Control,I,C,51,819.94
Control,II,A,51,1186.38
Control,II,A,51,961.74
Control,II,A,51,949.10
Control,II,B,51,831.17
Control,II,B,51,873.29
Control,II,C,51,783.43
Control,II,C,51,1121.80
Control,II,C,51,1144.26
Control,III,A,51,881.71
Control,III,A,51,751.14
Control,III,B,51,651.46
Control,III,B,51,775.01
Control,III,B,51,884.52
Control,III,C,51,772.20
Control,III,C,51,1204.63
Control,I,A,58,1364.69
Control,I,A,58,849.42
Control,I,B,58,1040.36
Control,I,B,58,558.79
Control,I,B,58,1072.66
Control,I,C,58,1135.84
Control,I,C,58,826.96
Control,II,A,58,557.39
Control,II,A,58,1047.38
Control,II,A,58,828.36
Control,II,B,58,1453.14
Control,II,B,58,1190.59
Control,II,B,58,707.62
Control,II,C,58,979.99
Control,II,C,58,731.48
Control,II,C,58,888.73
Control,III,A,58,921.02
Control,III,A,58,839.59
Control,III,A,58,869.08
Control,III,B,58,950.51
Control,III,B,58,870.48
Control,III,B,58,780.62
Control,III,C,58,1370.30
Control,IV,B,58,967.36
Control,IV,C,58,1477.01
Control,IV,C,58,1161.11
