month1,month,day1,day,day_length,night_length
Jan,1,1,1,9:22,14:38
Jan,1,2,2,9:23,14:37
Jan,1,3,3,9:23,14:37
Jan,1,4,4,9:24,14:36
Jan,1,5,5,9:25,14:35
Jan,1,6,6,9:26,14:34
Jan,1,7,7,9:27,14:33
Jan,1,8,8,9:28,14:32
Jan,1,9,9,9:29,14:31
Jan,1,10,10,9:31,14:29
Jan,1,11,11,9:32,14:28
Jan,1,12,12,9:33,14:27
Jan,1,13,13,9:34,14:26
Jan,1,14,14,9:36,14:24
Jan,1,15,15,9:37,14:23
Jan,1,16,16,9:39,14:21
Jan,1,17,17,9:40,14:20
Jan,1,18,18,9:42,14:18
Jan,1,19,19,9:44,14:16
Jan,1,20,20,9:45,14:15
Jan,1,21,21,9:47,14:13
Jan,1,22,22,9:49,14:11
Jan,1,23,23,9:51,14:09
Jan,1,24,24,9:52,14:08
Jan,1,25,25,9:54,14:06
Jan,1,26,26,9:56,14:04
Jan,1,27,27,9:58,14:02
Jan,1,28,28,10:00,14:00
Jan,1,29,29,10:02,13:58
Jan,1,30,30,10:04,13:56
Jan,1,31,31,10:07,13:53
Feb,2,1,32,10:09,13:51
Feb,2,2,33,10:11,13:49
Feb,2,3,34,10:13,13:47
Feb,2,4,35,10:15,13:45
Feb,2,5,36,10:17,13:43
Feb,2,6,37,10:20,13:40
Feb,2,7,38,10:22,13:38
Feb,2,8,39,10:24,13:36
Feb,2,9,40,10:27,13:33
Feb,2,10,41,10:29,13:31
Feb,2,11,42,10:31,13:29
Feb,2,12,43,10:34,13:26
Feb,2,13,44,10:36,13:24
Feb,2,14,45,10:39,13:21
Feb,2,15,46,10:41,13:19
Feb,2,16,47,10:44,13:16
Feb,2,17,48,10:46,13:14
Feb,2,18,49,10:49,13:11
Feb,2,19,50,10:51,13:09
Feb,2,20,51,10:54,13:06
Feb,2,21,52,10:56,13:04
Feb,2,22,53,10:59,13:01
Feb,2,23,54,11:01,12:59
Feb,2,24,55,11:04,12:56
Feb,2,25,56,11:06,12:54
Feb,2,26,57,11:09,12:51
Feb,2,27,58,11:12,12:48
Feb,2,28,59,11:14,12:46
Mar,3,1,60,11:17,12:43
Mar,3,2,61,11:19,12:41
Mar,3,3,62,11:22,12:38
Mar,3,4,63,11:25,12:35
Mar,3,5,64,11:27,12:33
Mar,3,6,65,11:30,12:30
Mar,3,7,66,11:33,12:27
Mar,3,8,67,11:35,12:25
Mar,3,9,68,11:38,12:22
Mar,3,10,69,11:40,12:20
Mar,3,11,70,11:43,12:17
Mar,3,12,71,11:46,12:14
Mar,3,13,72,11:48,12:12
Mar,3,14,73,11:51,12:09
Mar,3,15,74,11:54,12:06
Mar,3,16,75,11:56,12:04
Mar,3,17,76,11:59,12:01
Mar,3,18,77,12:02,11:58
Mar,3,19,78,12:04,11:56
Mar,3,20,79,12:07,11:53
Mar,3,21,80,12:10,11:50
Mar,3,22,81,12:12,11:48
Mar,3,23,82,12:15,11:45
Mar,3,24,83,12:18,11:42
Mar,3,25,84,12:20,11:40
Mar,3,26,85,12:23,11:37
Mar,3,27,86,12:26,11:34
Mar,3,28,87,12:28,11:32
Mar,3,29,88,12:31,11:29
Mar,3,30,89,12:34,11:26
Mar,3,31,90,12:36,11:24
Apr,4,1,91,12:39,11:21
Apr,4,2,92,12:42,11:18
Apr,4,3,93,12:44,11:16
Apr,4,4,94,12:47,11:13
Apr,4,5,95,12:49,11:11
Apr,4,6,96,12:52,11:08
Apr,4,7,97,12:55,11:05
Apr,4,8,98,12:57,11:03
Apr,4,9,99,13:00,11:00
Apr,4,10,100,13:02,10:58
Apr,4,11,101,13:05,10:55
Apr,4,12,102,13:08,10:52
Apr,4,13,103,13:10,10:50
Apr,4,14,104,13:13,10:47
Apr,4,15,105,13:15,10:45
Apr,4,16,106,13:18,10:42
Apr,4,17,107,13:20,10:40
Apr,4,18,108,13:23,10:37
Apr,4,19,109,13:25,10:35
Apr,4,20,110,13:28,10:32
Apr,4,21,111,13:30,10:30
Apr,4,22,112,13:33,10:27
Apr,4,23,113,13:35,10:25
Apr,4,24,114,13:37,10:23
Apr,4,25,115,13:40,10:20
Apr,4,26,116,13:42,10:18
Apr,4,27,117,13:45,10:15
Apr,4,28,118,13:47,10:13
Apr,4,29,119,13:49,10:11
Apr,4,30,120,13:51,10:09
May,5,1,121,13:54,10:06
May,5,2,122,13:56,10:04
May,5,3,123,13:58,10:02
May,5,4,124,14:00,10:00
May,5,5,125,14:03,9:57
May,5,6,126,14:05,9:55
May,5,7,127,14:07,9:53
May,5,8,128,14:09,9:51
May,5,9,129,14:11,9:49
May,5,10,130,14:13,9:47
May,5,11,131,14:15,9:45
May,5,12,132,14:17,9:43
May,5,13,133,14:19,9:41
May,5,14,134,14:21,9:39
May,5,15,135,14:23,9:37
May,5,16,136,14:25,9:35
May,5,17,137,14:27,9:33
May,5,18,138,14:29,9:31
May,5,19,139,14:30,9:30
May,5,20,140,14:32,9:28
May,5,21,141,14:34,9:26
May,5,22,142,14:35,9:25
May,5,23,143,14:37,9:23
May,5,24,144,14:38,9:22
May,5,25,145,14:40,9:20
May,5,26,146,14:41,9:19
May,5,27,147,14:43,9:17
May,5,28,148,14:44,9:16
May,5,29,149,14:46,9:14
May,5,30,150,14:47,9:13
May,5,31,151,14:48,9:12
June,6,1,152,14:49,9:11
June,6,2,153,14:50,9:10
June,6,3,154,14:52,9:08
June,6,4,155,14:53,9:07
June,6,5,156,14:54,9:06
June,6,6,157,14:54,9:06
June,6,7,158,14:55,9:05
June,6,8,159,14:56,9:04
June,6,9,160,14:57,9:03
June,6,10,161,14:58,9:02
June,6,11,162,14:58,9:02
June,6,12,163,14:59,9:01
June,6,13,164,14:59,9:01
June,6,14,165,15:00,9:00
June,6,15,166,15:00,9:00
June,6,16,167,15:01,8:59
June,6,17,168,15:01,8:59
June,6,18,169,15:01,8:59
June,6,19,170,15:01,8:59
June,6,20,171,15:01,8:59
June,6,21,172,15:02,8:58
June,6,22,173,15:01,8:59
June,6,23,174,15:01,8:59
June,6,24,175,15:01,8:59
June,6,25,176,15:01,8:59
June,6,26,177,15:01,8:59
June,6,27,178,15:01,8:59
June,6,28,179,15:00,9:00
June,6,29,180,15:00,9:00
June,6,30,181,14:59,9:01
July,7,1,182,14:59,9:01
July,7,2,183,14:58,9:02
July,7,3,184,14:57,9:03
July,7,4,185,14:57,9:03
July,7,5,186,14:56,9:04
July,7,6,187,14:55,9:05
July,7,7,188,14:54,9:06
July,7,8,189,14:53,9:07
July,7,9,190,14:52,9:08
July,7,10,191,14:51,9:09
July,7,11,192,14:50,9:10
July,7,12,193,14:49,9:11
July,7,13,194,14:48,9:12
July,7,14,195,14:47,9:13
July,7,15,196,14:45,9:15
July,7,16,197,14:44,9:16
July,7,17,198,14:43,9:17
July,7,18,199,14:41,9:19
July,7,19,200,14:40,9:20
July,7,20,201,14:38,9:22
July,7,21,202,14:37,9:23
July,7,22,203,14:35,9:25
July,7,23,204,14:34,9:26
July,7,24,205,14:32,9:28
July,7,25,206,14:30,9:30
July,7,26,207,14:28,9:32
July,7,27,208,14:27,9:33
July,7,28,209,14:25,9:35
July,7,29,210,14:23,9:37
July,7,30,211,14:21,9:39
July,7,31,212,14:19,9:41
Aug,8,1,213,14:17,9:43
Aug,8,2,214,14:15,9:45
Aug,8,3,215,14:13,9:47
Aug,8,4,216,14:11,9:49
Aug,8,5,217,14:09,9:51
Aug,8,6,218,14:07,9:53
Aug,8,7,219,14:05,9:55
