object,dosage volume,survival
1,2,1
2,20,1
3,0,0
4,0,0
5,0,0
6,0,1
7,42,1
8,0,1
9,0,0
10,0,0
11,11,1
12,169,1
13,0,1
14,84,1
15,0,1
16,82,1
17,1,0
18,0,0
19,0,0
20,9,1
21,56,1
22,5,1
23,39,1
24,3,1
25,109,1
26,2,1
27,1,0
28,0,0
29,2,1
30,36,1
31,0,1
32,94,1
33,10,1
34,76,1
35,6,1
36,88,1
37,4,1
38,118,1
39,0,1
40,11,1
41,0,1
42,4,1
43,3,0
44,0,0
45,0,0
46,3,1
47,131,1
48,0,1
49,121,1
50,0,1
51,1,1
52,2,1
53,4,1
54,2,1
55,61,1
56,0,1
57,15,1
58,8,1
59,34,1
60,2,1
61,81,1
62,0,1
63,2,1
64,5,1
65,100,1
66,12,1
67,2,1
68,0,1
69,3,1
70,0,1
71,0,1
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,1
88,0,1
89,0,1
90,0,1
91,7,1
92,3,1
93,0,0
94,0,0
95,0,0
96,0,1
97,0,1
98,0,0
99,0,0
100,0,0
101,0,1
102,0,1
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
