Genotype,Block,variable,value
Genotype_A,I,Control,42.9
Genotype_A,II,Control,41.6
Genotype_A,III,Control,28.9
Genotype_A,IV,Control,30.8
Genotype_B,I,Control,53.3
Genotype_B,II,Control,69.6
Genotype_B,III,Control,45.4
Genotype_B,IV,Control,35.1
Genotype_C,I,Control,62.3
Genotype_C,II,Control,58.5
Genotype_C,III,Control,44.6
Genotype_C,IV,Control,50.3
Genotype_D,I,Control,75.4
Genotype_D,II,Control,65.6
Genotype_D,III,Control,54
Genotype_D,IV,Control,52.7
Genotype_A,I,Fertilizer1,53.8
Genotype_A,II,Fertilizer1,58.5
Genotype_A,III,Fertilizer1,43.9
Genotype_A,IV,Fertilizer1,46.3
Genotype_B,I,Fertilizer1,57.6
Genotype_B,II,Fertilizer1,69.6
Genotype_B,III,Fertilizer1,42.4
Genotype_B,IV,Fertilizer1,51.9
Genotype_C,I,Fertilizer1,63.4
Genotype_C,II,Fertilizer1,50.4
Genotype_C,III,Fertilizer1,45
Genotype_C,IV,Fertilizer1,46.7
Genotype_D,I,Fertilizer1,70.3
Genotype_D,II,Fertilizer1,67.3
Genotype_D,III,Fertilizer1,57.6
Genotype_D,IV,Fertilizer1,58.5
Genotype_A,I,Fertilizer2,49.5
Genotype_A,II,Fertilizer2,53.8
Genotype_A,III,Fertilizer2,40.7
Genotype_A,IV,Fertilizer2,39.4
Genotype_B,I,Fertilizer2,59.8
Genotype_B,II,Fertilizer2,65.8
Genotype_B,III,Fertilizer2,41.4
Genotype_B,IV,Fertilizer2,45.4
Genotype_C,I,Fertilizer2,64.5
Genotype_C,II,Fertilizer2,46.1
Genotype_C,III,Fertilizer2,62.6
Genotype_C,IV,Fertilizer2,50.3
Genotype_D,I,Fertilizer2,68.8
Genotype_D,II,Fertilizer2,65.3
Genotype_D,III,Fertilizer2,45.6
Genotype_D,IV,Fertilizer2,51
Genotype_A,I,Fertilizer3,44.4
Genotype_A,II,Fertilizer3,41.8
Genotype_A,III,Fertilizer3,28.3
Genotype_A,IV,Fertilizer3,34.7
Genotype_B,I,Fertilizer3,64.1
Genotype_B,II,Fertilizer3,57.4
Genotype_B,III,Fertilizer3,44.1
Genotype_B,IV,Fertilizer3,51.6
Genotype_C,I,Fertilizer3,63.6
Genotype_C,II,Fertilizer3,56.1
Genotype_C,III,Fertilizer3,52.7
Genotype_C,IV,Fertilizer3,51.8
Genotype_D,I,Fertilizer3,71.6
Genotype_D,II,Fertilizer3,69.4
Genotype_D,III,Fertilizer3,56.6
Genotype_D,IV,Fertilizer3,47.4
