treatment,block,weight_g,length_cm,diameter_mm,area_cm2
A,I,27,8.2,24,39.06
A,I,37.9,9.5,34,50.11
A,I,28.2,8.8,30,40.55
A,I,28.9,8,34,42.67
A,I,69.5,12.5,46,85.08
A,I,32.5,9.4,32,52.31
A,I,29.5,8,25,38.37
A,I,27.6,7.8,30,38.37
A,I,68.5,10,41,86.46
A,I,45.8,9.5,39,60.32
A,I,157.6,10.5,68,141.93
A,I,18,7.5,21,29.91
A,I,37.9,8.1,35,53.97
A,II,59.3,10.5,42,75.98
A,II,28.8,9,32,48.58
A,II,25.7,7.6,33,39.97
A,II,51.9,9.5,40,65.02
A,II,56.7,10.3,44,74.76
A,II,25.5,6.5,33,35.76
A,II,25.1,8,24,36.48
A,II,21.3,7,24,30.15
A,II,115.7,12,54,126.46
A,II,59.7,11.5,42,76.7
A,III,65.8,11.5,43,87.06
A,III,28.3,7.9,27,46.88
A,III,20.2,6.2,22,28.33
A,III,40.3,9,39,54.57
A,III,23,7.7,29,34.28
A,III,21.7,8,30,29.81
A,IV,39.1,7.5,35,47.78
A,IV,50,11,38,66.09
A,IV,129,10,61,140.2
A,IV,111.6,11.5,55,121.26
A,IV,23.5,8.3,30,38.91
A,IV,134.8,11.5,62,145.53
A,IV,39.7,9.1,35,60.45
A,IV,45.7,8.5,43,61.24
A,IV,27.4,8.3,25,41.05
A,IV,20.8,6.5,27,26.78
A,IV,23.6,8,30,38.44
A,IV,32.2,10,25,49.65
A,IV,20.9,7.5,20,34.24
A,IV,31.2,8.4,33,42.51
A,IV,55,9.5,44,71.62
A,IV,32,9.5,29,46.72
A,IV,22.6,7,23,31.16
A,IV,67,12.6,45,84.99
A,IV,23.9,7,35,33
A,I,44,10,39,67.1
A,I,53.1,12.5,10,76.2
A,I,58.4,11.5,43,86.34
A,I,56.4,8.5,28,80.74
A,I,57.4,9.5,44,67.02
A,I,73.7,11.5,40,77.36
A,I,92.2,10.5,65,93.56
A,I,65.6,10,50,101.53
A,I,73.1,9.5,48,146.82
A,I,45.8,10.5,40,79.8
A,II,43.1,9.5,39,124.25
A,III,53.4,10,44,83.18
A,III,43,10,37,96.95
A,III,50,10.5,40,81.45
A,III,53.9,12,43,81.49
A,IV,53.6,10,45,140.67
A,IV,42.6,9,38,113.28
A,IV,48.7,8.5,41,74.21
A,IV,62.8,10.5,46,90.09
B,I,22.1,9,27,35.79
B,I,17.6,6,21,27.75
B,I,140.4,12.5,50,168.83
B,I,40.2,9,40,61.21
B,I,59.5,9,35,79.95
B,I,32.4,8.5,27,46.83
B,I,51.8,10.6,37,71.55
B,I,23.8,8,26,39.32
B,I,22,6.5,22,35.33
B,I,19.1,6,22,31.45
B,I,18.1,6,24,25.55
B,I,95.8,8.5,29,66.14
B,I,28.4,8.5,27,40.06
B,I,31.4,8.5,33,51.89
B,I,22,7.5,27,33.14
B,I,40.9,10,31,65.96
B,I,29.3,8.5,23,42.83
B,I,32.8,9,25,50.98
B,I,21,7.5,27,35.72
B,II,114.3,13,62,135.73
B,II,36.9,11.5,33,58
B,II,15,6.5,22,22.7
B,II,31.5,9,25,51.18
B,II,70.8,10.5,43,85.46
B,II,89,11.5,55,103.25
B,II,32.2,8,29,47.48
B,II,25.9,9,35,40.73
B,II,19.1,7.5,26,31.23
B,II,41.7,8,38,54.79
B,II,42.9,9,36,61.27
B,II,22.2,8,27,37.21
B,II,21.4,7,30,32.03
B,II,39,11.5,30,59.3
B,III,20.1,7,25,31.01
B,III,39.4,9,30,58.35
B,III,38.6,8,33,54
B,III,16.5,6.5,25,24.82
B,III,15.9,7,23,26.26
B,III,14,6.5,21,23.52
B,III,148.4,9,65,150.55
B,III,98.7,11.5,50,113.37
B,III,69,10.5,,101.46
B,III,28.6,7.5,30,40.75
B,III,22.1,7.6,29,36.04
B,III,78.9,10,44,72.23
B,III,51.7,9.5,43,95.31
B,III,20.3,7.2,40,36.78
B,III,27.3,8,25,44.29
B,III,26.9,7.5,30,42.91
B,III,26.3,8,30,38.93
B,III,61.8,10,24,78.48
B,III,29.3,8.5,34,44.43
B,III,23.4,6.5,31,35.17
B,III,16,7,22,34.09
B,III,21.6,6.5,25,26.22
B,III,14.9,6.5,21,24.81
B,III,16,6.7,20,33.02
B,III,25.1,8.9,27,42
B,III,32.1,9,31,53.69
B,III,20.4,7.5,26,34.3
B,III,34.2,8.8,25,50.14
B,III,21.9,8,26,34.34
B,III,15.4,6,25,26.09
B,III,18.4,8,15,30.01
B,III,32.4,8,30,48.08
B,III,38.6,9,35,54.47
B,III,20.8,6.1,29,36.35
B,III,32.9,11,35,50.86
B,III,39.1,10.5,33,54.07
B,III,15,3,22,21.65
B,III,42.2,8.5,36,57.09
B,III,12.3,8,13,27.6
B,III,33.4,10.5,37,54.24
B,III,46.2,10,30,63.33
B,III,13,6.5,21,26.57
B,III,40.1,10.5,30,54.85
B,III,19.9,9,24,39.64
B,III,20.9,7,,32.15
B,I,73.4,10,53,66.02
B,I,101.6,13,61,81.41
B,I,56.4,10,48,87.37
B,I,81.6,12,50,92.35
B,II,52.4,10.5,43,92.21
B,II,57.5,10.5,50,110.89
B,III,54.7,9,50,115.93
B,III,65.2,9,60,77.88
B,III,73.8,50,11,101.61
B,III,96.5,60,13.5,96.19
B,III,53.8,10,52,71.95
B,III,57.2,10.5,41,88.2
