year,variety,nitrogen,location,reps,AGW,KN,GY
2023,cv1,N1,Iowa,1,282.6,3621,10125.8
2023,cv1,N1,Iowa,2,269.7,3476,9274.9
2023,cv1,N1,Iowa,3,257.3,3911,9955.6
2023,cv1,N1,Iowa,4,311.7,3476,10721.4
2023,cv1,N1,Iowa,5,283.2,3766,10551.3
2023,cv1,N1,Iowa,6,284.6,4200,11827.6
2023,cv1,N1,Iowa,7,313.8,3042,9445.1
2023,cv1,N1,Iowa,8,337.4,3186,10636.3
2023,cv1,N1,Iowa,9,262.1,4200,10891.6
2023,cv1,N1,Iowa,10,278.4,4200,11572.3
2023,cv1,N1,Illinois,1,253.9,3845,9659.6
2023,cv1,N1,Illinois,2,347.1,3017,10360.7
2023,cv1,N1,Illinois,3,251.8,3845,9581.7
2023,cv1,N1,Illinois,4,286.8,3597,10204.9
2023,cv1,N1,Illinois,5,281.4,3945,10983.9
2023,cv1,N1,Illinois,6,263.7,4508,11762.9
2023,cv1,N1,Illinois,7,343.1,3580,12152.4
2023,cv1,N1,Illinois,8,269.3,3713,9893.3
2023,cv1,N1,Illinois,9,286.9,4061,11529.2
2023,cv1,N1,Illinois,10,328.3,3381,10983.9
2023,cv1,N1,Nebraska,1,288.4,5641,16095.3
2023,cv1,N1,Nebraska,2,263.9,6164,16095.3
2023,cv1,N1,Nebraska,3,268.8,5802,15432.6
2023,cv1,N1,Nebraska,4,359.2,4795,17042.1
2023,cv1,N1,Nebraska,5,262.5,6124,15906
2023,cv1,N1,Nebraska,6,289.9,5479,15716.6
2023,cv1,N1,Nebraska,7,277.1,6527,17894.2
2023,cv1,N1,Nebraska,8,293.4,4795,13917.7
2023,cv1,N1,Nebraska,9,252.3,5157,12876.3
2023,cv1,N1,Nebraska,10,0,5620,0
2023,cv2,N1,Iowa,1,265.2,4651,12205.1
2023,cv2,N1,Iowa,2,269.5,4884,13024.9
2023,cv2,N1,Iowa,3,306.5,3934,11931.9
2023,cv2,N1,Iowa,4,300.9,3120,9290.5
2023,cv2,N1,Iowa,5,337.4,3411,11385.4
2023,cv2,N1,Iowa,6,294.2,3411,9928.1
2023,cv2,N1,Iowa,7,289,3663,10474.6
2023,cv2,N1,Iowa,8,305.4,3798,11476.5
2023,cv2,N1,Iowa,9,233.5,4651,10747.8
2023,cv2,N1,Iowa,10,284.5,3721,10474.6
2023,cv2,N1,Illinois,1,237.5,4174,9808.2
2023,cv2,N1,Illinois,2,265.1,3770,9887.3
2023,cv2,N1,Illinois,3,255.3,4039,10203.7
2023,cv2,N1,Illinois,4,262.4,4174,10836.5
2023,cv2,N1,Illinois,5,279.9,3770,10441
2023,cv2,N1,Illinois,6,267.2,4847,12813.9
2023,cv2,N1,Illinois,7,271.4,4123,11073.8
2023,cv2,N1,Illinois,8,271.4,3652,9808.2
2023,cv2,N1,Illinois,9,282,3770,10520.1
2023,cv2,N1,Illinois,10,296.9,4443,13051.2
2023,cv2,N1,Nebraska,1,316.7,4012,12569.5
2023,cv2,N1,Nebraska,2,326,3589,11577.1
2023,cv2,N1,Nebraska,3,310.4,4012,12321.4
2023,cv2,N1,Nebraska,4,307.2,4434,13479.1
2023,cv2,N1,Nebraska,5,286.9,4311,12238.7
2023,cv2,N1,Nebraska,6,313.8,3941,12238.7
2023,cv2,N1,Nebraska,7,313.5,3572,11081
2023,cv2,N1,Nebraska,8,313,3818,11825.2
2023,cv2,N1,Nebraska,9,268.2,4082,10832.9
2023,cv2,N1,Nebraska,10,282,3941,10998.3
2023,cv3,N1,Iowa,1,298.6,4070,12023
2023,cv3,N1,Iowa,2,286.4,5271,14937.6
2023,cv3,N1,Iowa,3,280.3,3876,10747.8
2023,cv3,N1,Iowa,4,251.9,5116,12751.6
2023,cv3,N1,Iowa,5,311.2,4496,13844.6
2023,cv3,N1,Iowa,6,292,4477,12933.8
2023,cv3,N1,Iowa,7,279.9,4341,12023
2023,cv3,N1,Iowa,8,300.7,4806,14300
2023,cv3,N1,Iowa,9,276.5,4961,13571.4
2023,cv3,N1,Iowa,10,289.5,4961,14209
2023,cv3,N1,Illinois,1,288.4,4820,13752.3
2023,cv3,N1,Illinois,2,286.9,4686,13302.9
2023,cv3,N1,Illinois,3,284.6,4150,11685
2023,cv3,N1,Illinois,4,269,4896,13033.3
2023,cv3,N1,Illinois,5,260.6,5508,14201.8
2023,cv3,N1,Illinois,6,280.5,4437,12314.2
2023,cv3,N1,Illinois,7,301.6,3615,10786.1
2023,cv3,N1,Illinois,8,300.5,4686,13932.1
2023,cv3,N1,Illinois,9,345.6,4284,14651.2
2023,cv3,N1,Illinois,10,283.7,4131,11595.1
2023,cv3,N1,Nebraska,1,250.9,4427,10989.9
2023,cv3,N1,Nebraska,2,247.4,3873,9479.8
2023,cv3,N1,Nebraska,3,245.5,4248,10318.8
2023,cv3,N1,Nebraska,4,281.7,4123,11493.2
2023,cv3,N1,Nebraska,5,252.3,3998,9983.2
2023,cv3,N1,Nebraska,6,258.8,4980,12751.6
2023,cv3,N1,Nebraska,7,261.8,4016,10402.6
2023,cv3,N1,Nebraska,8,270.5,3856,10318.8
2023,cv3,N1,Nebraska,9,273.1,3695,9983.2
2023,cv3,N1,Nebraska,10,275.7,3998,10906
2024,cv1,N1,Iowa,1,285,5141,14496.6
2024,cv1,N1,Iowa,2,283.3,5141,14410.3
2024,cv1,N1,Iowa,3,295,4553,13288.5
2024,cv1,N1,Iowa,4,327.5,4847,15704.6
2024,cv1,N1,Iowa,5,291.1,5122,14755.5
2024,cv1,N1,Iowa,6,313.8,4113,12770.8
2024,cv1,N1,Iowa,7,322.6,4406,14065.1
2024,cv1,N1,Iowa,8,263.9,5618,14669.2
2024,cv1,N1,Iowa,9,283.9,4792,13461.1
2024,cv1,N1,Iowa,10,309.4,4792,14669.2
2024,cv1,N1,Illinois,1,267.2,4700,12425.6
2024,cv1,N1,Illinois,2,306,3819,11562.8
2024,cv1,N1,Illinois,3,305.4,4113,12425.6
2024,cv1,N1,Illinois,4,270.9,4957,13288.5
2024,cv1,N1,Illinois,5,245,4627,11217.6
2024,cv1,N1,Illinois,6,196.8,5141,10009.5
2024,cv1,N1,Illinois,7,290.9,4406,12684.5
2024,cv1,N1,Illinois,8,269.2,4406,11735.3
2024,cv1,N1,Illinois,9,281.6,4553,12684.5
2024,cv1,N1,Illinois,10,280.5,4260,11821.6
2024,cv2,N1,Iowa,1,343.3,4570,15520.1
2024,cv2,N1,Iowa,2,313.6,4570,14177.8
2024,cv2,N1,Iowa,3,294.8,4141,12080.5
2024,cv2,N1,Iowa,4,306.2,4570,13842.2
2024,cv2,N1,Iowa,5,289,3374,9647.6
2024,cv2,N1,Iowa,6,351.3,4248,14765
2024,cv2,N1,Iowa,7,329.6,4141,13506.7
2024,cv2,N1,Iowa,8,326.6,4284,13842.2
2024,cv2,N1,Iowa,9,316.7,4284,13422.8
2024,cv2,N1,Iowa,10,333.2,5141,16946.2
2024,cv2,N1,Illinois,1,345.1,4436,15146.2
2024,cv2,N1,Illinois,2,272.4,4925,13274.2
2024,cv2,N1,Illinois,3,350.9,4436,15401.4
2024,cv2,N1,Illinois,4,293.4,4925,14295.2
2024,cv2,N1,Illinois,5,325.7,4780,15401.4
2024,cv2,N1,Illinois,6,321,4635,14720.7
2024,cv2,N1,Illinois,7,303.4,4309,12933.8
2024,cv2,N1,Illinois,8,275.3,4780,13018.9
2024,cv2,N1,Illinois,9,324.8,4925,15826.9
2024,cv2,N1,Illinois,10,335.9,5069,16848
2024,cv3,N1,Iowa,1,302.6,4490,13444.3
2024,cv3,N1,Iowa,2,288.1,4925,14040
2024,cv3,N1,Iowa,3,341.9,4780,16167.2
2024,cv3,N1,Iowa,4,379.6,4780,17954.1
2024,cv3,N1,Iowa,5,375.3,4056,15061.1
2024,cv3,N1,Iowa,6,302.3,4780,14295.2
2024,cv3,N1,Iowa,7,337.2,4056,13529.4
