Genotype,Treatment,Germination
CV1,Control,0.405
CV1,Control,0.328
CV1,Control,0.241
CV10,Control,0.776
CV10,Control,0.767
CV2,Control,0.947
CV2,Control,1.000
CV2,Control,1.000
CV3,Control,1.000
CV3,Control,1.000
CV3,Control,1.000
CV4,Control,0.128
CV4,Control,0.221
CV4,Control,0.260
CV5,Control,0.363
CV5,Control,0.347
CV5,Control,0.406
CV6,Control,0.768
CV6,Control,0.739
CV6,Control,0.739
CV7,Control,0.875
CV7,Control,0.867
CV7,Control,0.828
CV8,Control,0.821
CV8,Control,0.857
CV8,Control,0.893
CV9,Control,0.924
CV9,Control,0.754
CV9,Control,0.881
CV1,Herbicide,0.034
CV1,Herbicide,0.009
CV1,Herbicide,0.034
CV10,Herbicide,0.155
CV10,Herbicide,0.362
CV10,Herbicide,0.086
CV2,Herbicide,0.232
CV2,Herbicide,0.286
CV2,Herbicide,0.286
CV3,Herbicide,0.653
CV3,Herbicide,0.474
CV3,Herbicide,0.412
CV4,Herbicide,0.098
CV4,Herbicide,0.074
CV4,Herbicide,0.025
CV5,Herbicide,0.105
CV5,Herbicide,0.084
CV5,Herbicide,0.009
CV6,Herbicide,0.129
CV6,Herbicide,0.172
CV6,Herbicide,0.194
CV7,Herbicide,0.828
CV7,Herbicide,0.782
CV7,Herbicide,0.875
CV8,Herbicide,0.180
CV8,Herbicide,0.207
CV8,Herbicide,0.027
CV9,Herbicide,0.407
CV9,Herbicide,0.500
CV9,Herbicide,0.330
