Data_No,Area,GW
1,12.6,28.5
2,18.5,47.4
3,20.1,52.7
4,19.8,51.8
5,18.7,48.0
6,18.1,46.0
7,17.6,44.2
8,18.7,48.2
9,20.2,53.2
10,20.8,55.2
11,19.3,50.0
12,19.6,51.0
13,20.1,52.7
14,17.5,43.9
15,19.5,50.6
16,19.3,50.2
17,17.9,45.4
18,17.5,44.1
19,18.0,45.8
20,20.2,53.1
21,14.7,34.9
22,20.8,55.3
23,19.9,52.3
24,15.2,36.5
25,17.7,44.8
26,16.9,42.1
27,17.2,42.8
28,20.0,52.5
29,18.6,47.6
30,18.6,47.8
31,17.8,45.1
32,19.2,49.7
33,20.1,52.8
34,19.3,50.0
35,17.2,43.0
36,16.6,41.0
37,14.5,34.3
38,15.4,37.0
39,17.5,44.0
40,17.8,45.1
41,18.5,47.3
42,20.2,53.3
43,20.7,54.8
44,19.6,51.0
45,18.7,48.0
46,15.5,37.5
47,8.8,17.7
48,14.0,32.6
49,17.0,42.4
50,19.8,51.7
51,20.6,54.7
52,19.9,52.2
53,18.1,46.2
54,17.4,43.7
55,11.5,25.3
56,13.6,31.6
57,14.8,35.2
58,15.9,38.7
59,16.1,39.5
60,18.6,47.5
61,20.9,55.8
62,21.2,56.6
63,20.4,54.0
64,14.4,33.9
65,15.9,38.8
66,13.1,30.0
67,19.6,51.0
68,19.8,51.8
69,21.0,56.0
70,22.4,61.1
71,21.5,57.9
72,21.4,57.5
73,20.1,52.8
74,13.3,30.6
75,18.8,48.5
76,20.8,55.3
77,20.6,54.4
78,23.0,63.1
79,23.0,63.3
80,22.5,61.5
81,21.0,56.0
82,14.9,35.4
83,12.9,29.4
84,21.4,57.2
85,21.4,57.4
86,21.4,57.3
87,22.7,61.9
88,24.1,67.2
89,22.6,61.6
90,22.9,62.8
91,16.6,41.0
92,18.5,47.3
93,11.8,26.2
94,15.7,38.1
95,14.0,32.7
96,18.0,45.8
97,19.5,50.8
98,20.6,54.6
99,22.3,60.5
100,20.9,55.5
101,18.9,48.9
102,18.5,47.3
103,14.1,33.1
104,19.2,49.8
105,20.9,55.6
106,20.7,55.0
107,22.1,60.0
108,21.5,57.9
109,21.6,58.0
110,19.9,52.0
111,20.6,54.6
112,19.6,51.0
113,21.3,57.0
114,22.6,61.8
115,20.9,55.6
116,21.9,59.2
117,20.4,54.0
118,15.9,38.8
119,15.9,38.8
120,11.5,25.2
121,13.0,29.7
122,15.6,37.7
123,17.2,43.0
124,19.7,51.4
125,21.3,56.9
126,20.1,52.9
127,17.4,43.7
128,10.6,22.7
129,19.8,51.8
130,18.8,48.4
131,18.5,47.2
132,21.2,56.5
133,21.3,57.2
134,19.6,51.2
135,14.3,33.6
