Genotype,Block,Nitrogen,Treatment ,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12,SP13,SP14,SP15,SP16,SP17,SP18,SP19,SP20,SP21,SP22,SP23
CV1,1,N1,TR1,,,3,3,3,4,4,4,4,4,4,4,3,3,3,3,2,2,,,,,
CV1,1,N1,TR2,,,3,3,3,4,4,4,3,4,4,4,4,4,3,3,3,3,,,,,
CV1,1,N1,TR3,,,3,4,4,4,4,4,4,4,4,4,3,3,2,2,1,1,,,,,
CV2,1,N1,TR1,,2,3,4,4,4,4,4,4,4,4,4,3,3,3,3,,,,,,,
CV2,1,N1,TR2,,1,3,3,3,4,4,4,4,4,3,3,3,3,2,2,2,2,,,,,
CV2,1,N1,TR3,,,3,4,4,4,4,4,4,4,3,3,3,3,,,,,,,,,
CV2,1,N0,TR1,,,,2,2,3,3,3,3,3,3,3,2,2,,,,,,,,,
CV2,1,N0,TR2,,,2,3,3,4,4,4,3,3,3,3,3,3,3,3,,,,,,,
CV2,1,N0,TR3,,,,,,1,1,2,2,3,3,3,2,2,,,,,,,,,
CV1,1,N0,TR1,,,3,4,4,4,4,4,4,4,4,4,4,4,3,3,,,,,,,
CV1,1,N0,TR2,,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,,,,,
CV1,1,N0,TR3,,,3,3,3,4,4,4,3,4,4,4,4,4,3,3,,,,,,,
CV1,2,N1,TR1,,2,3,4,4,4,4,4,3,4,4,4,3,3,3,3,,,,,,,
CV1,2,N1,TR2,,,3,4,4,4,4,4,4,4,4,4,4,4,3,3,,,,,,,
CV1,2,N1,TR3,,,3,4,4,4,3,4,4,4,4,4,3,3,3,3,,,,,,,
CV2,2,N0,TR1,,,,3,3,3,2,3,3,3,3,3,3,2,1,1,,,,,,,
CV2,2,N0,TR2,,1,3,4,4,4,4,4,4,4,4,4,3,3,,,,,,,,,
CV2,2,N0,TR3,,,1,2,3,3,3,4,4,4,3,3,3,3,,,,,,,,,
CV1,2,N0,TR1,,,3,4,4,4,4,4,4,4,4,4,3,3,3,3,,,,,,,
CV1,2,N0,TR2,,,2,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,,,,,
CV1,2,N0,TR3,,,1,2,3,3,3,4,4,4,4,4,3,3,3,3,2,2,,,,,
CV2,2,N1,TR1,,,2,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,
CV2,2,N1,TR2,,2,3,4,4,4,4,4,4,4,4,4,3,3,3,3,,,,,,,
CV2,2,N1,TR3,,,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,
CV2,3,N1,TR1,,,3,3,3,4,4,4,4,4,3,3,3,3,3,3,,,,,,,
CV2,3,N1,TR2,,2,3,4,4,4,3,4,4,4,4,4,3,3,,,,,,,,,
CV2,3,N1,TR3,,,3,3,3,4,4,4,4,4,3,3,3,3,3,3,2,2,,,,,
CV1,3,N1,TR1,,1,3,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,,,,,
CV1,3,N1,TR2,,2,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,,,,,
CV1,3,N1,TR3,,,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,,,,,
CV2,3,N0,TR1,,,3,4,4,4,4,4,4,4,4,4,3,3,3,3,,,,,,,
CV2,3,N0,TR2,,,,2,2,3,3,3,3,3,3,3,2,2,,,,,,,,,
CV2,3,N0,TR3,,,,3,3,4,4,4,4,4,3,3,3,3,,,,,,,,,
CV1,3,N0,TR1,,1,3,3,3,4,4,4,4,4,3,3,3,3,3,3,,,,,,,
CV1,3,N0,TR2,,,3,3,3,4,4,4,4,4,3,3,3,3,3,3,,,,,,,
CV1,3,N0,TR3,,,2,3,3,3,3,3,3,3,3,3,2,2,,,,,,,,,
