Latitude,Longitude,GY
12.15725,-106.14035,16.248
12.15724,-106.13994,26.703
12.15724,-106.13954,16.569
12.15723,-106.13911,21.451
12.15722,-106.13871,19.107
12.15722,-106.13828,22.039
12.15721,-106.13787,1.273
12.15721,-106.13745,12.148
12.15720,-106.13707,15.861
12.15719,-106.13665,20.638
12.15726,-106.14118,24.258
12.15725,-106.14074,24.402
12.15690,-106.14040,29.191
12.15690,-106.13998,13.238
12.15689,-106.13955,20.635
12.15688,-106.13912,21.112
12.15687,-106.13873,21.401
12.15687,-106.13830,18.399
12.15686,-106.13789,17.163
12.15686,-106.13745,15.685
12.15685,-106.13708,29.421
12.15684,-106.13664,24.853
12.15692,-106.14122,29.052
12.15691,-106.14074,13.464
12.15663,-106.14035,15.016
12.15663,-106.13996,9.430
12.15662,-106.13951,17.461
12.15662,-106.13908,17.424
12.15661,-106.13868,24.731
12.15660,-106.13827,19.070
12.15659,-106.13787,12.419
12.15659,-106.13745,21.507
12.15658,-106.13704,12.012
12.15658,-106.13664,17.581
12.15664,-106.14117,9.236
12.15664,-106.14077,19.206
12.15635,-106.14036,26.691
12.15635,-106.13996,19.243
12.15634,-106.13953,22.709
12.15633,-106.13911,11.332
12.15633,-106.13868,37.661
12.15632,-106.13829,16.947
12.15631,-106.13789,19.662
12.15631,-106.13748,23.587
12.15630,-106.13705,22.325
12.15630,-106.13665,27.311
12.15636,-106.14117,20.503
12.15636,-106.14076,21.182
12.15599,-106.14030,22.028
12.15599,-106.13993,19.003
12.15598,-106.13952,22.853
12.15598,-106.13914,19.591
12.15597,-106.13871,24.303
12.15596,-106.13822,21.927
12.15596,-106.13787,21.260
12.15595,-106.13743,31.613
12.15595,-106.13699,11.215
12.15594,-106.13663,43.537
12.15601,-106.14117,16.896
12.15600,-106.14073,2.315
12.15568,-106.14036,12.827
12.15567,-106.13993,17.465
12.15567,-106.13953,15.843
12.15566,-106.13908,18.656
12.15565,-106.13872,23.453
12.15565,-106.13824,19.983
12.15564,-106.13788,20.435
12.15564,-106.13746,15.595
12.15563,-106.13706,20.391
12.15562,-106.13665,18.851
12.15569,-106.14113,22.260
12.15568,-106.14077,11.927
12.15534,-106.14034,19.942
12.15534,-106.13994,13.314
12.15533,-106.13953,22.097
12.15532,-106.13912,18.099
12.15532,-106.13872,21.658
12.15531,-106.13830,20.285
12.15531,-106.13789,14.455
12.15530,-106.13746,24.839
12.15529,-106.13706,20.558
12.15529,-106.13665,21.322
12.15535,-106.14115,14.514
12.15535,-106.14076,11.599
12.15503,-106.14038,22.500
12.15502,-106.13995,20.168
12.15501,-106.13957,20.945
12.15501,-106.13913,19.169
12.15500,-106.13873,19.520
12.15500,-106.13833,22.916
12.15499,-106.13789,7.749
12.15498,-106.13748,19.555
12.15498,-106.13707,18.825
12.15497,-106.13665,22.536
12.15504,-106.14118,18.327
12.15503,-106.14078,25.461
12.15472,-106.14036,16.075
12.15471,-106.13994,24.558
12.15471,-106.13955,15.711
12.15470,-106.13914,32.137
12.15469,-106.13871,28.566
12.15469,-106.13830,25.114
12.15468,-106.13789,21.832
12.15467,-106.13749,17.796
12.15467,-106.13708,18.586
12.15466,-106.13666,23.277
12.15473,-106.14116,26.493
12.15472,-106.14076,13.960
12.15440,-106.14036,6.832
12.15439,-106.13989,12.749
12.15439,-106.13951,18.192
12.15438,-106.13912,22.041
12.15438,-106.13869,4.009
12.15437,-106.13828,12.618
12.15436,-106.13787,10.905
12.15436,-106.13746,23.709
12.15435,-106.13705,12.818
12.15435,-106.13668,14.810
12.15441,-106.14116,27.216
12.15441,-106.14074,18.245
12.15405,-106.14034,21.279
12.15404,-106.13991,20.661
12.15404,-106.13950,20.942
12.15403,-106.13910,22.022
12.15403,-106.13869,21.705
12.15402,-106.13834,20.412
12.15402,-106.13787,13.489
12.15404,-106.13749,17.500
12.15403,-106.13707,24.242
12.15403,-106.13667,21.361
12.15406,-106.14115,21.870
12.15406,-106.14072,15.525
