year,location,month,Days,date,temp,gdds
2018,Elora,May,1,1-May,14.05,24.05
2018,Elora,May,2,2-May,18.33,42.38
2018,Elora,May,3,3-May,16.11,58.49
2018,Elora,May,4,4-May,12.7,71.19
2018,Elora,May,5,5-May,14.21,85.4
2018,Elora,May,6,6-May,13.65,99.05
2018,Elora,May,7,7-May,11.01,110.06
2018,Elora,May,8,8-May,13.43,123.49
2018,Elora,May,9,9-May,16.82,140.31
2018,Elora,May,10,10-May,12.85,153.16
2018,Elora,May,11,11-May,5.95,159.11
2018,Elora,May,12,12-May,8.96,168.07
2018,Elora,May,13,13-May,11.59,179.66
2018,Elora,May,14,14-May,14.83,194.49
2018,Elora,May,15,15-May,14.58,209.07
2018,Elora,May,16,16-May,14.92,223.99
2018,Elora,May,17,17-May,14.9,238.89
2018,Elora,May,18,18-May,10.31,249.2
2018,Elora,May,19,19-May,14.8,264
2018,Elora,May,20,20-May,11.88,275.88
2018,Elora,May,21,21-May,12.37,288.25
2018,Elora,May,22,22-May,13.03,301.28
2018,Elora,May,23,23-May,14.34,315.62
2018,Elora,May,24,24-May,17.18,332.8
2018,Elora,May,25,25-May,19.17,351.97
2018,Elora,May,26,26-May,18.73,370.7
2018,Elora,May,27,27-May,20.69,391.39
2018,Elora,May,28,28-May,22.23,413.62
2018,Elora,May,29,29-May,20.6,434.22
2018,Elora,May,30,30-May,21.9,456.12
2018,Elora,May,31,31-May,22.62,478.74
2018,Elora,June,32,1-Jun,19.59,498.33
2018,Elora,June,33,2-Jun,16.15,514.48
2018,Elora,June,34,3-Jun,16.94,531.42
2018,Elora,June,35,4-Jun,13.6,545.02
2018,Elora,June,36,5-Jun,10.56,555.58
2018,Elora,June,37,6-Jun,12.76,568.34
2018,Elora,June,38,7-Jun,16.42,584.76
2018,Elora,June,39,8-Jun,17.28,602.04
2018,Elora,June,40,9-Jun,17.02,619.06
2018,Elora,June,41,10-Jun,15.98,635.04
2018,Elora,June,42,11-Jun,15.8,650.84
2018,Elora,June,43,12-Jun,19.33,670.17
2018,Elora,June,44,13-Jun,20.1,690.27
2018,Elora,June,45,14-Jun,16.15,706.42
2018,Elora,June,46,15-Jun,18.81,725.23
2018,Elora,June,47,16-Jun,20.2,745.43
2018,Elora,June,48,17-Jun,24.62,770.05
2018,Elora,June,49,18-Jun,23.91,793.96
2018,Elora,June,50,19-Jun,20.23,814.19
2018,Elora,June,51,20-Jun,18.84,833.03
2018,Elora,June,52,21-Jun,18.88,851.91
2018,Elora,June,53,22-Jun,16.3,868.21
2018,Elora,June,54,23-Jun,19.53,887.74
2018,Elora,June,55,24-Jun,17.2,904.94
2018,Elora,June,56,25-Jun,16.48,921.42
2018,Elora,June,57,26-Jun,17.58,939
2018,Elora,June,58,27-Jun,20.28,959.28
2018,Elora,June,59,28-Jun,21.69,980.97
2018,Elora,June,60,29-Jun,24.01,1004.98
2018,Elora,June,61,30-Jun,25.33,1030.31
2018,Elora,July,62,1-Jul,26.5,1056.81
2018,Elora,July,63,2-Jul,24.41,1081.22
2018,Elora,July,64,3-Jul,23.72,1104.94
2018,Elora,July,65,4-Jul,26.69,1131.63
2018,Elora,July,66,5-Jul,25.87,1157.5
2018,Elora,July,67,6-Jul,18.09,1175.59
2018,Elora,July,68,7-Jul,19.35,1194.94
2018,Elora,July,69,8-Jul,21.69,1216.63
2018,Elora,July,70,9-Jul,22.94,1239.57
2018,Elora,July,71,10-Jul,22.37,1261.94
2018,Elora,July,72,11-Jul,21.08,1283.02
2018,Elora,July,73,12-Jul,22.66,1305.68
2018,Elora,July,74,13-Jul,24.19,1329.87
2018,Elora,July,75,14-Jul,23.3,1353.17
2018,Elora,July,76,15-Jul,26.16,1379.33
2018,Elora,July,77,16-Jul,24.78,1404.11
2018,Elora,July,78,17-Jul,20.67,1424.78
2018,Elora,July,79,18-Jul,19.71,1444.49
2018,Elora,July,80,19-Jul,20.36,1464.85
2018,Elora,July,81,20-Jul,23.83,1488.68
2018,Elora,July,82,21-Jul,22.92,1511.6
2018,Elora,July,83,22-Jul,18.65,1530.25
2018,Elora,July,84,23-Jul,22.8,1553.05
2018,Elora,July,85,24-Jul,23.4,1576.45
2018,Elora,July,86,25-Jul,22.75,1599.2
2018,Elora,July,87,26-Jul,22.01,1621.21
2018,Elora,July,88,27-Jul,19.9,1641.11
2018,Elora,July,89,28-Jul,18.27,1659.38
2018,Elora,July,90,29-Jul,20,1679.38
2018,Elora,July,91,30-Jul,21.03,1700.41
2018,Elora,July,92,31-Jul,21.58,1721.99
2018,Elora,August,93,1-Aug,20.62,1742.61
2018,Elora,August,94,2-Aug,22.02,1764.63
2018,Elora,August,95,3-Aug,22.75,1787.38
2018,Elora,August,96,4-Aug,23.74,1811.12
2018,Elora,August,97,5-Aug,25.98,1837.1
2018,Elora,August,98,6-Aug,25.19,1862.29
2018,Elora,August,99,7-Aug,24.25,1886.54
2018,Elora,August,100,8-Aug,20.76,1907.3
2018,Elora,August,101,9-Aug,22.5,1929.8
2018,Elora,August,102,10-Aug,21.5,1951.3
2018,Elora,August,103,11-Aug,21.75,1973.05
2018,Elora,August,104,12-Aug,22.54,1995.59
2018,Elora,August,105,13-Aug,23.21,2018.8
2018,Elora,August,106,14-Aug,23.61,2042.41
2018,Elora,August,107,15-Aug,23.42,2065.83
2018,Elora,August,108,16-Aug,23.26,2089.09
2018,Elora,August,109,17-Aug,23.35,2112.44
2018,Elora,August,110,18-Aug,21.75,2134.19
2018,Elora,August,111,19-Aug,20.7,2154.89
2018,Elora,August,112,20-Aug,20.69,2175.58
2018,Elora,August,113,21-Aug,20.98,2196.56
2018,Elora,August,114,22-Aug,17.66,2214.22
2018,Elora,August,115,23-Aug,18.76,2232.98
2018,Elora,August,116,24-Aug,19.78,2252.76
2018,Elora,August,117,25-Aug,20.78,2273.54
2018,Elora,August,118,26-Aug,22.76,2296.3
2018,Elora,August,119,27-Aug,23.26,2319.56
2018,Elora,August,120,28-Aug,25.22,2344.78
2018,Elora,August,121,29-Aug,22.31,2367.09
2018,Elora,August,122,30-Aug,17.48,2384.57
2018,Elora,August,123,31-Aug,18.01,2402.58
2018,Elora,September,124,1-Sep,21.27,2423.85
2018,Elora,September,125,2-Sep,23.96,2447.81
2018,Elora,September,126,3-Sep,23.32,2471.13
2018,Elora,September,127,4-Sep,23.44,2494.57
2018,Elora,September,128,5-Sep,25.73,2520.3
2018,Elora,September,129,6-Sep,20.24,2540.54
2018,Elora,September,130,7-Sep,17.09,2557.63
2018,Elora,September,131,8-Sep,14.07,2571.7
2018,Elora,September,132,9-Sep,12.41,2584.11
2018,Elora,September,133,10-Sep,13.69,2597.8
2018,Elora,September,134,11-Sep,17.05,2614.85
2018,Elora,September,135,12-Sep,17.58,2632.43
2018,Elora,September,136,13-Sep,19.9,2652.33
2018,Elora,September,137,14-Sep,23.18,2675.51
2018,Elora,September,138,15-Sep,23.81,2699.32
2018,Elora,September,139,16-Sep,22.75,2722.07
2018,Elora,September,140,17-Sep,21.9,2743.97
2018,Elora,September,141,18-Sep,20.12,2764.09
2018,Elora,September,142,19-Sep,17.87,2781.96
