Location,Season,Genotype,Reps,Iron_mg_ha,Fe_V,Fe_R,Fe_M
East,2021,CV1,1,21.7127,0.4400,0.3700,0.1300
East,2021,CV1,2,8.7340,0.3000,0.3200,0.1400
East,2021,CV1,3,9.5003,0.3100,0.3300,0.1200
East,2021,CV1,4,5.9481,0.3700,0.3000,0.1800
East,2021,CV1,5,7.4608,0.3000,0.3400,0.1200
East,2021,CV1,6,20.5326,0.3300,0.3300,0.2400
East,2021,CV1,7,19.8532,0.2900,0.3100,0.2100
East,2021,CV1,8,7.9718,0.3500,0.3100,0.1700
East,2021,CV1,9,15.0087,0.3800,0.3000,0.3200
East,2021,CV1,10,5.6608,0.4000,0.3100,0.1400
East,2021,CV1,11,21.8885,0.4100,0.3000,0.1500
East,2021,CV1,12,16.8896,0.4100,0.3000,0.2000
East,2021,CV1,13,6.2757,0.3800,0.2900,0.0800
East,2021,CV1,14,7.5574,0.3600,0.2800,0.1500
East,2021,CV1,15,7.8064,0.3400,0.2900,0.1500
East,2021,CV1,16,9.0884,0.2600,0.3200,0.1100
East,2021,CV1,17,8.6052,0.3800,0.3200,0.1100
East,2021,CV1,18,8.2875,0.3600,0.3100,0.1400
East,2021,CV1,19,11.5893,0.3500,0.3300,0.1200
East,2021,CV1,20,8.0175,0.4500,0.3000,0.1500
East,2021,CV2,1,16.9369,0.3600,0.3000,0.1500
East,2021,CV2,2,5.0475,0.4400,0.2800,0.2400
East,2021,CV2,3,6.6257,0.3400,0.2900,0.2600
East,2021,CV2,4,4.2980,0.3100,0.2600,0.1200
East,2021,CV2,5,3.0783,0.4000,0.2800,0.1900
East,2021,CV2,6,17.4070,0.4500,0.2900,0.1000
East,2021,CV2,7,3.3106,0.2800,0.2900,0.1200
East,2021,CV2,8,7.8296,0.3600,0.3100,0.0900
East,2021,CV2,9,1.2931,0.3200,0.2400,0.0800
East,2021,CV2,10,3.6554,0.3200,0.2800,0.1100
East,2021,CV2,11,11.1033,0.0000,0.2800,0.2200
East,2021,CV2,12,9.3645,0.3900,0.3200,0.1700
East,2021,CV2,13,9.3350,0.3900,0.2800,0.1800
East,2021,CV2,14,8.8226,0.3300,0.2800,0.0600
East,2021,CV2,15,7.7412,0.3900,0.3100,0.1500
East,2021,CV2,16,9.0417,0.3300,0.2700,0.2100
East,2021,CV2,17,7.2107,0.4100,0.3100,0.1800
East,2021,CV2,18,4.9943,0.4000,0.3300,0.1700
East,2021,CV2,19,8.1762,0.3900,0.3300,0.0800
East,2021,CV2,20,6.5323,0.3900,0.3000,0.1000
East,2021,CV3,1,19.8604,0.3400,0.2700,0.1000
East,2021,CV3,3,8.5195,0.3200,0.2800,0.1200
East,2021,CV3,4,6.6725,0.4300,0.3000,0.1500
East,2021,CV3,5,9.2966,0.3700,0.3000,0.0900
East,2021,CV3,6,16.4475,0.4100,0.2800,0.2400
East,2021,CV3,7,25.3036,0.3600,0.3000,0.2000
East,2021,CV3,8,7.9092,0.3300,0.2900,0.1500
East,2021,CV3,9,6.2444,0.2700,0.2700,0.1200
East,2021,CV3,10,8.1068,0.2900,0.3100,0.1700
East,2021,CV3,11,8.3097,0.3100,0.2600,0.1300
East,2021,CV3,12,27.3571,0.3900,0.3100,0.2800
East,2021,CV3,13,7.2069,0.3700,0.3100,0.1000
East,2021,CV3,14,19.0869,0.3700,0.3100,0.2500
East,2021,CV3,15,8.1706,0.3800,0.3000,0.0900
East,2021,CV3,16,5.0987,0.4100,0.2900,0.1100
East,2021,CV3,17,10.8302,0.3900,0.3100,0.1600
East,2021,CV3,18,8.1015,0.3600,0.3500,0.2600
East,2021,CV3,19,5.5515,0.3000,0.2900,0.0800
East,2021,CV3,20,9.1292,0.3300,0.2800,0.2000
East,2021,CV4,1,24.5038,0.3800,0.3300,0.0900
East,2021,CV4,2,9.2269,0.3600,0.1200,0.1400
East,2021,CV4,3,2.3876,0.3300,0.1600,0.0800
East,2021,CV4,4,3.3808,0.3900,0.3400,0.1100
East,2021,CV4,5,3.8297,0.3900,0.2900,0.1000
East,2021,CV4,6,0.7033,0.3400,0.3500,0.1900
East,2021,CV4,7,9.8258,0.3800,0.3200,0.2800
East,2021,CV4,8,12.6526,0.3700,0.2900,0.1700
East,2021,CV4,9,12.0669,0.3700,0.3200,0.1200
East,2021,CV4,10,9.2066,0.3700,0.3600,0.1800
East,2021,CV4,11,12.0835,0.3200,0.3600,0.2200
East,2021,CV4,12,7.4230,0.4100,0.3600,0.2600
East,2021,CV4,13,12.8626,0.3600,0.3800,0.2400
East,2021,CV4,14,7.8124,0.3800,0.3400,0.0900
East,2021,CV4,15,2.0709,0.4100,0.3900,0.1800
East,2021,CV4,16,10.2201,0.4900,0.2200,0.1800
East,2021,CV4,17,7.4638,0.4600,0.3300,0.0800
East,2021,CV4,18,11.6790,0.4500,0.3800,0.1700
East,2021,CV4,19,10.8766,0.3600,0.3600,0.1700
East,2021,CV4,20,8.0137,0.3800,0.3500,0.1100
East,2021,CV5,1,15.6785,0.3000,0.3000,0.0700
East,2021,CV5,2,4.5316,0.3400,0.2900,0.0800
East,2021,CV5,3,3.4444,0.3400,0.2500,0.0700
East,2021,CV5,4,6.1723,0.2600,0.2700,0.0600
East,2021,CV5,5,22.8275,0.4300,0.3100,0.1800
East,2021,CV5,6,18.1803,0.4200,0.3500,0.2800
East,2021,CV5,7,3.8423,0.3900,0.3400,0.1000
East,2021,CV5,8,5.3482,0.3700,0.3600,0.1200
East,2021,CV5,9,4.5714,0.3900,0.2800,0.0900
East,2021,CV5,10,13.3601,0.3400,0.3300,0.1200
East,2021,CV5,11,8.9675,0.4200,0.3500,0.0800
East,2021,CV5,12,7.3105,0.3600,0.3000,0.1500
East,2021,CV5,13,6.1240,0.3900,0.3600,0.1500
East,2021,CV5,14,7.2898,0.3600,0.3400,0.1800
East,2021,CV5,15,2.3010,0.3700,0.3500,0.2200
East,2021,CV5,16,9.6420,0.4000,0.3100,0.1800
East,2021,CV5,17,5.1692,0.3900,0.3400,0.2000
East,2021,CV5,18,17.8780,0.4200,0.3700,0.3200
East,2021,CV5,19,16.6433,0.4700,0.3700,0.2600
East,2021,CV5,20,15.1860,0.4600,0.3700,0.3700
East,2021,CV6,1,13.4026,0.3500,0.2600,0.0900
East,2021,CV6,2,4.0009,0.3300,0.2600,0.0500
East,2021,CV6,3,5.3791,0.3600,0.2800,0.0700
East,2021,CV6,4,4.2936,0.3200,0.2500,0.0500
East,2021,CV6,5,17.7228,0.3000,0.3200,0.1000
East,2021,CV6,6,15.5804,0.4900,0.3700,0.2000
East,2021,CV6,7,10.0950,0.3500,0.3300,0.1000
East,2021,CV6,8,2.2066,0.3900,0.2800,0.1000
East,2021,CV6,9,5.4011,0.3200,0.3100,0.2000
East,2021,CV6,10,10.0975,0.3000,0.3300,0.1600
East,2021,CV6,11,5.8508,0.3900,0.3000,0.2100
East,2021,CV6,12,10.6604,0.3700,0.2900,0.2300
East,2021,CV6,13,8.4938,0.3000,0.2900,0.2200
East,2021,CV6,14,5.4784,0.3700,0.2900,0.1900
East,2021,CV6,15,8.0645,0.3500,0.3600,0.1300
East,2021,CV6,16,2.7485,0.4300,0.3600,0.2300
East,2021,CV6,17,7.0694,0.3600,0.2700,0.1500
East,2021,CV6,18,26.8574,0.3300,0.4000,0.3100
East,2021,CV6,19,35.4026,0.4700,0.3600,0.3300
East,2021,CV6,20,8.6935,0.4300,0.3700,0.3000
East,2021,CV7,1,13.6426,0.3500,0.2900,0.1200
East,2021,CV7,2,4.4840,0.2900,0.2900,0.0900
East,2021,CV7,3,2.9270,0.3400,0.3100,0.0800
East,2021,CV7,4,2.0721,0.3000,0.3000,0.0600
East,2021,CV7,5,12.4155,0.3800,0.3500,0.2100
East,2021,CV7,6,9.1939,0.4800,0.3500,0.2700
East,2021,CV7,7,9.7758,0.4100,0.3100,0.0600
East,2021,CV7,8,3.4473,0.4300,0.3000,0.1900
