spectrum,relative_intensity
380,0.01574
381,0.01582
382,0.01523
383,0.01463
384,0.01401
385,0.01372
386,0.01392
387,0.01382
388,0.01348
389,0.01341
390,0.01347
391,0.01345
392,0.01341
393,0.01299
394,0.0126
395,0.01286
396,0.01311
397,0.01329
398,0.01351
399,0.01378
400,0.01409
401,0.01446
402,0.01482
403,0.01518
404,0.01558
405,0.016
406,0.01617
407,0.01631
408,0.01663
409,0.01701
410,0.01776
411,0.0187
412,0.02014
413,0.02173
414,0.02353
415,0.02549
416,0.02759
417,0.03031
418,0.03331
419,0.03742
420,0.04175
421,0.04747
422,0.05336
423,0.06035
424,0.06786
425,0.07693
426,0.08718
427,0.09927
428,0.11281
429,0.12763
430,0.14506
431,0.16375
432,0.18563
433,0.20822
434,0.23499
435,0.26248
436,0.29465
437,0.32835
438,0.36663
439,0.40763
440,0.4528
441,0.50167
442,0.5537
443,0.60717
444,0.6613
445,0.71263
446,0.76342
447,0.80392
448,0.84199
449,0.86552
450,0.8835
451,0.8876
452,0.88285
453,0.8667
454,0.84067
455,0.80776
456,0.76719
457,0.72397
458,0.67913
459,0.63432
460,0.5934
461,0.5538
462,0.5192
463,0.4873
464,0.46006
465,0.4353
466,0.41276
467,0.39235
468,0.37291
469,0.35528
470,0.33801
471,0.3234
472,0.30909
473,0.29628
474,0.28486
475,0.27621
476,0.26948
477,0.26468
478,0.26221
479,0.2609
480,0.2623
481,0.26426
482,0.26913
483,0.27425
484,0.28061
485,0.28763
486,0.29593
487,0.30491
488,0.31452
489,0.32469
490,0.3351
491,0.34648
492,0.35804
493,0.37014
494,0.38231
495,0.3947
496,0.40712
497,0.41958
498,0.43153
499,0.44312
500,0.45301
501,0.46239
502,0.47327
503,0.48408
504,0.49388
505,0.50333
506,0.51203
507,0.52018
508,0.52779
509,0.53532
510,0.5428
511,0.54917
512,0.55538
513,0.5614
514,0.5673
515,0.57286
516,0.57783
517,0.58208
518,0.58655
519,0.59112
520,0.59499
521,0.59873
522,0.60242
523,0.60612
524,0.60987
525,0.61326
526,0.61622
527,0.61942
528,0.62273
529,0.62609
530,0.62948
531,0.63304
532,0.63672
533,0.64074
534,0.64456
535,0.64818
536,0.65193
537,0.65574
538,0.65987
539,0.664
540,0.66795
541,0.6722
542,0.67701
543,0.68161
544,0.68605
545,0.69086
546,0.69577
547,0.70063
548,0.70548
549,0.71034
550,0.71551
551,0.72106
552,0.72683
553,0.73269
554,0.73854
555,0.7444
