type,genotype,block,heat_stress,ht,agw
Triticum aestivum,cv_1,I,ht,1,41.02
Triticum aestivum,cv_1,I,ht,1,25.15
Triticum aestivum,cv_1,I,ht,1,54.3
Triticum aestivum,cv_1,I,ht,1,24.56
Triticum aestivum,cv_1,I,ht,1,30.33
Triticum aestivum,cv_1,I,ht,1,22.84
Triticum aestivum,cv_1,I,ht,1,34.59
Triticum aestivum,cv_1,I,ht,1,21.64
Triticum aestivum,cv_1,I,ht,1,40.33
Triticum aestivum,cv_1,I,ht,1,25.3
Triticum aestivum,cv_1,I,ht,1,14.26
Triticum aestivum,cv_1,I,ht,1,34.7
Triticum aestivum,cv_1,I,ht,1,41.86
Triticum aestivum,cv_1,I,ht,1,34.39
Triticum aestivum,cv_1,I,ht,1,23.42
Triticum aestivum,cv_1,I,ht,1,31.62
Triticum aestivum,cv_1,I,ht,1,32.08
Triticum aestivum,cv_1,I,ht,1,28.01
Triticum aestivum,cv_1,I,ht,1,42.62
Triticum aestivum,cv_1,I,ht,1,30.54
Triticum aestivum,cv_1,I,ht,1,31.68
Triticum aestivum,cv_1,I,ht,1,30.06
Triticum aestivum,cv_1,I,ht,1,21.77
Triticum aestivum,cv_1,I,ht,1,28.7
Triticum aestivum,cv_1,I,ht,1,27.51
Triticum aestivum,cv_1,I,ht,1,30.38
Triticum aestivum,cv_1,I,ht,1,29.98
Triticum aestivum,cv_1,I,ht,1,25.87
Triticum aestivum,cv_1,I,ht,1,25.59
Triticum aestivum,cv_1,I,ht,1,29.34
Triticum aestivum,cv_1,I,ht,1,31.13
Triticum aestivum,cv_1,I,ht,1,30.65
Triticum aestivum,cv_1,I,ht,1,40.01
Triticum aestivum,cv_1,I,ht,1,29.36
Triticum aestivum,cv_1,I,ht,1,24.05
Triticum aestivum,cv_1,I,ht,1,36.12
Triticum aestivum,cv_1,I,ht,1,40.56
Triticum aestivum,cv_1,I,ht,1,16.6
Triticum aestivum,cv_1,I,ht,1,33.98
Triticum aestivum,cv_1,I,ht,1,35.2
