type,area,area_reduction
Triticum aestivum,7.560837518,1
Triticum aestivum,7.250967128,1
Triticum aestivum,7.994656064,1
Triticum aestivum,5.860977092,1
Triticum aestivum,8.038923262,1
Triticum aestivum,21.38105691,0
Triticum aestivum,13.12079766,1
Triticum aestivum,18.13184454,0
Triticum aestivum,14.59932209,1
Triticum aestivum,17.51210376,0
Triticum aestivum,20.67278174,0
Triticum aestivum,20.94723837,0
Triticum aestivum,20.4425923,0
Triticum aestivum,16.59134603,0
Triticum aestivum,17.06057833,0
Triticum aestivum,16.63561323,0
Triticum aestivum,12.74009975,1
Triticum aestivum,19.3713261,0
Triticum aestivum,19.27393826,0
Triticum aestivum,20.68163518,0
Triticum aestivum,20.16813567,0
Triticum aestivum,18.69846468,0
Triticum aestivum,17.96362918,0
Triticum aestivum,16.21950156,0
Triticum aestivum,20.43373887,0
Triticum aestivum,17.48554344,0
Triticum aestivum,19.93794624,0
Triticum aestivum,18.60107684,0
Triticum aestivum,20.38947167,0
Triticum aestivum,11.02253245,1
Triticum aestivum,19.64578273,0
Triticum aestivum,14.04155539,0
Triticum aestivum,18.97292131,0
Triticum aestivum,15.74141582,0
Triticum aestivum,21.67322043,0
Triticum aestivum,16.70644074,0
Triticum aestivum,18.18496518,0
Triticum aestivum,17.28191433,0
Triticum aestivum,15.80338989,0
Triticum aestivum,14.2451845,1
Triticum aestivum,17.17567305,1
Triticum aestivum,20.4868595,0
Triticum aestivum,22.46117656,0
Triticum aestivum,19.57495521,0
Triticum aestivum,17.13140585,0
Triticum aestivum,20.41603199,0
Triticum aestivum,16.58249259,0
Triticum aestivum,16.64446667,1
Triticum aestivum,8.950827553,1
Triticum aestivum,15.32530415,0
Triticum aestivum,17.45012968,0
Triticum aestivum,14.48422738,0
Triticum aestivum,20.28323039,0
Triticum aestivum,18.10528422,0
Triticum aestivum,16.7418545,0
Triticum aestivum,17.12255241,0
Triticum aestivum,21.12430716,0
Triticum aestivum,18.22923238,0
Triticum aestivum,15.48466606,0
Triticum aestivum,21.7351945,0
Triticum aestivum,20.64622142,0
Triticum aestivum,21.55812571,0
Triticum aestivum,16.06013965,1
Triticum aestivum,16.89236298,0
Triticum aestivum,19.98221344,0
Triticum aestivum,18.38859429,0
Triticum aestivum,17.71573287,0
Triticum aestivum,16.45854443,1
Triticum aestivum,17.81312071,0
Triticum aestivum,14.79409777,0
Triticum aestivum,21.0888934,0
Triticum aestivum,19.95565312,0
Triticum aestivum,12.27086745,1
Triticum aestivum,19.98221344,0
Triticum aestivum,20.33635103,0
Triticum aestivum,19.47756738,0
Triticum aestivum,15.41383855,0
Triticum aestivum,14.65244273,0
Triticum aestivum,16.3611566,0
Triticum aestivum,19.67234305,0
Triticum aestivum,16.91006986,1
Triticum aestivum,18.65419748,0
Triticum aestivum,16.41427723,0
Triticum aestivum,18.37088741,0
Triticum aestivum,15.72370894,0
Triticum aestivum,17.22879369,0
Triticum aestivum,19.1942573,0
Triticum aestivum,19.73431713,0
Triticum aestivum,18.74273188,0
Triticum aestivum,22.90384855,0
Triticum aestivum,17.84853447,1
Triticum aestivum,17.58293128,0
Triticum aestivum,15.69714862,0
Triticum aestivum,10.1194816,1
Triticum aestivum,17.23764713,0
Triticum aestivum,17.68917255,0
Triticum aestivum,19.11457635,0
Triticum aestivum,8.030069823,1
Triticum aestivum,10.86317053,1
Triticum aestivum,12.34169496,1
Triticum aestivum,21.59353947,0
Triticum aestivum,12.63385848,1
Triticum aestivum,19.73431713,0
Triticum aestivum,18.44171493,0
Triticum aestivum,14.70556337,1
Triticum aestivum,20.12386848,0
Triticum aestivum,18.84897316,0
Triticum aestivum,19.3713261,0
Triticum aestivum,14.76753745,0
Triticum aestivum,15.92733805,0
Triticum aestivum,17.20223337,0
Triticum aestivum,18.91094723,0
Triticum aestivum,15.80338989,0
Triticum aestivum,15.59090734,0
Triticum aestivum,10.83661021,1
Triticum aestivum,14.43996018,0
Triticum aestivum,14.13894323,0
Triticum aestivum,12.11150553,1
Triticum aestivum,14.66129617,1
Triticum aestivum,14.45766706,0
Triticum aestivum,15.26333007,0
Triticum aestivum,18.45056837,0
Triticum aestivum,16.93663018,0
Triticum aestivum,14.97116656,0
Triticum aestivum,11.64227323,1
Triticum aestivum,16.2726222,1
Triticum aestivum,16.44083755,0
Triticum aestivum,15.55549358,0
Triticum aestivum,18.1229911,0
Triticum aestivum,18.77814564,0
Triticum aestivum,15.82109677,0
Triticum aestivum,15.57320046,0
Triticum aestivum,19.9290928,0
Triticum aestivum,13.87334004,0
Triticum aestivum,19.30049858,0
Triticum aestivum,15.04199408,0
Triticum aestivum,19.2827917,0
Triticum aestivum,18.7692922,0
Triticum aestivum,20.08845472,0
Triticum aestivum,18.91980067,0
Triticum aestivum,17.58293128,0
Triticum aestivum,16.58249259,0
Triticum aestivum,21.80602202,0
Triticum aestivum,13.0853839,1
Triticum aestivum,21.19513468,0
Triticum aestivum,19.61922241,0
Triticum aestivum,21.3102294,0
Triticum aestivum,16.8303889,0
Triticum aestivum,16.61790635,1
Triticum aestivum,11.1907478,1
Triticum aestivum,17.52981064,0
Triticum aestivum,16.21064812,0
Triticum aestivum,19.85826528,0
Triticum aestivum,16.10440684,0
Triticum aestivum,21.23054844,0
Triticum aestivum,19.51298113,0
Triticum aestivum,18.725025,0
Triticum aestivum,16.97204394,0
Triticum aestivum,20.08845472,0
Triticum aestivum,14.30715858,0
Triticum aestivum,20.24781663,0
Triticum aestivum,19.93794624,0
Triticum aestivum,20.91182461,0
Triticum aestivum,16.84809578,1
Triticum aestivum,20.45144574,0
Triticum aestivum,17.06057833,0
Triticum aestivum,19.59266209,0
Triticum aestivum,16.37001004,0
Triticum aestivum,19.75202401,0
Triticum aestivum,20.14157535,0
Triticum aestivum,18.74273188,0
Triticum aestivum,10.44705887,1
Triticum aestivum,16.0955534,1
Triticum aestivum,16.19294124,1
Triticum aestivum,15.59976078,1
