Genotype,Biomass,AGW,GN,Yield,Biomass_p,AGW_p,GN_p,Yield_p
cv1,2148.82,42.20,23215,979.7,0,0,1,0
cv1,2360.53,46.44,23653,1098.5,0,0,1,0
cv1,2198.29,45.58,21992,1002.4,0,0,0,0
cv1,3433.23,44.49,35664,1586.6,0,0,0,0
cv1,2800.08,43.78,29825,1305.7,1,0,1,0
cv1,2725.45,43.55,28591,1245.0,0,0,0,0
cv2,1823.53,35.13,24515,861.2,0,0,1,0
cv2,2084.20,36.78,28260,1039.4,0,0,0,0
cv2,1700.71,31.71,25302,802.3,0,0,1,0
cv2,3077.99,30.30,49676,1505.3,0,0,0,0
cv2,2952.50,32.54,46666,1518.4,0,0,0,0
cv2,3202.97,33.52,53741,1801.4,0,0,0,0
