genotype,thinning,GN,tolerance
CV1,control,766 ,0
CV1,control,767 ,0
CV1,control,687 ,0
CV1,control,841 ,0
CV1,control,921 ,0
CV1,control,819 ,0
CV2,control,766 ,0
CV2,control,681 ,1
CV2,control,853 ,0
CV2,control,1417 ,0
CV2,control,1198 ,0
CV2,control,1011 ,1
CV1,manipulation,864 ,0
CV1,manipulation,733 ,1
CV1,manipulation,837 ,1
CV1,manipulation,1788 ,1
CV1,manipulation,1105 ,0
CV1,manipulation,1306 ,1
CV2,manipulation,969 ,1
CV2,manipulation,936 ,1
CV2,manipulation,732 ,1
CV2,manipulation,2522 ,0
CV2,manipulation,2858 ,0
CV2,manipulation,1498 ,1
