date,temp
1-Jan,1.62
2-Jan,5.44
3-Jan,4.7
4-Jan,-0.91
5-Jan,0.76
6-Jan,0.41
7-Jan,1.27
8-Jan,-3.19
9-Jan,4.33
10-Jan,11.12
11-Jan,4.82
12-Jan,-1.98
13-Jan,-0.02
14-Jan,3.87
15-Jan,3.37
16-Jan,-4.63
17-Jan,-3.09
18-Jan,-1.68
19-Jan,-12.63
20-Jan,-7.31
21-Jan,-5.5
22-Jan,-3.2
23-Jan,0.75
24-Jan,0.84
25-Jan,-0.56
26-Jan,-1.7
27-Jan,-2.57
28-Jan,-2.4
29-Jan,-1.12
30-Jan,-0.56
31-Jan,1.26
1-Feb,0.97
2-Feb,5.35
3-Feb,8.01
4-Feb,2.62
5-Feb,-0.81
6-Feb,-2.59
7-Feb,-1.72
8-Feb,-2.01
9-Feb,0.34
10-Feb,-0.63
11-Feb,-0.13
12-Feb,-0.35
13-Feb,-6.17
14-Feb,-12.92
15-Feb,-2.98
16-Feb,0.87
17-Feb,2.77
18-Feb,0.75
19-Feb,-2.03
20-Feb,-4.98
21-Feb,-4.88
22-Feb,0.07
23-Feb,3.84
24-Feb,4.45
25-Feb,2.26
26-Feb,-1.52
27-Feb,-2.2
28-Feb,-3.4
29-Feb,-3.2
1-Mar,5.62
2-Mar,7.05
3-Mar,4.61
4-Mar,4.84
5-Mar,5.05
6-Mar,1
7-Mar,1.6
8-Mar,7.97
9-Mar,12.03
10-Mar,6.85
11-Mar,6.04
12-Mar,9.44
13-Mar,4.54
14-Mar,1.33
15-Mar,1.94
16-Mar,3.51
17-Mar,5.5
18-Mar,6.98
19-Mar,12.95
20-Mar,8.55
21-Mar,-0.41
22-Mar,-0.73
23-Mar,3.02
24-Mar,4.66
25-Mar,7.87
26-Mar,10.9
27-Mar,13.05
28-Mar,19.51
29-Mar,11.15
30-Mar,8.85
31-Mar,5.11
1-Apr,6.71
2-Apr,9.52
3-Apr,13.91
4-Apr,7.7
5-Apr,7.91
6-Apr,12.78
7-Apr,19.77
8-Apr,18.16
9-Apr,6.61
10-Apr,4.75
11-Apr,10.17
12-Apr,12.37
13-Apr,4.44
14-Apr,2.27
15-Apr,1.77
16-Apr,2.72
17-Apr,3.06
18-Apr,5.72
19-Apr,10.52
20-Apr,10.65
21-Apr,8.18
22-Apr,12.9
23-Apr,11.53
24-Apr,12.63
25-Apr,10.98
26-Apr,9.68
27-Apr,13.32
28-Apr,18.13
29-Apr,12.37
30-Apr,10.2
1-May,12.32
2-May,19.05
3-May,16.15
4-May,10.99
5-May,8.64
6-May,9.66
7-May,12.76
8-May,7.96
9-May,7.37
10-May,8.24
11-May,7.46
12-May,10.51
13-May,11.85
14-May,18.35
15-May,19.55
16-May,19.46
17-May,19.54
18-May,15.14
19-May,16.38
20-May,14.38
21-May,14.76
22-May,18.05
23-May,21.99
24-May,23.29
25-May,23.68
26-May,23.48
27-May,21.96
28-May,21.43
29-May,19.3
30-May,17.18
31-May,16.41
1-Jun,17.44
2-Jun,22.55
3-Jun,23.93
4-Jun,23.41
5-Jun,24.04
6-Jun,23.49
7-Jun,21.19
8-Jun,22.32
9-Jun,24.99
10-Jun,21.75
11-Jun,19.82
12-Jun,21.94
13-Jun,18.34
14-Jun,16.96
15-Jun,17.58
16-Jun,21
17-Jun,22.73
18-Jun,24.57
19-Jun,24.73
20-Jun,24.76
21-Jun,23.4
22-Jun,22.69
23-Jun,20.08
24-Jun,20.38
25-Jun,22.09
26-Jun,24.1
27-Jun,24.25
28-Jun,24.79
29-Jun,25.66
30-Jun,24.22
1-Jul,25.26
2-Jul,25.57
3-Jul,24.95
4-Jul,25.29
5-Jul,26.68
6-Jul,27.35
7-Jul,27.76
8-Jul,27.68
9-Jul,26.51
10-Jul,24.24
11-Jul,24.5
12-Jul,23.25
13-Jul,21.35
14-Jul,22.42
15-Jul,24.15
16-Jul,24.04
17-Jul,24.85
18-Jul,26.68
19-Jul,26.28
20-Jul,24.65
21-Jul,24.4
22-Jul,25.26
23-Jul,23.58
24-Jul,22.75
25-Jul,24.47
26-Jul,26.63
27-Jul,24.59
28-Jul,23.9
29-Jul,23.73
30-Jul,21.15
31-Jul,21.48
1-Aug,20.27
2-Aug,21.82
3-Aug,20.71
4-Aug,17.98
5-Aug,17.96
6-Aug,20.07
7-Aug,20.91
8-Aug,22.75
9-Aug,23.92
10-Aug,25.93
11-Aug,23.26
12-Aug,22.69
13-Aug,23.81
14-Aug,23.76
15-Aug,23.85
16-Aug,22.07
17-Aug,23.37
18-Aug,21.51
19-Aug,19.76
20-Aug,21.23
21-Aug,23.08
22-Aug,23.25
23-Aug,24.36
24-Aug,26.73
25-Aug,27.22
26-Aug,26.82
27-Aug,26.19
28-Aug,26.25
29-Aug,23.52
30-Aug,20.38
31-Aug,22.64
1-Sep,22.76
2-Sep,23.62
3-Sep,23.15
4-Sep,19.51
5-Sep,21.86
6-Sep,20.82
7-Sep,24.51
8-Sep,24.24
9-Sep,24.13
10-Sep,20.79
11-Sep,21.94
12-Sep,22
13-Sep,19.68
14-Sep,18.32
15-Sep,18.76
16-Sep,18.62
17-Sep,18.82
18-Sep,13.95
19-Sep,12.55
20-Sep,14.47
21-Sep,15.72
22-Sep,17.37
23-Sep,17.02
24-Sep,18.05
25-Sep,19.64
26-Sep,20.5
27-Sep,20.33
28-Sep,14.23
29-Sep,12.13
30-Sep,13.72
1-Oct,11.24
2-Oct,10.4
3-Oct,10.69
4-Oct,9.43
5-Oct,9.71
6-Oct,15
7-Oct,18.44
8-Oct,17.08
9-Oct,18.93
10-Oct,20.67
11-Oct,20.25
12-Oct,16.12
13-Oct,14.19
14-Oct,16.6
15-Oct,10.78
16-Oct,7.4
17-Oct,10.02
18-Oct,10.62
19-Oct,8.98
20-Oct,10.64
21-Oct,13.1
22-Oct,19.66
23-Oct,13.22
24-Oct,5.98
25-Oct,7.38
26-Oct,3.74
27-Oct,4.5
28-Oct,7.54
29-Oct,6.86
30-Oct,3.12
31-Oct,7.01
1-Nov,3.38
2-Nov,2.15
3-Nov,9.26
4-Nov,13.11
5-Nov,13.31
6-Nov,13.32
7-Nov,13.37
8-Nov,17.21
9-Nov,18.48
10-Nov,18.17
11-Nov,4.94
12-Nov,5.21
13-Nov,2.83
14-Nov,4.19
15-Nov,7.99
16-Nov,5.65
17-Nov,2.45
18-Nov,3.71
19-Nov,10.76
20-Nov,13.31
21-Nov,7.07
22-Nov,3.59
23-Nov,3.24
24-Nov,5.98
25-Nov,9.84
26-Nov,5.46
27-Nov,3.51
28-Nov,1.68
29-Nov,3.18
30-Nov,-0.48
1-Dec,-3.22
2-Dec,-0.47
3-Dec,1.15
4-Dec,1.59
5-Dec,0.51
6-Dec,-0.82
7-Dec,0.65
8-Dec,0.49
9-Dec,4.75
10-Dec,5.61
11-Dec,8.23
12-Dec,6.31
13-Dec,0.3
14-Dec,-2.77
15-Dec,-2.58
16-Dec,-2.06
17-Dec,-1.74
18-Dec,-0.88
19-Dec,2.19
20-Dec,0.23
21-Dec,3
22-Dec,1.08
23-Dec,5.48
24-Dec,-7.22
25-Dec,-9.28
26-Dec,-3.65
