hybrid,season,plant_leave,spot,sub_spot,Zinc_ppm,Manganese_ppm,Boron_ppm
cv_1,2021,upper,A,1,1.4,44,0.8
cv_1,2021,middle,A,1,0.8,44,1.1
cv_1,2021,low,A,1,0.9,151,0.6
cv_1,2021,upper,A,2,1.4,31,0.8
cv_1,2021,middle,A,2,0.9,117,0.6
cv_1,2021,low,A,2,1.2,114,0.5
cv_1,2021,upper,A,3,1.4,41,0.6
cv_1,2021,middle,A,3,0.9,71,0.7
cv_1,2021,upper,A,4,1.1,44,0.4
cv_1,2021,middle,A,4,1.1,83,0.5
cv_1,2021,upper,A,5,1.6,34,0.5
cv_1,2021,middle,A,5,1.3,192,0.7
cv_1,2021,upper,A,6,1.5,32,0.7
cv_1,2021,middle,A,6,1,49,0.5
cv_1,2021,upper,A,7,2,22,0.8
cv_1,2021,middle,A,7,1,33,0.8
cv_1,2021,low,A,7,1.1,118,0.4
cv_1,2021,upper,A,8,2.1,131,0.9
cv_1,2021,upper,A,9,1.9,35,0.9
cv_1,2021,middle,A,9,1.2,240,0.8
cv_1,2021,low,A,9,1.5,47,0.5
cv_1,2021,upper,A,10,1.6,16,0.8
cv_1,2021,middle,A,10,1.6,17,0.6
cv_1,2021,low,A,10,2,20,0.6
cv_1,2021,upper,A,11,2.1,30,0.7
cv_1,2021,middle,A,11,1.3,6,1.1
cv_1,2021,low,A,11,1.3,68,0.5
cv_1,2021,upper,A,12,2.2,37,0.9
cv_1,2021,middle,A,12,1.3,17,1
cv_1,2021,low,A,12,1.1,56,0.6
cv_1,2021,upper,A,13,1.2,64,0.7
cv_1,2021,middle,A,13,0.7,76,0.7
cv_1,2021,low,A,13,1.1,128,0.6
cv_1,2021,upper,A,14,0.9,52,0.6
cv_1,2021,middle,A,14,0.7,72,0.4
cv_1,2021,low,A,14,0.9,71,0.5
cv_1,2021,upper,A,15,0.9,40,0.5
cv_1,2021,middle,A,15,0.6,37,0.4
cv_1,2021,low,A,15,1,160,0.4
cv_1,2021,upper,A,16,1.5,41,0.6
cv_1,2021,middle,A,16,1.1,32,0.7
cv_1,2021,upper,A,17,0.9,33,0.4
cv_1,2021,middle,A,17,0.8,13,0.3
cv_1,2021,low,A,17,0.8,70,0.3
cv_1,2021,upper,A,18,1,42,0.6
cv_1,2021,middle,A,18,0.7,13,0.4
cv_1,2021,low,A,18,0.9,79,0.3
cv_1,2021,upper,A,19,1.1,57,0.4
cv_1,2021,middle,A,19,1.1,46,0.4
cv_1,2021,upper,A,20,1.4,39,0.5
cv_1,2021,middle,A,20,1.5,42,0.4
cv_1,2021,upper,A,21,1.3,39,0.5
cv_1,2021,middle,A,21,0.9,24,0.4
cv_1,2021,upper,B,1,1.4,35,0.6
cv_1,2021,middle,B,1,0.7,59,0.5
cv_1,2021,low,B,1,0.8,103,0.6
cv_1,2021,upper,B,2,1.3,22,0.8
cv_1,2021,middle,B,2,0.8,41,0.7
cv_1,2021,low,B,2,1,85,0.4
cv_1,2021,upper,B,3,1,35,0.6
cv_1,2021,middle,B,3,0.7,28,0.3
cv_1,2021,low,B,3,1.1,106,0.3
cv_1,2021,upper,B,4,1,40,0.7
cv_1,2021,middle,B,4,0.7,15,0.3
cv_1,2021,low,B,4,1.4,98,0.5
cv_1,2021,upper,B,5,1.4,26,1
cv_1,2021,middle,B,5,0.9,49,0.7
cv_1,2021,low,B,5,1.1,130,0.4
cv_1,2021,upper,B,6,2,41,0.9
cv_1,2021,middle,B,6,0.8,28,0.9
cv_1,2021,low,B,6,1.1,58,0.4
cv_1,2021,upper,B,7,1.2,154,0.7
cv_1,2021,middle,B,7,1.1,125,0.4
cv_1,2021,low,B,7,1.2,155,0.3
cv_1,2021,upper,B,8,1.6,37,0.9
cv_1,2021,middle,B,8,0.9,65,0.7
cv_1,2021,low,B,8,1.3,134,0.4
cv_1,2021,upper,B,9,1,88,1
cv_1,2021,middle,B,9,1.1,170,0.4
cv_1,2021,upper,B,10,1.4,54,0.8
cv_1,2021,middle,B,10,1,72,0.7
cv_1,2021,low,B,10,1.3,98,0.4
cv_1,2021,upper,B,11,1.9,43,0.7
cv_1,2021,middle,B,11,1.1,170,0.6
cv_1,2021,low,B,11,1.6,373,0.4
cv_1,2021,upper,B,12,1.7,28,0.6
cv_1,2021,middle,B,12,1.1,51,0.6
cv_1,2021,low,B,12,1.9,73,0.4
cv_1,2021,upper,B,13,1.9,42,0.7
cv_1,2021,middle,B,13,1,58,0.6
cv_1,2021,low,B,13,1.3,153,0.4
cv_1,2021,upper,B,14,1.7,36,0.9
cv_1,2021,middle,B,14,1.4,128,0.6
cv_1,2021,upper,B,15,1.6,37,0.8
cv_1,2021,middle,B,15,0.8,67,0.5
cv_1,2021,low,B,15,1.1,151,0.4
cv_1,2021,upper,B,16,1.3,33,0.7
cv_1,2021,middle,B,16,0.9,27,0.7
cv_1,2021,low,B,16,1.1,57,0.4
cv_1,2021,upper,B,17,1.6,34,0.8
cv_1,2021,middle,B,17,0.8,28,0.4
cv_1,2021,low,B,17,1.1,63,0.5
cv_1,2021,upper,B,18,1,42,0.5
cv_1,2021,middle,B,18,0.6,44,0.6
cv_1,2021,low,B,18,0.9,101,0.4
cv_1,2021,upper,B,19,1.9,40,0.8
cv_1,2021,middle,B,19,0.9,28,0.9
cv_1,2021,low,B,19,1,68,0.5
cv_1,2021,upper,B,20,1,29,0.4
cv_1,2021,middle,B,20,0.7,8,0.3
cv_1,2021,low,B,20,0.8,69,0.3
cv_1,2021,upper,B,21,1,54,0.3
cv_1,2021,middle,B,21,0.6,20,0.1
cv_1,2021,low,B,21,0.7,41,0.2
cv_1,2021,upper,C,1,1.6,30,0.5
cv_1,2021,middle,C,1,0.6,27,0.5
cv_1,2021,low,C,1,0.8,108,0.4
cv_1,2021,upper,C,2,1.5,35,0.7
cv_1,2021,middle,C,2,0.7,33,0.5
cv_1,2021,low,C,2,0.9,105,0.4
cv_1,2021,upper,C,3,1.2,48,0.4
cv_1,2021,middle,C,3,0.7,17,0.3
cv_1,2021,low,C,3,1.7,124,0.3
cv_1,2021,upper,C,4,1.4,43,0.5
cv_1,2021,middle,C,4,0.7,10,0.3
cv_1,2021,low,C,4,0.9,85,0.3
cv_1,2021,upper,C,5,2,44,0.9
cv_1,2021,middle,C,5,0.8,33,1
cv_1,2021,low,C,5,1,129,0.5
cv_1,2021,upper,C,6,1.9,29,0.8
cv_1,2021,middle,C,6,1,14,0.7
cv_1,2021,low,C,6,1.1,97,0.5
cv_1,2021,upper,C,7,2.5,30,0.8
cv_1,2021,middle,C,7,2.1,21,1
cv_1,2021,low,C,7,1.4,7,0.5
cv_1,2021,upper,C,8,1.6,60,0.9
cv_1,2021,middle,C,8,0.8,60,0.7
cv_1,2021,low,C,8,1.1,66,0.4
cv_1,2021,upper,C,9,1.3,58,0.8
cv_1,2021,middle,C,9,0.7,39,0.7
cv_1,2021,low,C,9,0.7,31,0.5
cv_1,2021,upper,C,10,0.9,40,0.5
cv_1,2021,middle,C,10,0.7,61,0.4
cv_1,2021,low,C,10,0.8,114,0.5
cv_1,2021,upper,C,11,1.6,42,1
cv_1,2021,middle,C,11,0.7,43,0.7
cv_1,2021,low,C,11,1,47,0.5
cv_1,2021,upper,C,12,2.2,31,1.1
cv_1,2021,middle,C,12,1,59,0.7
cv_1,2021,low,C,12,1.1,231,0.6
cv_1,2021,upper,C,13,1.5,13,1.1
cv_1,2021,middle,C,13,1.2,69,0.6
cv_1,2021,low,C,13,1.3,50,0.4
cv_1,2021,upper,C,14,1.8,29,0.7
cv_1,2021,middle,C,14,1,14,0.8
cv_1,2021,low,C,14,1.1,48,0.5
cv_1,2021,upper,C,15,1.5,41,0.9
cv_1,2021,middle,C,15,1,161,0.9
cv_1,2021,low,C,15,1.3,217,0.7
cv_1,2021,upper,C,16,0.9,47,0.6
cv_1,2021,middle,C,16,0.6,31,0.3
cv_1,2021,low,C,16,1,143,0.5
cv_1,2021,upper,C,17,1.1,43,0.5
cv_1,2021,middle,C,17,0.7,47,0.4
cv_1,2021,low,C,17,0.9,105,0.6
cv_1,2021,upper,C,18,1.4,46,0.6
cv_1,2021,middle,C,18,0.7,15,0.7
cv_1,2021,low,C,18,0.7,47,0.4
cv_1,2021,upper,C,19,0.9,47,0.5
cv_1,2021,middle,C,19,0.8,165,0.5
cv_1,2021,upper,C,20,1.3,52,0.5
cv_1,2021,middle,C,20,0.7,17,0.3
cv_1,2021,low,C,20,1,103,0.3
cv_1,2021,upper,C,21,1.3,76,0.5
cv_1,2021,middle,C,21,1.2,92,0.4
cv_1,2021,upper,D,1,2.3,47,0.9
cv_1,2021,middle,D,1,1.1,35,0.7
cv_1,2021,upper,D,2,1.4,38,0.5
cv_1,2021,middle,D,2,1,39,0.4
cv_1,2021,low,D,2,1.3,69,0.3
cv_1,2021,upper,D,3,1,41,0.3
cv_1,2021,middle,D,3,0.9,70,0.3
cv_1,2021,low,D,3,1.2,214,0.4
cv_1,2021,upper,D,4,1.2,31,0.4
cv_1,2021,middle,D,4,1.4,34,0.5
cv_1,2021,upper,D,5,1.5,60,0.9
cv_1,2021,middle,D,5,1.1,49,0.7
cv_1,2021,low,D,5,1.2,16,0.3
cv_1,2021,upper,D,6,1.6,37,1
cv_1,2021,middle,D,6,1.6,155,0.6
cv_1,2021,low,D,6,1.6,211,0.3
cv_1,2021,upper,D,7,1.6,70,0.8
cv_1,2021,middle,D,7,1,225,0.6
cv_1,2021,low,D,7,1.4,117,0.4
cv_1,2021,upper,D,8,1.6,40,0.6
cv_1,2021,middle,D,8,1.3,17,0.8
cv_1,2021,upper,D,9,1.3,64,0.5
cv_1,2021,middle,D,9,1,16,0.4
cv_1,2021,upper,D,10,1.2,41,0.4
cv_1,2021,middle,D,10,0.9,4,0.3
cv_1,2021,low,D,10,1,64,0.3
