Genotype,Nitrogen_Level,Replicate,Yield
CV1,0,1,2.82
CV1,0,2,2.73
CV1,0,3,2.80
CV1,0,4,3.21
CV1,0,5,2.81
CV1,0,6,3.53
CV1,0,7,3.10
CV1,0,8,3.04
CV1,0,9,2.83
CV1,0,10,3.14
CV1,0,11,2.88
CV1,0,12,3.02
CV1,0,13,3.51
CV1,0,14,2.98
CV1,0,15,3.23
CV1,0,16,2.86
CV1,0,17,2.99
CV1,0,18,3.35
CV1,0,19,2.87
CV1,0,20,3.36
CV1,0,21,3.14
CV1,0,22,2.89
CV1,0,23,3.13
CV1,0,24,3.19
CV1,0,25,3.12
CV1,0,26,2.69
CV1,0,27,2.85
CV1,0,28,2.95
CV1,0,29,2.99
CV1,0,30,3.12
CV1,0,31,3.04
CV1,0,32,2.73
CV1,0,33,3.08
CV1,0,34,3.12
CV1,0,35,3.11
CV1,0,36,3.22
CV1,0,37,3.17
CV1,0,38,3.09
CV1,0,39,2.99
CV1,0,40,2.67
CV1,0,41,3.09
CV1,0,42,3.04
CV1,0,43,3.05
CV1,0,44,2.74
CV1,0,45,2.78
CV1,0,46,3.21
CV1,0,47,2.99
CV1,0,48,3.14
CV1,0,49,3.01
CV1,0,50,3.01
CV1,0,51,3.19
CV1,0,52,2.90
CV1,0,53,3.02
CV1,0,54,2.91
CV1,0,55,2.91
CV1,0,56,2.94
CV1,0,57,3.04
CV1,0,58,2.90
CV1,0,59,3.25
CV1,0,60,2.82
CV1,0,61,2.96
CV1,0,62,2.91
CV1,0,63,3.29
CV1,0,64,3.04
CV1,0,65,3.21
CV1,0,66,2.70
CV1,0,67,3.05
CV1,0,68,3.18
CV1,0,69,3.02
CV1,0,70,3.21
CV1,0,71,2.90
CV1,0,72,3.28
CV1,0,73,3.46
CV1,0,74,2.93
CV1,0,75,2.91
CV1,0,76,3.29
CV1,0,77,3.32
CV1,0,78,2.90
CV1,0,79,2.92
CV1,0,80,2.94
CV1,0,81,2.73
CV1,0,82,2.82
CV1,0,83,2.80
CV1,0,84,2.85
CV1,0,85,2.99
CV1,0,86,3.05
CV1,0,87,3.31
CV1,0,88,2.80
CV1,0,89,3.20
CV1,0,90,2.96
CV1,0,91,2.99
CV1,0,92,3.13
CV1,0,93,2.78
CV1,0,94,3.08
CV1,0,95,3.03
CV1,0,96,3.10
CV1,0,97,3.06
CV1,0,98,3.49
CV1,0,99,2.87
CV1,0,100,2.89
CV1,0,101,2.88
CV1,0,102,2.89
CV1,0,103,2.87
CV1,0,104,3.24
CV1,0,105,3.28
CV1,0,106,2.89
