season,sulphur,nitrogen,variety,reps,AGW,GN,GY
2018,S1,N1,CV1,1,297.5,3550,10439
2018,S1,N1,CV1,2,283.9,3408,9562
2018,S1,N1,CV1,3,270.8,3834,10264
2018,S1,N1,CV1,4,328.1,3408,11053
2018,S1,N1,CV1,5,298.1,3692,10878
2018,S1,N1,CV1,6,299.6,4118,12193
2018,S1,N1,CV1,7,330.4,2982,9737
2018,S1,N1,CV1,8,355.1,3124,10965
2018,S1,N1,CV1,9,275.9,4118,11228
2018,S1,N1,CV1,10,293.1,4118,11930
2018,S1,N1,CV1,1,267.2,3770,9958
2018,S1,N1,CV1,2,365.4,2958,10681
2018,S1,N1,CV1,3,265.1,3770,9878
2018,S1,N1,CV1,4,301.8,3526,10521
2018,S1,N1,CV1,5,296.2,3868,11324
2018,S1,N1,CV1,6,277.6,4420,12127
2018,S1,N1,CV1,7,361.1,3510,12528
2018,S1,N1,CV1,8,283.5,3640,10199
2018,S1,N1,CV1,9,302.0,3981,11886
2018,S1,N1,CV1,10,345.6,3315,11324
2018,S1,N1,CV1,1,303.6,5530,16593
2018,S1,N1,CV1,2,277.8,6044,16593
2018,S1,N1,CV1,3,283.0,5688,15910
2018,S1,N1,CV1,4,378.2,4701,17569
2018,S1,N1,CV1,5,276.3,6004,16398
2018,S1,N1,CV1,6,305.1,5372,16203
2018,S1,N1,CV1,7,291.7,6399,18448
2018,S1,N1,CV1,8,308.8,4701,14348
2018,S1,N1,CV1,9,265.6,5056,13275
2018,S1,N1,CV1,10,,5510,
2018,S1,N1,CV2,1,294.3,3168,9215
2018,S1,N1,CV2,2,296.3,3564,10438
2018,S1,N1,CV2,3,256.3,3960,10030
2018,S1,N1,CV2,4,296.7,3003,8807
2018,S1,N1,CV2,5,271.6,3828,10275
2018,S1,N1,CV2,6,295.7,3432,10030
2018,S1,N1,CV2,7,333.3,3119,10275
2018,S1,N1,CV2,8,304.7,3168,9541
2018,S1,N1,CV2,9,295.0,3300,9622
2018,S1,N1,CV2,10,292.6,2904,8399
2018,S1,N1,CV2,1,300.4,4617,13709
2018,S1,N1,CV2,2,277.3,4864,13334
2018,S1,N1,CV2,3,314.7,4408,13709
2018,S1,N1,CV2,4,294.4,4712,13709
2018,S1,N1,CV2,5,273.4,4864,13146
2018,S1,N1,CV2,6,268.8,4560,12113
2018,S1,N1,CV2,7,271.5,4864,13052
2018,S1,N1,CV2,8,265.9,4788,12583
2018,S1,N1,CV2,9,288.3,4712,13428
2018,S1,N1,CV2,10,318.9,3724,11738
2018,S1,N1,CV2,1,348.9,3185,10984
2018,S1,N1,CV2,2,320.2,3553,11243
2018,S1,N1,CV2,3,330.7,3360,10984
2018,S1,N1,CV2,4,310.3,3920,12022
2018,S1,N1,CV2,5,282.3,4340,12108
2018,S1,N1,CV2,6,269.1,5040,13405
2018,S1,N1,CV2,7,268.1,4340,11503
2018,S1,N1,CV2,8,297.9,4200,12368
2018,S1,N1,CV2,9,261.6,3780,9773
2018,S1,N1,CV2,10,267.6,4480,11849
2018,S1,N1,CV3,1,247.6,3796,9290
2018,S1,N1,CV3,2,257.2,3796,9651
2018,S1,N1,CV3,3,278.0,4234,11635
2018,S1,N1,CV3,4,276.8,4088,11184
2018,S1,N1,CV3,5,279.0,4088,11274
2018,S1,N1,CV3,6,246.0,4599,11184
2018,S1,N1,CV3,7,261.2,4471,11545
2018,S1,N1,CV3,8,248.9,4216,10372
2018,S1,N1,CV3,9,278.6,3833,10553
2018,S1,N1,CV3,10,286.5,3504,9921
2018,S1,N1,CV3,1,266.5,5032,13257
2018,S1,N1,CV3,2,241.1,5180,12343
2018,S1,N1,CV3,3,281.5,4403,12251
2018,S1,N1,CV3,4,266.5,5032,13257
2018,S1,N1,CV3,5,277.6,5032,13806
2018,S1,N1,CV3,6,258.1,4588,11703
2018,S1,N1,CV3,7,274.6,4884,13257
2018,S1,N1,CV3,8,248.0,4736,11611
2018,S1,N1,CV3,9,272.7,4884,13166
2018,S1,N1,CV3,10,267.9,4662,12343
2018,S1,N1,CV3,1,243.1,6300,15135
2018,S1,N1,CV3,2,298.9,4655,13751
2018,S1,N1,CV3,3,278.6,4900,13492
2018,S1,N1,CV3,4,296.9,5040,14789
2018,S1,N1,CV3,5,276.6,4778,13060
2018,S1,N1,CV3,6,258.2,5355,13665
2018,S1,N1,CV3,7,312.2,4288,13232
2018,S1,N1,CV3,8,273.0,5320,14357
2018,S1,N1,CV3,9,274.3,5040,13665
2018,S1,N1,CV3,10,278.7,5180,14270
2018,S1,N1,CV4,1,279.2,4560,12583
2018,S1,N1,CV4,2,283.7,4788,13428
2018,S1,N1,CV4,3,322.7,3857,12301
2018,S1,N1,CV4,4,316.8,3059,9578
2018,S1,N1,CV4,5,355.1,3344,11738
2018,S1,N1,CV4,6,309.7,3344,10235
2018,S1,N1,CV4,7,304.2,3591,10799
2018,S1,N1,CV4,8,321.4,3724,11831
2018,S1,N1,CV4,9,245.8,4560,11080
2018,S1,N1,CV4,10,299.5,3648,10799
2018,S1,N1,CV4,1,250.0,4092,10112
2018,S1,N1,CV4,2,279.0,3696,10193
2018,S1,N1,CV4,3,268.8,3960,10519
2018,S1,N1,CV4,4,276.2,4092,11172
2018,S1,N1,CV4,5,294.6,3696,10764
2018,S1,N1,CV4,6,281.3,4752,13210
2018,S1,N1,CV4,7,285.7,4043,11416
2018,S1,N1,CV4,8,285.7,3581,10112
2018,S1,N1,CV4,9,296.9,3696,10845
2018,S1,N1,CV4,10,312.5,4356,13455
2018,S1,N1,CV4,1,333.3,3933,12958
2018,S1,N1,CV4,2,343.1,3519,11935
2018,S1,N1,CV4,3,326.8,3933,12702
2018,S1,N1,CV4,4,323.4,4347,13896
2018,S1,N1,CV4,5,302.0,4226,12617
2018,S1,N1,CV4,6,330.4,3864,12617
2018,S1,N1,CV4,7,330.0,3502,11424
2018,S1,N1,CV4,8,329.5,3743,12191
2018,S1,N1,CV4,9,282.3,4002,11168
2018,S1,N1,CV4,10,296.9,3864,11338
2018,S1,N1,CV5,1,256.9,4050,10286
2018,S1,N1,CV5,2,268.1,4650,12324
2018,S1,N1,CV5,3,275.8,4725,12880
2018,S1,N1,CV5,4,237.8,4219,9915
2018,S1,N1,CV5,5,272.9,4500,12139
2018,S1,N1,CV5,6,289.4,4050,11583
2018,S1,N1,CV5,7,283.7,3900,10934
2018,S1,N1,CV5,8,263.9,4050,10564
2018,S1,N1,CV5,9,256.7,4894,12417
2018,S1,N1,CV5,10,248.1,4950,12139
2018,S1,N1,CV5,1,243.8,4680,11275
2018,S1,N1,CV5,2,266.8,4056,10697
2018,S1,N1,CV5,3,238.1,4095,9637
2018,S1,N1,CV5,4,254.8,4095,10312
2018,S1,N1,CV5,5,239.3,4563,10794
2018,S1,N1,CV5,6,231.9,4836,11083
2018,S1,N1,CV5,7,272.3,4368,11757
2018,S1,N1,CV5,8,276.5,4232,11565
2018,S1,N1,CV5,9,268.5,4212,11179
2018,S1,N1,CV5,10,288.1,4095,11661
2018,S1,N1,CV5,1,285.7,4312,12177
2018,S1,N1,CV5,2,264.7,5236,13700
2018,S1,N1,CV5,3,290.5,4043,11607
2018,S1,N1,CV5,4,265.6,4928,12938
2018,S1,N1,CV5,5,254.2,5717,14365
2018,S1,N1,CV5,6,265.2,5371,14080
2018,S1,N1,CV5,7,295.8,4620,13509
2018,S1,N1,CV5,8,257.1,5390,13700
2018,S1,N1,CV5,9,292.3,5236,15127
2018,S1,N1,CV5,10,283.1,5236,14651
2018,S1,N1,CV6,1,307.9,3942,11996
2018,S1,N1,CV6,2,284.2,4271,11996
2018,S1,N1,CV6,3,303.6,3577,10733
2018,S1,N1,CV6,4,309.8,3358,10282
2018,S1,N1,CV6,5,265.6,4088,10733
2018,S1,N1,CV6,6,283.2,4672,13078
2018,S1,N1,CV6,7,284.5,4234,11906
2018,S1,N1,CV6,8,237.0,4928,11545
2018,S1,N1,CV6,9,296.3,4435,12988
2018,S1,N1,CV6,10,282.1,4271,11906
2018,S1,N1,CV6,1,260.9,5272,13597
