Location,ID,OM,P,pH
Weat.Hill,Delta_1,4.400,30.000,6.000
Weat.Hill,Delta_2,4.200,16.000,6.100
Weat.Hill,Delta_3,3.600,11.000,6.200
Weat.Hill,Delta_4,3.600,12.000,5.400
Weat.Hill,Delta_5,4.700,15.000,6.300
Weat.Hill,Delta_6,4.500,33.000,6.500
Weat.Hill,Delta_7,3.700,11.000,6.700
East.Plain,Delta_1,3.600,11.000,6.600
East.Plain,Delta_2,2.800,6.000,7.100
East.Plain,Delta_3,4.000,11.000,6.400
East.Plain,Delta_4,5.800,29.000,7.000
East.Plain,Delta_5,4.300,14.000,6.200
East.Plain,Delta_6,4.200,14.000,5.800
East.Plain,Delta_7,4.600,16.000,6.200
North.Rainshelter,Delta_1,4.500,19.000,6.700
North.Rainshelter,Delta_2,4.600,35.000,5.600
North.Rainshelter,Delta_3,3.800,27.000,6.200
North.Rainshelter,Delta_4,4.100,19.000,6.000
North.Rainshelter,Delta_5,3.500,26.000,5.800
North.Rainshelter,Delta_6,4.100,19.000,6.000
North.Rainshelter,Delta_7,3.600,15.000,5.900
