genotype,height,spike_weight,disease_spot,heat_tolerance,region,yield
CV1,86.5,27.90,0,yes,Mid_East,16861.424
CV2,85.5,33.77,1,no,Test_field,1702.0523
CV2,95.5,33.00,3,no,Test_field,4425.962
CV2,100.5,22.71,0,no,North,21960.97061
CV2,99.5,28.88,0,no,North,3843.3552
CV1,98.5,25.74,0,no,Test_field,3733.1216
CV1,113.5,33.44,1,no,Test_field,8217.0896
CV1,104.5,27.74,3,no,North,7258.0056
CV2,104.5,29.83,2,no,Mid_West,6382.9107
CV1,127.5,25.84,0,no,North,28899.63692
CV2,92.5,26.22,0,no,Mid_West,2697.8208
CV1,129.5,26.29,0,yes,Test_field,27785.2251
CV2,90.5,34.40,0,no,Mid_East,1803.343
CV1,123.5,39.82,0,no,Test_field,11067.2178
CV2,94.5,,0,yes,Test_field,39588.2577
CV2,86.5,24.60,1,no,Mid_East,1813.737
CV1,119.5,30.78,1,no,Mid_West,10773.8362
CV2,90.5,23.85,0,no,Mid_West,2371.67155
CV2,123.5,40.30,0,no,Mid_East,10578.885
CV2,97.5,35.30,0,yes,Mid_East,36813.967
CV1,127.5,36.01,0,no,Mid_West,13205.34695
CV1,97.5,32.40,1,no,Mid_East,4126.236
CV2,85.5,34.10,0,no,Test_field,1113.511
CV1,101.5,31.92,1,yes,Mid_West,37678.3768
CV2,104.5,28.03,2,no,North,6180.40175
CV1,126.5,27.72,3,no,Test_field,13977.6338
CV1,130.5,23.09,0,no,Mid_West,14428.33515
CV1,122.5,32.78,2,no,North,12245.13225
CV2,90.5,17.39,1,no,North,2751.69215
CV2,98.5,36.30,2,yes,Mid_East,38687.5
CV2,89.5,35.60,0,yes,Mid_East,35562.076
CV1,85.5,26.32,0,no,Mid_West,2174.68985
CV1,86.5,28.60,5,no,Mid_East,4664.297
CV2,130.5,28.31,0,no,North,13746.5979
CV2,95.5,36.40,1,yes,Mid_East,51171.05914
CV2,86.5,20.43,0,no,North,1601.93375
CV1,129.5,32.97,3,no,North,15588.69335
CV2,93.5,20.80,0,no,Mid_East,2278.8
CV2,102.5,36.67,1,yes,Mid_West,39750.7763
CV2,127.5,39.90,0,yes,Mid_East,48149.861
CV1,91.5,26.60,0,no,Mid_West,3022.562
CV1,98.5,36.63,2,no,Test_field,4926.2587
CV2,108.5,21.78,1,no,Test_field,6248.9772
CV1,104.5,30.80,2,no,Test_field,6290.259
CV2,105.5,37.05,1,no,Mid_West,6056.1715
CV2,122.5,37.30,0,no,Mid_East,20606.78351
CV1,85.5,38.67,2,no,Mid_West,3369.85635
CV1,95.5,34.77,0,no,North,3533.4223
CV1,127.5,24.53,0,no,Test_field,12606.3967
CV2,103.5,35.20,1,yes,Test_field,38685.676
CV1,85.5,35.63,0,no,Mid_West,2187.63075
CV1,88.5,33.63,2,no,North,3556.3287
CV2,115.5,28.00,1,yes,Mid_East,23544.772
CV2,103.5,34.43,0,yes,Test_field,37719.0757
CV1,107.5,28.69,3,no,North,8036.1791
CV2,125.5,36.96,2,yes,North,47472.99445
CV1,125.5,31.83,2,no,Mid_West,13583.86875
CV2,85.5,31.68,2,yes,Test_field,34279.6672
CV1,120.5,22.88,1,yes,Test_field,23221.2902
CV1,101.5,37.34,2,no,North,5966.02365
CV2,110.5,27.36,3,no,Mid_West,8582.7174
CV2,92.5,33.66,4,no,Test_field,4481.1624
CV2,131.5,24.70,1,no,North,30143.11817
CV1,95.5,25.94,1,no,North,4110.14165
CV1,87.5,22.42,0,yes,North,14688.2438
CV1,86.5,28.90,0,no,Mid_East,1719.714
CV1,128.5,39.10,2,no,Mid_East,14211.572
CV2,107.5,26.32,1,no,North,6365.87785
CV1,107.5,36.19,0,no,Test_field,5896.6041
CV2,95.5,23.98,3,yes,Test_field,17639.6442
CV1,94.5,24.75,0,yes,Test_field,16554.2795
