tissue,row,plot,treatment,yield,responsiveness
Head,outside,5,Control,159.30,
Head,outside,5,Tr1,59.70,-62.5%
Head,outside,5,Tr2,97.50,-38.8%
Stem,outside,5,Control,74.65,
Stem,outside,5,Tr1,34.05,-54.4%
Stem,outside,5,Tr2,76.65,2.7%
Head,outside,6,Control,99.30,
Head,outside,6,Tr1,109.00,9.8%
Head,outside,6,Tr2,82.30,-17.1%
Stem,outside,6,Control,53.95,
Stem,outside,6,Tr1,52.95,-1.9%
Stem,outside,6,Tr2,65.45,21.3%
Head,outside,7,Control,119.40,
Head,outside,7,Tr1,90.30,-24.4%
Head,outside,7,Tr2,95.60,-19.9%
Stem,outside,7,Control,61.65,
Stem,outside,7,Tr1,48.65,-21.1%
Stem,outside,7,Tr2,83.15,34.9%
Head,outside,8,Control,94.20,
Head,outside,8,Tr1,291.60,209.6%
Head,outside,8,Tr2,111.90,18.8%
Stem,outside,8,Control,77.55,
Stem,outside,8,Tr1,151.45,95.3%
Stem,outside,8,Tr2,91.15,17.5%
Head,east,1,Control,52.50,
Head,east,1,Tr1,36.80,-29.9%
Head,east,1,Tr2,25.20,-52.0%
Stem,east,1,Control,35.25,
Stem,east,1,Tr1,27.85,-21.0%
Stem,east,1,Tr2,35.75,1.4%
Head,east,1,Control,73.40,
Head,east,1,Tr1,42.50,-42.1%
Head,east,1,Tr2,38.90,-47.0%
Stem,east,1,Control,48.55,
Stem,east,1,Tr1,30.45,-37.3%
Stem,east,1,Tr2,53.45,10.1%
Head,middle,1,Control,71.80,
Head,middle,1,Tr1,69.60,-3.1%
Head,middle,1,Tr2,48.10,-33.0%
Stem,middle,1,Control,51.95,
Stem,middle,1,Tr1,44.45,-14.4%
Stem,middle,1,Tr2,64.55,24.3%
Head,west,1,Control,98.10,
Head,west,1,Tr1,90.00,-8.3%
Head,west,1,Tr2,48.00,-51.1%
Stem,west,1,Control,65.75,
Stem,west,1,Tr1,54.05,-17.8%
Stem,west,1,Tr2,68.05,3.5%
Head,west,1,Control,66.70,
Head,west,1,Tr1,54.20,-18.7%
Head,west,1,Tr2,42.30,-36.6%
Stem,west,1,Control,46.55,
Stem,west,1,Tr1,36.25,-22.1%
Stem,west,1,Tr2,51.15,9.9%
Head,east,2,Control,87.40,
Head,east,2,Tr1,77.00,-11.9%
Head,east,2,Tr2,48.60,-44.4%
Stem,east,2,Control,59.75,
Stem,east,2,Tr1,44.95,-24.8%
Stem,east,2,Tr2,58.05,-2.8%
Head,east,2,Control,51.40,
Head,east,2,Tr1,48.60,-5.4%
Head,east,2,Tr2,37.40,-27.2%
Stem,east,2,Control,42.25,
Stem,east,2,Tr1,44.15,4.5%
Stem,east,2,Tr2,40.15,-5.0%
Head,middle,2,Control,71.40,
Head,middle,2,Tr1,50.80,-28.9%
Head,middle,2,Tr2,7.40,-89.6%
Stem,middle,2,Control,49.05,
Stem,middle,2,Tr1,31.15,-36.5%
Stem,middle,2,Tr2,86.65,76.7%
Head,west,2,Control,68.80,
Head,west,2,Tr1,92.00,33.7%
Head,west,2,Tr2,53.70,-21.9%
Stem,west,2,Control,59.35,
Stem,west,2,Tr1,54.55,-8.1%
Stem,west,2,Tr2,65.35,10.1%
Head,west,2,Control,63.00,
Head,west,2,Tr1,38.90,-38.3%
Head,west,2,Tr2,37.50,-40.5%
Stem,west,2,Control,46.35,
Stem,west,2,Tr1,31.75,-31.5%
Stem,west,2,Tr2,50.15,8.2%
Head,east,3,Control,80.00,
Head,east,3,Tr1,58.60,-26.8%
Head,east,3,Tr2,60.00,-25.0%
Stem,east,3,Control,50.65,
Stem,east,3,Tr1,35.05,-30.8%
Stem,east,3,Tr2,70.95,40.1%
Head,east,3,Control,77.80,
Head,east,3,Tr1,50.40,-35.2%
Head,east,3,Tr2,30.60,-60.7%
Stem,east,3,Control,51.55,
Stem,east,3,Tr1,28.25,-45.2%
Stem,east,3,Tr2,37.15,-27.9%
Head,middle,3,Control,53.20,
Head,middle,3,Tr1,61.90,16.4%
Head,middle,3,Tr2,45.10,-15.2%
Stem,middle,3,Control,32.45,
Stem,middle,3,Tr1,34.75,7.1%
Stem,middle,3,Tr2,53.45,64.7%
Head,west,3,Control,69.30,
Head,west,3,Tr1,49.20,-29.0%
Head,west,3,Tr2,39.40,-43.1%
Stem,west,3,Control,50.15,
Stem,west,3,Tr1,31.15,-37.9%
Stem,west,3,Tr2,50.75,1.2%
Head,west,3,Control,74.90,
Head,west,3,Tr1,46.30,-38.2%
Head,west,3,Tr2,46.50,-37.9%
Stem,west,3,Control,44.95,
Stem,west,3,Tr1,28.95,-35.6%
Stem,west,3,Tr2,49.65,10.5%
Head,east,4,Control,70.00,
Head,east,4,Tr1,56.60,-19.1%
Head,east,4,Tr2,56.50,-19.3%
Stem,east,4,Control,46.65,
Stem,east,4,Tr1,36.45,-21.9%
Stem,east,4,Tr2,58.45,25.3%
Head,east,4,Control,81.90,
Head,east,4,Tr1,51.40,-37.2%
Head,east,4,Tr2,64.20,-21.6%
Stem,east,4,Control,53.75,
Stem,east,4,Tr1,34.35,-36.1%
Stem,east,4,Tr2,77.55,44.3%
Head,middle,4,Control,55.20,
Head,middle,4,Tr1,49.00,-11.2%
Head,middle,4,Tr2,48.30,-12.5%
Stem,middle,4,Control,32.05,
Stem,middle,4,Tr1,35.15,9.7%
Stem,middle,4,Tr2,49.85,55.5%
Head,west,4,Control,75.60,
Head,west,4,Tr1,66.70,-11.8%
Head,west,4,Tr2,73.20,-3.2%
Stem,west,4,Control,44.15,
Stem,west,4,Tr1,36.85,-16.5%
Stem,west,4,Tr2,61.05,38.3%
Head,west,4,Control,74.60,
Head,west,4,Tr1,50.00,-33.0%
Head,west,4,Tr2,40.20,-46.1%
Stem,west,4,Control,47.75,
Stem,west,4,Tr1,31.65,-33.7%
Stem,west,4,Tr2,45.65,-4.4%
