treatment,date,solar_radiation
tr_1,8/1/2015 0:30,0.00
tr_1,8/1/2015 1:30,0.00
tr_1,8/1/2015 2:30,#DIV/0!
tr_1,8/1/2015 3:30,0.00
tr_1,8/1/2015 4:30,0.00
tr_1,8/1/2015 5:30,0.00
tr_1,8/1/2015 6:30,15.54
tr_1,8/1/2015 7:30,101.83
tr_1,8/1/2015 8:30,365.29
tr_1,8/1/2015 9:30,785.73
tr_1,8/1/2015 10:30,1179.44
tr_1,8/1/2015 11:30,1521.35
tr_1,8/1/2015 12:30,1626.78
tr_1,8/1/2015 13:30,169.77
tr_1,8/1/2015 14:30,160.70
tr_1,8/1/2015 15:30,221.30
tr_1,8/1/2015 16:30,123.03
tr_1,8/1/2015 17:30,#DIV/0!
tr_1,8/1/2015 18:30,78.26
tr_1,8/1/2015 19:30,96.47
tr_1,8/1/2015 20:30,0.00
tr_1,8/1/2015 21:30,#DIV/0!
tr_1,8/1/2015 22:30,0.00
tr_1,8/1/2015 23:30,0.00
tr_1,8/2/2015 0:30,0.00
tr_1,8/2/2015 1:30,0.00
tr_1,8/2/2015 2:30,0.00
tr_1,8/2/2015 3:30,0.00
tr_1,8/2/2015 4:30,0.00
tr_1,8/2/2015 5:30,0.00
tr_1,8/2/2015 6:30,9.06
tr_1,8/2/2015 7:30,30.59
tr_1,8/2/2015 8:30,48.15
tr_1,8/2/2015 9:30,40.16
tr_1,8/2/2015 10:30,44.93
tr_1,8/2/2015 11:30,49.92
tr_1,8/2/2015 12:30,538.74
tr_1,8/2/2015 13:30,571.05
tr_1,8/2/2015 14:30,548.25
tr_1,8/2/2015 15:30,424.22
tr_1,8/2/2015 16:30,352.46
tr_1,8/2/2015 17:30,676.09
tr_1,8/2/2015 18:30,99.22
tr_1,8/2/2015 19:30,81.95
tr_1,8/2/2015 20:30,0.00
tr_1,8/2/2015 21:30,0.00
tr_1,8/2/2015 22:30,0.00
tr_1,8/2/2015 23:30,0.00
tr_1,8/3/2015 0:30,0.00
tr_1,8/3/2015 1:30,0.00
tr_1,8/3/2015 2:30,0.00
tr_1,8/3/2015 3:30,0.00
tr_1,8/3/2015 4:30,0.00
tr_1,8/3/2015 5:30,0.00
tr_1,8/3/2015 6:30,49.19
tr_1,8/3/2015 7:30,#DIV/0!
tr_1,8/3/2015 8:30,172.68
tr_1,8/3/2015 9:30,1056.40
tr_1,8/3/2015 10:30,1075.99
tr_1,8/3/2015 11:30,1167.91
tr_1,8/3/2015 12:30,1575.98
tr_1,8/3/2015 13:30,267.52
tr_1,8/3/2015 14:30,368.35
tr_1,8/3/2015 15:30,253.96
tr_1,8/3/2015 16:30,33.11
tr_1,8/3/2015 17:30,20.13
tr_1,8/3/2015 18:30,33.13
tr_1,8/3/2015 19:30,11.58
tr_1,8/3/2015 20:30,0.00
tr_1,8/3/2015 21:30,0.00
tr_1,8/3/2015 22:30,0.00
tr_1,8/3/2015 23:30,0.00
tr_1,8/4/2015 0:30,0.00
tr_1,8/4/2015 1:30,0.00
tr_1,8/4/2015 2:30,0.00
tr_1,8/4/2015 3:30,0.00
tr_1,8/4/2015 4:30,0.00
tr_1,8/4/2015 5:30,0.00
tr_1,8/4/2015 6:30,24.59
tr_1,8/4/2015 7:30,175.49
tr_1,8/4/2015 8:30,288.91
tr_1,8/4/2015 9:30,724.15
tr_1,8/4/2015 10:30,701.58
tr_1,8/4/2015 11:30,359.57
tr_1,8/4/2015 12:30,427.22
tr_1,8/4/2015 13:30,306.10
tr_1,8/4/2015 14:30,327.45
tr_1,8/4/2015 15:30,293.95
tr_1,8/4/2015 16:30,193.89
tr_1,8/4/2015 17:30,602.73
tr_1,8/4/2015 18:30,124.15
tr_1,8/4/2015 19:30,62.74
tr_1,8/4/2015 20:30,0.00
tr_1,8/4/2015 21:30,0.00
tr_1,8/4/2015 22:30,0.00
tr_1,8/4/2015 23:30,0.00
tr_1,8/5/2015 0:30,0.00
tr_1,8/5/2015 1:30,0.00
tr_1,8/5/2015 2:30,0.00
tr_1,8/5/2015 3:30,0.00
tr_1,8/5/2015 4:30,0.00
tr_1,8/5/2015 5:30,0.00
tr_1,8/5/2015 6:30,78.65
tr_1,8/5/2015 7:30,114.35
tr_1,8/5/2015 8:30,187.63
tr_1,8/5/2015 9:30,1045.04
tr_1,8/5/2015 10:30,#DIV/0!
tr_1,8/5/2015 11:30,1416.43
tr_1,8/5/2015 12:30,1458.34
tr_1,8/5/2015 13:30,178.77
tr_1,8/5/2015 14:30,201.24
tr_1,8/5/2015 15:30,156.63
tr_1,8/5/2015 16:30,186.76
tr_1,8/5/2015 17:30,672.26
tr_1,8/5/2015 18:30,93.58
tr_1,8/5/2015 19:30,72.79
tr_1,8/5/2015 20:30,0.00
tr_1,8/5/2015 21:30,0.00
tr_1,8/5/2015 22:30,0.00
tr_1,8/5/2015 23:30,0.00
tr_1,8/6/2015 0:30,0.00
tr_1,8/6/2015 1:30,0.00
tr_1,8/6/2015 2:30,0.00
tr_1,8/6/2015 3:30,0.00
tr_1,8/6/2015 4:30,0.00
tr_1,8/6/2015 5:30,0.00
tr_1,8/6/2015 6:30,77.13
tr_1,8/6/2015 7:30,105.77
tr_1,8/6/2015 8:30,176.00
tr_1,8/6/2015 9:30,1056.49
tr_1,8/6/2015 10:30,1315.75
tr_1,8/6/2015 11:30,1502.36
tr_1,8/6/2015 12:30,1608.32
tr_1,8/6/2015 13:30,176.20
tr_1,8/6/2015 14:30,229.17
tr_1,8/6/2015 15:30,267.02
tr_1,8/6/2015 16:30,138.27
tr_1,8/6/2015 17:30,#DIV/0!
tr_1,8/6/2015 18:30,88.82
tr_1,8/6/2015 19:30,73.51
tr_1,8/6/2015 20:30,0.00
tr_1,8/6/2015 21:30,0.00
tr_1,8/6/2015 22:30,0.00
tr_1,8/6/2015 23:30,0.00
tr_1,8/7/2015 0:30,0.00
tr_1,8/7/2015 1:30,#DIV/0!
tr_1,8/7/2015 2:30,0.00
tr_1,8/7/2015 3:30,0.00
tr_1,8/7/2015 4:30,0.00
tr_1,8/7/2015 5:30,0.00
tr_1,8/7/2015 6:30,47.22
tr_1,8/7/2015 7:30,152.04
tr_1,8/7/2015 8:30,194.27
tr_1,8/7/2015 9:30,983.59
tr_1,8/7/2015 10:30,1052.32
tr_1,8/7/2015 11:30,1192.91
tr_1,8/7/2015 12:30,1208.39
tr_1,8/7/2015 13:30,420.57
tr_1,8/7/2015 14:30,436.52
tr_1,8/7/2015 15:30,399.15
tr_1,8/7/2015 16:30,327.29
tr_1,8/7/2015 17:30,450.20
tr_1,8/7/2015 18:30,153.25
tr_1,8/7/2015 19:30,38.73
tr_1,8/7/2015 20:30,0.00
tr_1,8/7/2015 21:30,0.00
tr_1,8/7/2015 22:30,0.00
tr_1,8/7/2015 23:30,0.00
tr_1,8/8/2015 0:30,0.00
tr_1,8/8/2015 1:30,0.00
tr_1,8/8/2015 2:30,0.00
tr_1,8/8/2015 3:30,0.00
tr_1,8/8/2015 4:30,0.00
tr_1,8/8/2015 5:30,0.00
tr_1,8/8/2015 6:30,15.52
tr_1,8/8/2015 7:30,50.54
tr_1,8/8/2015 8:30,#DIV/0!
tr_1,8/8/2015 9:30,418.75
tr_1,8/8/2015 10:30,432.55
tr_1,8/8/2015 11:30,177.45
tr_1,8/8/2015 12:30,256.81
tr_1,8/8/2015 13:30,394.85
tr_1,8/8/2015 14:30,441.43
tr_1,8/8/2015 15:30,417.17
tr_1,8/8/2015 16:30,#DIV/0!
tr_1,8/8/2015 17:30,518.61
tr_1,8/8/2015 18:30,137.45
tr_1,8/8/2015 19:30,29.86
tr_1,8/8/2015 20:30,0.00
tr_1,8/8/2015 21:30,0.00
tr_1,8/8/2015 22:30,0.00
tr_1,8/8/2015 23:30,0.00
tr_1,8/9/2015 0:30,0.00
tr_1,8/9/2015 1:30,0.00
tr_1,8/9/2015 2:30,0.00
tr_1,8/9/2015 3:30,0.00
tr_1,8/9/2015 4:30,0.00
tr_1,8/9/2015 5:30,0.00
tr_1,8/9/2015 6:30,10.35
tr_1,8/9/2015 7:30,25.88
tr_1,8/9/2015 8:30,59.77
tr_1,8/9/2015 9:30,94.82
tr_1,8/9/2015 10:30,394.67
tr_1,8/9/2015 11:30,707.93
tr_1,8/9/2015 12:30,535.04
tr_1,8/9/2015 13:30,201.92
tr_1,8/9/2015 14:30,189.46
tr_1,8/9/2015 15:30,235.17
tr_1,8/9/2015 16:30,128.74
tr_1,8/9/2015 17:30,399.59
tr_1,8/9/2015 18:30,110.44
tr_1,8/9/2015 19:30,38.28
tr_1,8/9/2015 20:30,0.00
tr_1,8/9/2015 21:30,0.00
tr_1,8/9/2015 22:30,0.00
tr_1,8/9/2015 23:30,#DIV/0!
tr_1,8/10/2015 0:30,0.00
tr_1,8/10/2015 1:30,0.00
tr_1,8/10/2015 2:30,0.00
tr_1,8/10/2015 3:30,#DIV/0!
tr_1,8/10/2015 4:30,0.00
tr_1,8/10/2015 5:30,0.00
tr_1,8/10/2015 6:30,82.59
tr_1,8/10/2015 7:30,78.79
tr_1,8/10/2015 8:30,122.87
tr_1,8/10/2015 9:30,1149.00
tr_1,8/10/2015 10:30,1429.84
