treatment,date,solar_radiation
tr_1,2022-08-01 00:30:00,0
tr_1,2022-08-01 01:30:00,0
tr_1,2022-08-01 02:30:00,0
tr_1,2022-08-01 03:30:00,0
tr_1,2022-08-01 04:30:00,0
tr_1,2022-08-01 05:30:00,0
tr_1,2022-08-01 06:30:00,15.538432
tr_1,2022-08-01 07:30:00,101.831488
tr_1,2022-08-01 08:30:00,365.29152
tr_1,2022-08-01 09:30:00,785.727104
tr_1,2022-08-01 10:30:00,1179.443312
tr_1,2022-08-01 11:30:00,1521.351008
tr_1,2022-08-01 12:30:00,1626.784296
tr_1,2022-08-01 13:30:00,169.77312
tr_1,2022-08-01 14:30:00,160.702288
tr_1,2022-08-01 15:30:00,221.30416
tr_1,2022-08-01 16:30:00,123.029944
tr_1,2022-08-01 17:30:00,723.71708
tr_1,2022-08-01 18:30:00,78.259984
tr_1,2022-08-01 19:30:00,96.47304
tr_1,2022-08-01 20:30:00,
tr_1,2022-08-01 21:30:00,0
tr_1,2022-08-01 22:30:00,0
tr_1,2022-08-01 23:30:00,0
tr_1,2022-08-02 00:30:00,0
tr_1,2022-08-02 01:30:00,
tr_1,2022-08-02 02:30:00,0
tr_1,2022-08-02 03:30:00,0
tr_1,2022-08-02 04:30:00,0
tr_1,2022-08-02 05:30:00,0
tr_1,2022-08-02 06:30:00,9.062184
tr_1,2022-08-02 07:30:00,30.590368
tr_1,2022-08-02 08:30:00,48.152064
tr_1,2022-08-02 09:30:00,40.156712
tr_1,2022-08-02 10:30:00,44.931328
tr_1,2022-08-02 11:30:00,
tr_1,2022-08-02 12:30:00,538.738384
tr_1,2022-08-02 13:30:00,571.053752
tr_1,2022-08-02 14:30:00,548.251368
tr_1,2022-08-02 15:30:00,424.221752
tr_1,2022-08-02 16:30:00,352.459728
tr_1,2022-08-02 17:30:00,676.085552
tr_1,2022-08-02 18:30:00,99.21556
tr_1,2022-08-02 19:30:00,81.953232
tr_1,2022-08-02 20:30:00,0
tr_1,2022-08-02 21:30:00,0
tr_1,2022-08-02 22:30:00,0
tr_1,2022-08-02 23:30:00,0
tr_1,2022-08-03 00:30:00,0
tr_1,2022-08-03 01:30:00,0
tr_1,2022-08-03 02:30:00,0
tr_1,2022-08-03 03:30:00,0
tr_1,2022-08-03 04:30:00,0
tr_1,2022-08-03 05:30:00,0
tr_1,2022-08-03 06:30:00,49.185224
tr_1,2022-08-03 07:30:00,142.768912
tr_1,2022-08-03 08:30:00,172.683264
tr_1,2022-08-03 09:30:00,1056.39552
tr_1,2022-08-03 10:30:00,1075.987288
tr_1,2022-08-03 11:30:00,
tr_1,2022-08-03 12:30:00,1575.981528
tr_1,2022-08-03 13:30:00,267.519992
tr_1,2022-08-03 14:30:00,368.351256
tr_1,2022-08-03 15:30:00,253.955696
tr_1,2022-08-03 16:30:00,33.110432
tr_1,2022-08-03 17:30:00,20.133832
tr_1,2022-08-03 18:30:00,33.129016
tr_1,2022-08-03 19:30:00,11.578384
tr_1,2022-08-03 20:30:00,0
tr_1,2022-08-03 21:30:00,0
tr_1,2022-08-03 22:30:00,0
tr_1,2022-08-03 23:30:00,0
tr_1,2022-08-04 00:30:00,0
tr_1,2022-08-04 01:30:00,0
tr_1,2022-08-04 02:30:00,0
tr_1,2022-08-04 03:30:00,0
tr_1,2022-08-04 04:30:00,0
tr_1,2022-08-04 05:30:00,0
tr_1,2022-08-04 06:30:00,24.588472
tr_1,2022-08-04 07:30:00,175.494968
tr_1,2022-08-04 08:30:00,
tr_1,2022-08-04 09:30:00,724.147272
tr_1,2022-08-04 10:30:00,701.581144
tr_1,2022-08-04 11:30:00,359.565624
tr_1,2022-08-04 12:30:00,427.223896
tr_1,2022-08-04 13:30:00,306.103872
tr_1,2022-08-04 14:30:00,327.448976
tr_1,2022-08-04 15:30:00,293.945152
tr_1,2022-08-04 16:30:00,193.894416
tr_1,2022-08-04 17:30:00,602.7288
tr_1,2022-08-04 18:30:00,124.145536
tr_1,2022-08-04 19:30:00,62.739768
tr_1,2022-08-04 20:30:00,0
tr_1,2022-08-04 21:30:00,0
tr_1,2022-08-04 22:30:00,0
tr_1,2022-08-04 23:30:00,0
tr_1,2022-08-05 00:30:00,0
tr_1,2022-08-05 01:30:00,0
tr_1,2022-08-05 02:30:00,0
tr_1,2022-08-05 03:30:00,
tr_1,2022-08-05 04:30:00,0
tr_1,2022-08-05 05:30:00,0
tr_1,2022-08-05 06:30:00,78.645648
tr_1,2022-08-05 07:30:00,114.349192
tr_1,2022-08-05 08:30:00,187.627008
tr_1,2022-08-05 09:30:00,1045.044928
tr_1,2022-08-05 10:30:00,1308.519496
tr_1,2022-08-05 11:30:00,1416.42832
tr_1,2022-08-05 12:30:00,1458.344992
tr_1,2022-08-05 13:30:00,178.774584
tr_1,2022-08-05 14:30:00,201.236752
tr_1,2022-08-05 15:30:00,156.63
tr_1,2022-08-05 16:30:00,186.763128
tr_1,2022-08-05 17:30:00,672.260008
tr_1,2022-08-05 18:30:00,93.583872
tr_1,2022-08-05 19:30:00,72.794632
tr_1,2022-08-05 20:30:00,0
tr_1,2022-08-05 21:30:00,
tr_1,2022-08-05 22:30:00,0
tr_1,2022-08-05 23:30:00,0
tr_1,2022-08-06 00:30:00,0
tr_1,2022-08-06 01:30:00,0
tr_1,2022-08-06 02:30:00,0
tr_1,2022-08-06 03:30:00,0
tr_1,2022-08-06 04:30:00,0
tr_1,2022-08-06 05:30:00,0
tr_1,2022-08-06 06:30:00,77.125808
tr_1,2022-08-06 07:30:00,105.771664
tr_1,2022-08-06 08:30:00,176.004096
tr_1,2022-08-06 09:30:00,1056.490464
tr_1,2022-08-06 10:30:00,1315.74996
tr_1,2022-08-06 11:30:00,1502.358344
tr_1,2022-08-06 12:30:00,1608.323576
tr_1,2022-08-06 13:30:00,176.20208
tr_1,2022-08-06 14:30:00,
tr_1,2022-08-06 15:30:00,267.016016
tr_1,2022-08-06 16:30:00,138.271216
tr_1,2022-08-06 17:30:00,680.694936
tr_1,2022-08-06 18:30:00,88.820112
tr_1,2022-08-06 19:30:00,73.510208
tr_1,2022-08-06 20:30:00,0
tr_1,2022-08-06 21:30:00,0
tr_1,2022-08-06 22:30:00,0
tr_1,2022-08-06 23:30:00,0
tr_1,2022-08-07 00:30:00,0
tr_1,2022-08-07 01:30:00,0
tr_1,2022-08-07 02:30:00,0
tr_1,2022-08-07 03:30:00,0
tr_1,2022-08-07 04:30:00,0
tr_1,2022-08-07 05:30:00,0
tr_1,2022-08-07 06:30:00,47.220656
tr_1,2022-08-07 07:30:00,152.038648
tr_1,2022-08-07 08:30:00,194.268672
tr_1,2022-08-07 09:30:00,
tr_1,2022-08-07 10:30:00,1052.318632
tr_1,2022-08-07 11:30:00,1192.911192
tr_1,2022-08-07 12:30:00,1208.385224
tr_1,2022-08-07 13:30:00,420.569352
tr_1,2022-08-07 14:30:00,436.519208
tr_1,2022-08-07 15:30:00,#DIV/0!
tr_1,2022-08-07 16:30:00,327.293496
tr_1,2022-08-07 17:30:00,450.203472
tr_1,2022-08-07 18:30:00,153.251208
tr_1,2022-08-07 19:30:00,38.731264
tr_1,2022-08-07 20:30:00,0
tr_1,2022-08-07 21:30:00,0
tr_1,2022-08-07 22:30:00,0
tr_1,2022-08-07 23:30:00,0
tr_1,2022-08-08 00:30:00,0
tr_1,2022-08-08 01:30:00,0
tr_1,2022-08-08 02:30:00,0
tr_1,2022-08-08 03:30:00,0
tr_1,2022-08-08 04:30:00,0
tr_1,2022-08-08 05:30:00,0
tr_1,2022-08-08 06:30:00,
tr_1,2022-08-08 07:30:00,50.537624
tr_1,2022-08-08 08:30:00,185.966592
tr_1,2022-08-08 09:30:00,418.748856
tr_1,2022-08-08 10:30:00,432.545912
tr_1,2022-08-08 11:30:00,177.449416
tr_1,2022-08-08 12:30:00,256.80604
tr_1,2022-08-08 13:30:00,394.846336
tr_1,2022-08-08 14:30:00,441.426304
tr_1,2022-08-08 15:30:00,417.174736
tr_1,2022-08-08 16:30:00,269.341592
tr_1,2022-08-08 17:30:00,518.610992
tr_1,2022-08-08 18:30:00,#DIV/0!
tr_1,2022-08-08 19:30:00,29.861544
tr_1,2022-08-08 20:30:00,0
tr_1,2022-08-08 21:30:00,0
tr_1,2022-08-08 22:30:00,0
tr_1,2022-08-08 23:30:00,0
tr_1,2022-08-09 00:30:00,
tr_1,2022-08-09 01:30:00,0
tr_1,2022-08-09 02:30:00,0
tr_1,2022-08-09 03:30:00,0
tr_1,2022-08-09 04:30:00,0
tr_1,2022-08-09 05:30:00,0
tr_1,2022-08-09 06:30:00,10.346872
tr_1,2022-08-09 07:30:00,25.880704
tr_1,2022-08-09 08:30:00,59.774976
tr_1,2022-08-09 09:30:00,94.819432
tr_1,2022-08-09 10:30:00,394.67356
tr_1,2022-08-09 11:30:00,707.93172
tr_1,2022-08-09 12:30:00,535.040536
tr_1,2022-08-09 13:30:00,201.924728
tr_1,2022-08-09 14:30:00,189.464432
tr_1,2022-08-09 15:30:00,235.167272
tr_1,2022-08-09 16:30:00,128.737808
tr_1,2022-08-09 17:30:00,399.589672
tr_1,2022-08-09 18:30:00,110.437904
tr_1,2022-08-09 19:30:00,38.277336
tr_1,2022-08-09 20:30:00,0
tr_1,2022-08-09 21:30:00,0
tr_1,2022-08-09 22:30:00,0
tr_1,2022-08-09 23:30:00,0
tr_1,2022-08-10 00:30:00,0
tr_1,2022-08-10 01:30:00,0
tr_1,2022-08-10 02:30:00,0
tr_1,2022-08-10 03:30:00,0
tr_1,2022-08-10 04:30:00,#DIV/0!
tr_1,2022-08-10 05:30:00,0
tr_1,2022-08-10 06:30:00,82.59116
tr_1,2022-08-10 07:30:00,78.792848
tr_1,2022-08-10 08:30:00,122.870784
tr_1,2022-08-10 09:30:00,1149.003272
tr_1,2022-08-10 10:30:00,1429.843576
tr_1,2022-08-10 11:30:00,1631.41484
tr_1,2022-08-10 12:30:00,1729.534864
tr_1,2022-08-10 13:30:00,123.470072
tr_1,2022-08-10 14:30:00,120.745584
tr_1,2022-08-10 15:30:00,110.262552
tr_1,2022-08-10 16:30:00,100.371448
tr_1,2022-08-10 17:30:00,731.885024
tr_1,2022-08-10 18:30:00,70.880664
tr_1,2022-08-10 19:30:00,67.23728
tr_1,2022-08-10 20:30:00,0
tr_1,2022-08-10 21:30:00,0
tr_1,2022-08-10 22:30:00,0
tr_1,2022-08-10 23:30:00,0
tr_1,2022-08-11 00:30:00,#DIV/0!
tr_1,2022-08-11 01:30:00,0
tr_1,2022-08-11 02:30:00,0
tr_1,2022-08-11 03:30:00,0
tr_1,2022-08-11 04:30:00,0
tr_1,2022-08-11 05:30:00,0
tr_1,2022-08-11 06:30:00,69.464232
tr_1,2022-08-11 07:30:00,86.716624
tr_1,2022-08-11 08:30:00,144.456192
tr_1,2022-08-11 09:30:00,1045.830608
tr_1,2022-08-11 10:30:00,1298.649
tr_1,2022-08-11 11:30:00,1469.064832
tr_1,2022-08-11 12:30:00,1227.518648
tr_1,2022-08-11 13:30:00,551.758224
tr_1,2022-08-11 14:30:00,292.196416
tr_1,2022-08-11 15:30:00,264.028224
tr_1,2022-08-11 16:30:00,285.70508
tr_1,2022-08-11 17:30:00,501.032552
tr_1,2022-08-11 18:30:00,99.694512
tr_1,2022-08-11 19:30:00,58.799592
tr_1,2022-08-11 20:30:00,0
tr_1,2022-08-11 21:30:00,0
tr_1,2022-08-11 22:30:00,#DIV/0!
tr_1,2022-08-11 23:30:00,0
tr_1,2022-08-12 00:30:00,0
tr_1,2022-08-12 01:30:00,0
tr_1,2022-08-12 02:30:00,0
tr_1,2022-08-12 03:30:00,0
tr_1,2022-08-12 04:30:00,0
tr_1,2022-08-12 05:30:00,0
tr_1,2022-08-12 06:30:00,44.988736
tr_1,2022-08-12 07:30:00,75.683248
tr_1,2022-08-12 08:30:00,117.889536
tr_1,2022-08-12 09:30:00,1128.690776
tr_1,2022-08-12 10:30:00,1367.972104
tr_1,2022-08-12 11:30:00,1495.724776
tr_1,2022-08-12 12:30:00,1501.085616
tr_1,2022-08-12 13:30:00,246.941616
tr_1,2022-08-12 14:30:00,491.417632
tr_1,2022-08-12 15:30:00,263.908624
tr_1,2022-08-12 16:30:00,#DIV/0!
tr_1,2022-08-12 17:30:00,315.19108
tr_1,2022-08-12 18:30:00,147.364864
tr_1,2022-08-12 19:30:00,38.461152
tr_1,2022-08-12 20:30:00,0
tr_1,2022-08-12 21:30:00,0
tr_1,2022-08-12 22:30:00,0
tr_1,2022-08-12 23:30:00,0
tr_1,2022-08-13 00:30:00,0
tr_1,2022-08-13 01:30:00,0
tr_1,2022-08-13 02:30:00,0
tr_1,2022-08-13 03:30:00,0
tr_1,2022-08-13 04:30:00,0
tr_1,2022-08-13 05:30:00,0
tr_1,2022-08-13 06:30:00,27.09768
tr_1,2022-08-13 07:30:00,128.071176
tr_1,2022-08-13 08:30:00,242.420736
tr_1,2022-08-13 09:30:00,1056.633984
tr_1,2022-08-13 10:30:00,1184.751712
tr_1,2022-08-13 11:30:00,900.017784
tr_1,2022-08-13 12:30:00,666.427024
tr_1,2022-08-13 13:30:00,#DIV/0!
tr_1,2022-08-13 14:30:00,409.947768
tr_1,2022-08-13 15:30:00,395.68004
tr_1,2022-08-13 16:30:00,296.210928
tr_1,2022-08-13 17:30:00,376.424992
tr_1,2022-08-13 18:30:00,70.085968
tr_1,2022-08-13 19:30:00,23.133952
tr_1,2022-08-13 20:30:00,0
tr_1,2022-08-13 21:30:00,0
tr_1,2022-08-13 22:30:00,0
tr_1,2022-08-13 23:30:00,0
tr_1,2022-08-14 00:30:00,0
tr_1,2022-08-14 01:30:00,0
tr_1,2022-08-14 02:30:00,0
tr_1,2022-08-14 03:30:00,0
tr_1,2022-08-14 04:30:00,0
tr_1,2022-08-14 05:30:00,0
tr_1,2022-08-14 06:30:00,52.338984
tr_1,2022-08-14 07:30:00,103.552072
tr_1,2022-08-14 08:30:00,222.495744
tr_1,2022-08-14 09:30:00,596.048128
tr_1,2022-08-14 10:30:00,#DIV/0!
tr_1,2022-08-14 11:30:00,580.63868
tr_1,2022-08-14 12:30:00,864.684264
tr_1,2022-08-14 13:30:00,266.23696
tr_1,2022-08-14 14:30:00,182.670416
tr_1,2022-08-14 15:30:00,316.878728
tr_1,2022-08-14 16:30:00,195.86156
tr_1,2022-08-14 17:30:00,225.13136
tr_1,2022-08-14 18:30:00,102.846432
tr_1,2022-08-14 19:30:00,21.83896
tr_1,2022-08-14 20:30:00,0
tr_1,2022-08-14 21:30:00,0
tr_1,2022-08-14 22:30:00,0
tr_1,2022-08-14 23:30:00,0
tr_1,2022-08-15 00:30:00,0
tr_1,2022-08-15 01:30:00,0
tr_1,2022-08-15 02:30:00,0
tr_1,2022-08-15 03:30:00,0
tr_1,2022-08-15 04:30:00,#DIV/0!
tr_1,2022-08-15 05:30:00,0
tr_1,2022-08-15 06:30:00,24.491688
tr_1,2022-08-15 07:30:00,76.472976
tr_1,2022-08-15 08:30:00,307.17696
tr_1,2022-08-15 09:30:00,598.356776
tr_1,2022-08-15 10:30:00,904.043888
tr_1,2022-08-15 11:30:00,986.08636
tr_1,2022-08-15 12:30:00,788.811496
tr_1,2022-08-15 13:30:00,531.191992
tr_1,2022-08-15 14:30:00,481.795536
tr_1,2022-08-15 15:30:00,392.886552
tr_1,2022-08-15 16:30:00,320.866928
tr_1,2022-08-15 17:30:00,265.495808
tr_1,2022-08-15 18:30:00,82.956768
tr_1,2022-08-15 19:30:00,20.545808
tr_1,2022-08-15 20:30:00,0
tr_1,2022-08-15 21:30:00,0
tr_1,2022-08-15 22:30:00,0
tr_1,2022-08-15 23:30:00,0
tr_1,2022-08-16 00:30:00,0
tr_1,2022-08-16 01:30:00,#DIV/0!
tr_1,2022-08-16 02:30:00,0
tr_1,2022-08-16 03:30:00,0
tr_1,2022-08-16 04:30:00,0
tr_1,2022-08-16 05:30:00,0
tr_1,2022-08-16 06:30:00,32.441224
tr_1,2022-08-16 07:30:00,159.282544
tr_1,2022-08-16 08:30:00,197.589504
tr_1,2022-08-16 09:30:00,911.677496
tr_1,2022-08-16 10:30:00,1221.759632
tr_1,2022-08-16 11:30:00,1487.522792
tr_1,2022-08-16 12:30:00,1358.318728
tr_1,2022-08-16 13:30:00,307.399784
tr_1,2022-08-16 14:30:00,242.035624
tr_1,2022-08-16 15:30:00,412.027888
tr_1,2022-08-16 16:30:00,257.115896
tr_1,2022-08-16 17:30:00,269.670768
tr_1,2022-08-16 18:30:00,76.836928
tr_1,2022-08-16 19:30:00,39.063016
tr_1,2022-08-16 20:30:00,0
tr_1,2022-08-16 21:30:00,0
tr_1,2022-08-16 22:30:00,0
tr_1,2022-08-16 23:30:00,0
tr_1,2022-08-17 00:30:00,0
tr_1,2022-08-17 01:30:00,0
tr_1,2022-08-17 02:30:00,0
tr_1,2022-08-17 03:30:00,0
tr_1,2022-08-17 04:30:00,0
tr_1,2022-08-17 05:30:00,0
tr_1,2022-08-17 06:30:00,54.72528
tr_1,2022-08-17 07:30:00,85.46984
tr_1,2022-08-17 08:30:00,146.116608
tr_1,2022-08-17 09:30:00,1060.939032
tr_1,2022-08-17 10:30:00,1331.417008
tr_1,2022-08-17 11:30:00,1519.320752
tr_1,2022-08-17 12:30:00,1619.297704
tr_1,2022-08-17 13:30:00,#DIV/0!
tr_1,2022-08-17 14:30:00,192.508528
tr_1,2022-08-17 15:30:00,136.469672
tr_1,2022-08-17 16:30:00,120.279328
tr_1,2022-08-17 17:30:00,641.833768
tr_1,2022-08-17 18:30:00,78.264216
tr_1,2022-08-17 19:30:00,32.46404
tr_1,2022-08-17 20:30:00,0
tr_1,2022-08-17 21:30:00,0
tr_1,2022-08-17 22:30:00,0
tr_1,2022-08-17 23:30:00,0
tr_1,2022-08-18 00:30:00,0
tr_1,2022-08-18 01:30:00,0
tr_1,2022-08-18 02:30:00,0
tr_1,2022-08-18 03:30:00,0
tr_1,2022-08-18 04:30:00,0
tr_1,2022-08-18 05:30:00,0
tr_1,2022-08-18 06:30:00,49.498024
tr_1,2022-08-18 07:30:00,83.947424
tr_1,2022-08-18 08:30:00,139.474944
tr_1,2022-08-18 09:30:00,1064.05636
tr_1,2022-08-18 10:30:00,1335.864104
tr_1,2022-08-18 11:30:00,#DIV/0!
tr_1,2022-08-18 12:30:00,1630.623088
tr_1,2022-08-18 13:30:00,142.770936
tr_1,2022-08-18 14:30:00,136.705008
tr_1,2022-08-18 15:30:00,125.537312
tr_1,2022-08-18 16:30:00,115.541144
tr_1,2022-08-18 17:30:00,643.40568
tr_1,2022-08-18 18:30:00,74.63684
tr_1,2022-08-18 19:30:00,31.679648
tr_1,2022-08-18 20:30:00,0
tr_1,2022-08-18 21:30:00,0
tr_1,2022-08-18 22:30:00,0
tr_1,2022-08-18 23:30:00,0
tr_1,2022-08-19 00:30:00,0
tr_1,2022-08-19 01:30:00,0
tr_1,2022-08-19 02:30:00,0
tr_1,2022-08-19 03:30:00,0
tr_1,2022-08-19 04:30:00,0
tr_1,2022-08-19 05:30:00,#DIV/0!
tr_1,2022-08-19 06:30:00,47.4674
tr_1,2022-08-19 07:30:00,83.765264
tr_1,2022-08-19 08:30:00,142.795776
tr_1,2022-08-19 09:30:00,1055.985016
tr_1,2022-08-19 10:30:00,1324.163912
tr_1,2022-08-19 11:30:00,1512.085688
tr_1,2022-08-19 12:30:00,1547.186816
tr_1,2022-08-19 13:30:00,308.698824
tr_1,2022-08-19 14:30:00,146.746072
tr_1,2022-08-19 15:30:00,133.91888
tr_1,2022-08-19 16:30:00,120.235536
tr_1,2022-08-19 17:30:00,614.397344
tr_1,2022-08-19 18:30:00,136.915872
tr_1,2022-08-19 19:30:00,16.727992
tr_1,2022-08-19 20:30:00,0
tr_1,2022-08-19 21:30:00,0
tr_1,2022-08-19 22:30:00,0
tr_1,2022-08-19 23:30:00,0
tr_1,2022-08-20 00:30:00,0
tr_1,2022-08-20 01:30:00,0
tr_1,2022-08-20 02:30:00,#DIV/0!
tr_1,2022-08-20 03:30:00,0
tr_1,2022-08-20 04:30:00,0
tr_1,2022-08-20 05:30:00,0
tr_1,2022-08-20 06:30:00,5.144824
tr_1,2022-08-20 07:30:00,27.868088
tr_1,2022-08-20 08:30:00,207.552
tr_1,2022-08-20 09:30:00,37.68596
tr_1,2022-08-20 10:30:00,464.806632
tr_1,2022-08-20 11:30:00,947.433664
tr_1,2022-08-20 12:30:00,777.632024
tr_1,2022-08-20 13:30:00,433.472536
tr_1,2022-08-20 14:30:00,174.4734
tr_1,2022-08-20 15:30:00,153.143568
tr_1,2022-08-20 16:30:00,201.536304
tr_1,2022-08-20 17:30:00,207.259256
tr_1,2022-08-20 18:30:00,116.881032
tr_1,2022-08-20 19:30:00,8.974416
tr_1,2022-08-20 20:30:00,0
tr_1,2022-08-20 21:30:00,0
tr_1,2022-08-20 22:30:00,0
tr_1,2022-08-20 23:30:00,#DIV/0!
tr_1,2022-08-21 00:30:00,0
tr_1,2022-08-21 01:30:00,0
tr_1,2022-08-21 02:30:00,0
tr_1,2022-08-21 03:30:00,0
tr_1,2022-08-21 04:30:00,0
tr_1,2022-08-21 05:30:00,0
tr_1,2022-08-21 06:30:00,20.56476
tr_1,2022-08-21 07:30:00,86.163704
tr_1,2022-08-21 08:30:00,142.795776
tr_1,2022-08-21 09:30:00,1017.418616
tr_1,2022-08-21 10:30:00,1071.465488
tr_1,2022-08-21 11:30:00,1171.130376
tr_1,2022-08-21 12:30:00,1083.25768
tr_1,2022-08-21 13:30:00,582.691936
tr_1,2022-08-21 14:30:00,448.552992
tr_1,2022-08-21 15:30:00,290.45964
tr_1,2022-08-21 16:30:00,259.242936
tr_1,2022-08-21 17:30:00,133.830192
tr_1,2022-08-21 18:30:00,110.764136
tr_1,2022-08-21 19:30:00,17.983976
tr_1,2022-08-21 20:30:00,#DIV/0!
tr_1,2022-08-21 21:30:00,0
tr_1,2022-08-21 22:30:00,0
tr_1,2022-08-21 23:30:00,0
tr_1,2022-08-22 00:30:00,0
tr_1,2022-08-22 01:30:00,0
tr_1,2022-08-22 02:30:00,0
tr_1,2022-08-22 03:30:00,0
tr_1,2022-08-22 04:30:00,0
tr_1,2022-08-22 05:30:00,0
tr_1,2022-08-22 06:30:00,38.483048
tr_1,2022-08-22 07:30:00,80.776552
tr_1,2022-08-22 08:30:00,137.814528
tr_1,2022-08-22 09:30:00,1038.61928
tr_1,2022-08-22 10:30:00,1308.572304
tr_1,2022-08-22 11:30:00,1498.875776
tr_1,2022-08-22 12:30:00,1590.93576
tr_1,2022-08-22 13:30:00,310.004672
tr_1,2022-08-22 14:30:00,296.74416
tr_1,2022-08-22 15:30:00,238.509264
tr_1,2022-08-22 16:30:00,194.400968
tr_1,2022-08-22 17:30:00,120.802624
tr_1,2022-08-22 18:30:00,79.102888
tr_1,2022-08-22 19:30:00,17.45516
tr_1,2022-08-22 20:30:00,0
tr_1,2022-08-22 21:30:00,0
tr_1,2022-08-22 22:30:00,0
tr_1,2022-08-22 23:30:00,#DIV/0!
tr_1,2022-08-23 00:30:00,0
tr_1,2022-08-23 01:30:00,0
tr_1,2022-08-23 02:30:00,0
tr_1,2022-08-23 03:30:00,0
tr_1,2022-08-23 04:30:00,#DIV/0!
tr_1,2022-08-23 05:30:00,0
tr_1,2022-08-23 06:30:00,34.220504
tr_1,2022-08-23 07:30:00,89.95576
tr_1,2022-08-23 08:30:00,151.097856
tr_1,2022-08-23 09:30:00,1008.33656
tr_1,2022-08-23 10:30:00,1309.132952
tr_1,2022-08-23 11:30:00,1501.871664
tr_1,2022-08-23 12:30:00,838.468864
tr_1,2022-08-23 13:30:00,483.6716
tr_1,2022-08-23 14:30:00,446.72532
tr_1,2022-08-23 15:30:00,362.389472
tr_1,2022-08-23 16:30:00,249.737312
tr_1,2022-08-23 17:30:00,140.936272
tr_1,2022-08-23 18:30:00,67.616504
tr_1,2022-08-23 19:30:00,17.107032
tr_1,2022-08-23 20:30:00,0
tr_1,2022-08-23 21:30:00,0
tr_1,2022-08-23 22:30:00,0
tr_1,2022-08-23 23:30:00,0
tr_1,2022-08-24 00:30:00,0
tr_1,2022-08-24 01:30:00,
tr_1,2022-08-24 02:30:00,0
tr_1,2022-08-24 03:30:00,0
tr_1,2022-08-24 04:30:00,0
tr_1,2022-08-24 05:30:00,0
tr_1,2022-08-24 06:30:00,32.766168
tr_1,2022-08-24 07:30:00,81.940352
tr_1,2022-08-24 08:30:00,142.795776
tr_1,2022-08-24 09:30:00,1037.1436
tr_1,2022-08-24 10:30:00,1306.731016
tr_1,2022-08-24 11:30:00,1422.13692
tr_1,2022-08-24 12:30:00,1243.019176
tr_1,2022-08-24 13:30:00,331.891104
tr_1,2022-08-24 14:30:00,148.811472
tr_1,2022-08-24 15:30:00,133.566888
tr_1,2022-08-24 16:30:00,118.961152
tr_1,2022-08-24 17:30:00,99.484384
tr_1,2022-08-24 18:30:00,72.640072
tr_1,2022-08-24 19:30:00,12.369584
tr_1,2022-08-24 20:30:00,0
tr_1,2022-08-24 21:30:00,0
tr_1,2022-08-24 22:30:00,0
tr_1,2022-08-24 23:30:00,0
tr_1,2022-08-25 00:30:00,0
tr_1,2022-08-25 01:30:00,0
tr_1,2022-08-25 02:30:00,0
tr_1,2022-08-25 03:30:00,0
tr_1,2022-08-25 04:30:00,0
tr_1,2022-08-25 05:30:00,0
tr_1,2022-08-25 06:30:00,14.45688
tr_1,2022-08-25 07:30:00,52.816832
tr_1,2022-08-25 08:30:00,79.699968
tr_1,2022-08-25 09:30:00,385.69252
tr_1,2022-08-25 10:30:00,248.919064
tr_1,2022-08-25 11:30:00,1090.23588
tr_1,2022-08-25 12:30:00,1008.61348
tr_1,2022-08-25 13:30:00,406.5158
tr_1,2022-08-25 14:30:00,219.287704
tr_1,2022-08-25 15:30:00,234.517568
tr_1,2022-08-25 16:30:00,277.930528
tr_1,2022-08-25 17:30:00,59.216904
tr_1,2022-08-25 18:30:00,78.928824
tr_1,2022-08-25 19:30:00,7.686968
tr_1,2022-08-25 20:30:00,0
tr_1,2022-08-25 21:30:00,0
tr_1,2022-08-25 22:30:00,0
tr_1,2022-08-25 23:30:00,0
tr_1,2022-08-26 00:30:00,0
tr_1,2022-08-26 01:30:00,0
tr_1,2022-08-26 02:30:00,0
tr_1,2022-08-26 03:30:00,0
tr_1,2022-08-26 04:30:00,0
tr_1,2022-08-26 05:30:00,0
tr_1,2022-08-26 06:30:00,24.922064
tr_1,2022-08-26 07:30:00,83.114824
tr_1,2022-08-26 08:30:00,144.456192
tr_1,2022-08-26 09:30:00,979.937632
tr_1,2022-08-26 10:30:00,1209.110368
tr_1,2022-08-26 11:30:00,1133.539728
