Treatment ,Block,Root_DW_g,Leaf_DW_g,Stem_DW_g,Total_DW_g,Partitioning_DW_Root,Partitioning_DW_Leaf,Partitioning_DW_Stem
N0,I,17.00,42.20,25.70,84.90,20.0%,49.7%,30.3%
N0,I,11.10,17.00,15.50,43.60,25.5%,39.0%,35.6%
N0,I,11.50,19.40,15.30,46.20,24.9%,42.0%,33.1%
N0,I,14.60,24.90,20.50,60.00,24.3%,41.5%,34.2%
N0,I,21.80,33.60,34.60,90.00,24.2%,37.3%,38.4%
N0,I,11.80,17.40,14.20,43.40,27.2%,40.1%,32.7%
N0,I,16.00,24.50,24.20,64.70,24.7%,37.9%,37.4%
N0,I,14.80,24.90,23.10,62.80,23.6%,39.6%,36.8%
N0,I,9.50,12.90,11.90,34.30,27.7%,37.6%,34.7%
N0,I,14.20,20.30,15.70,50.20,28.3%,40.4%,31.3%
N0,II,11.40,16.50,14.40,42.30,27.0%,39.0%,34.0%
N0,II,13.35,22.30,20.60,56.25,23.7%,39.6%,36.6%
N0,II,16.40,25.90,20.80,63.10,26.0%,41.0%,33.0%
N0,II,13.60,19.60,16.50,49.70,27.4%,39.4%,33.2%
N0,II,14.00,18.40,15.90,48.30,29.0%,38.1%,32.9%
N0,II,15.40,24.10,21.60,61.10,25.2%,39.4%,35.4%
N0,II,11.90,18.40,17.30,47.60,25.0%,38.7%,36.3%
N0,II,11.00,16.70,13.60,41.30,26.6%,40.4%,32.9%
N0,II,10.10,14.70,13.70,38.50,26.2%,38.2%,35.6%
N0,II,11.20,17.10,14.70,43.00,26.0%,39.8%,34.2%
N0,III,10.30,16.70,15.30,42.30,24.3%,39.5%,36.2%
N0,III,9.00,11.90,11.10,32.00,28.1%,37.2%,34.7%
N0,III,16.10,29.70,21.90,67.70,23.8%,43.9%,32.3%
N0,III,13.50,23.80,20.80,58.10,23.2%,41.0%,35.8%
N0,III,10.70,17.70,16.50,44.90,23.8%,39.4%,36.7%
N0,III,12.20,23.90,19.00,55.10,22.1%,43.4%,34.5%
N0,III,11.90,25.80,24.40,62.10,19.2%,41.5%,39.3%
N0,III,17.70,37.30,34.10,89.10,19.9%,41.9%,38.3%
N0,III,21.00,26.90,25.30,73.20,28.7%,36.7%,34.6%
N0,III,16.40,29.00,23.00,68.40,24.0%,42.4%,33.6%
N0,IV,8.00,21.10,19.30,48.40,16.5%,43.6%,39.9%
