year,location,replicates,variety,N_Head,S_Head,P_Head,K_Head,MG_Head,CA_Head,N_Leaf,S_Leaf,P_Leaf,K_Leaf,MG_Leaf,CA_Leaf,N_Stem,S_Stem,P_Stem,K_Stem,MG_Stem,CA_Stem,grain_yield
2015,Illinois,I,RT0001,28.781,2.711,4.544,19.009,1.728,3.06,50.243,6.099,3.809,35.454,2.99,12.382,70.33,5.718,8.113,86.069,2.894,5.185,72.6
2015,Illinois,II,RT0001,20.223,1.721,3.307,14.086,1.113,1.714,36.57,4.411,2.65,26.677,1.694,7.059,40.957,3.59,4.744,58.422,1.856,3.69,68.44
2015,Illinois,III,RT0001,24.026,1.963,3.542,14.363,1.335,2.272,34.66,3.866,2.441,28.831,1.837,7.586,48.818,3.853,5.632,67.949,2.122,3.715,56.68
2015,Iowa,I,RT0001,34.786,2.446,5.876,20.924,2.175,2.203,25.082,3.958,2.526,40.999,3.448,10.599,58.255,4.411,7.217,83.986,3.037,3.968,98.18
2015,Iowa,III,RT0001,33.235,2.166,5.037,17.98,1.7,1.728,15.509,2.549,1.603,30.473,2.039,6.637,75.379,6.015,9.397,124.362,3.168,4.536,86.24
2015,Iowa,II,RT0001,40.704,2.494,5.661,20.722,1.996,2.055,35.185,4.638,2.745,54.254,3.517,12.631,68.806,4.952,7.162,101.257,2.777,4.265,71.93
2015,Kansas,I,RT0001,38.527,2.25,5.558,20.317,1.862,1.612,20.512,4.304,1.937,41.958,5.353,16.258,40.86,3.49,6.135,60.79,3.355,4.476,88.02
2015,Kansas,III,RT0001,51.025,2.871,7.001,25.605,2.36,2.044,31.323,6.37,2.781,58.731,6.854,17.697,55.873,4.491,6.782,71.684,3.733,4.22,84.74
2015,Kansas,II,RT0001,33.422,2.083,4.534,15.248,1.835,1.681,19.786,5.376,1.484,41.051,4.54,13.075,38.865,3.969,4.493,63.087,2.876,3.658,80.49
2015,Illinois,I,RT0002,21.401,1.592,3.339,13.419,1.045,1.163,38.571,3.364,2.739,28.304,1.48,5.574,44.309,3.447,5.539,66.682,1.937,3.82,82.83
2015,Illinois,II,RT0002,23.841,1.925,3.371,13.126,1.11,2.377,43.039,3.781,3.051,25.006,1.726,6.589,52.203,4.168,6.206,68.452,2.433,4.659,66.45
2015,Illinois,III,RT0002,23.597,1.767,3.301,12.831,1.124,1.497,41.908,3.754,2.802,25.536,1.728,5.989,48.409,3.561,4.867,57.351,2.047,3.862,59.04
2015,Iowa,I,RT0002,30.086,1.728,4.2,15.241,1.63,1.327,25.503,2.376,1.968,27.51,2.333,6.584,56.333,3.527,7.607,87.211,2.824,3.604,90.84
2015,Iowa,II,RT0002,20.19,1.324,3.284,11.015,1.338,1.266,21.056,1.904,1.766,19.283,2.142,5.945,41.619,2.901,5.497,60.232,2.725,3.475,83.62
2015,Iowa,III,RT0002,26.749,1.685,4.262,13.264,1.651,1.554,26.847,2.412,3.058,32.095,2.65,7.785,44.866,2.775,6.741,74.721,2.824,3.463,78.65
2015,Kansas,II,RT0002,24.577,1.334,3.206,10.808,1.233,0.908,21.768,3.178,2.309,29.311,4.6,11.65,31.81,2.221,4.519,39.607,2.265,2.748,89.12
2015,Kansas,I,RT0002,26.887,1.593,3.681,13.161,1.441,1.217,17.896,2.537,1.786,20.919,3.368,9.358,29.17,2.025,3.551,33.527,2.052,2.727,86.33
2015,Kansas,III,RT0002,43.384,2.285,5.615,20.357,1.939,1.355,20.518,4.314,1.949,46.721,6.757,16.509,52.347,3.422,6.334,64.018,3.948,4.321,83.6
2015,Illinois,II,RT0003,29.284,1.985,4.443,17.668,1.231,1.618,40.38,3.714,2.594,31.821,2.198,10.014,70.83,5.383,6.676,87.699,2.548,6.21,35.05
2015,Illinois,I,RT0003,41.908,3.202,5.978,24.575,1.767,2.493,63.251,5.7,4.148,47.986,2.972,12.029,116.78,9.565,10.887,139.923,3.899,10.008,30.85
2015,Illinois,III,RT0003,35.16,2.224,5.376,20.301,1.63,2.106,43.166,5.084,3.35,37.58,2.397,10.161,77.686,6.068,8.821,99.207,3.157,7.55,24.4
2015,Iowa,II,RT0003,38.358,2.376,5.958,20.185,1.982,2.092,28.688,4.052,2.703,56.258,2.663,9.228,108.762,7.254,10.458,178.291,3.479,5.944,77.15
2015,Iowa,III,RT0003,27.258,2.102,5.697,19.322,1.861,1.693,17.443,3.515,1.881,44.748,2.195,7.905,65.22,5.678,7.638,130.962,2.604,4.661,60.98
2015,Iowa,I,RT0003,23.496,1.687,3.753,15.852,1.322,1.671,49.344,6.496,3.241,54.912,4.56,14.009,121.269,8.942,9.713,150.982,4.28,8.768,57.49
2015,Kansas,III,RT0003,28.707,1.923,4.702,13.24,2.052,1.773,30.642,4.622,2.507,41.807,3.988,10.402,44.156,3.598,5.72,62.828,2.827,4.28,71.87
2015,Kansas,I,RT0003,25.191,1.281,3.14,10.77,1.051,0.87,22.24,4.745,1.937,28.762,4.12,10.214,38.128,3.703,4.325,50.011,2.546,4.174,68.41
2015,Kansas,II,RT0003,20.089,1.511,3.823,11.097,1.488,1.542,32.404,4.704,2.84,32.797,4.801,12.619,45.622,3.984,6.265,57.287,3.489,5.588,66.26
2016,Illinois,III,RT0001,22.999,1.894,3.788,13.529,1.623,1.894,34.245,3.834,1.983,39.005,2.248,9.123,35.548,3.368,3.742,60.993,1.871,3.742,96.04
2016,Illinois,II,RT0001,21.65,1.722,3.936,14.392,1.476,1.599,34.357,3.774,2.343,38.912,2.343,8.719,33.502,3.141,5.235,63.862,2.094,3.49,84.73
2016,Illinois,I,RT0001,22.103,1.82,3.771,12.742,1.69,1.56,25.711,2.935,1.644,35.573,1.878,7.749,26.79,2.614,3.267,53.58,1.634,2.614,83.13
2016,Kansas,III,RT0001,15.798,1.167,2.962,11.31,1.077,1.077,41.063,4.693,4.302,42.758,5.084,10.298,38.005,3.424,6.505,65.054,4.109,3.424,91.5
2016,Kansas,II,RT0001,26.424,1.898,4.818,18.541,1.898,1.898,50.655,5.91,4.559,42.381,6.079,13.001,50.05,4.678,8.42,69.695,5.145,4.678,87.36
2016,Kansas,I,RT0001,19.021,1.481,3.531,14.351,1.481,1.595,41.856,4.199,3.251,25.331,5.96,11.378,37.607,2.865,5.372,43.696,3.94,3.582,84.02
2016,Illinois,III,RT0002,22.829,1.786,3.699,14.412,1.403,1.53,49.775,5.274,2.802,38.238,3.791,14.174,38.634,3.477,4.25,53.315,2.704,5.409,104.16
2016,Illinois,I,RT0002,23.129,1.699,3.528,13.198,1.437,1.829,42.437,3.899,2.399,41.687,3.149,11.396,37.82,3.289,4.111,62.074,2.467,4.933,88.3
2016,Illinois,II,RT0002,21.231,1.759,3.871,14.428,1.408,2.581,49.434,4.865,3.296,47.551,3.453,11.927,38.832,3.845,5.383,70.743,2.691,5.383,77.84
2016,Kansas,I,RT0002,16.804,1.318,3.405,11.752,1.318,1.318,36.296,3.828,3.3,29.433,4.883,9.899,31.048,3.293,7.056,64.918,4.234,3.763,111.26
2016,Kansas,II,RT0002,19.277,1.432,3.635,12.448,1.432,1.322,38.133,4.181,3.04,32.812,4.687,9.628,38.346,3.567,6.242,62.424,4.459,4.013,100.45
2016,Kansas,III,RT0002,15.88,1.27,3.388,10.798,1.165,1.27,41.431,4.075,5.298,41.975,4.754,9.781,34.575,3.501,8.753,77.027,4.814,4.377,97.71
2016,Illinois,III,RT0003,26.628,2.037,4.656,13.532,2.037,1.892,27.425,3.646,2.061,37.412,2.536,9.829,41.92,3.535,6.566,79.8,2.525,5.051,90.63
2016,Illinois,I,RT0003,18.625,1.242,2.897,11.279,1.035,0.828,32.829,2.972,1.84,36.65,2.547,9.056,29.03,2.205,4.042,54.018,2.572,3.307,77.11
2016,Illinois,II,RT0003,23.411,1.688,4.052,11.255,1.576,2.026,27.17,3.655,2.071,28.632,2.437,8.894,45.268,3.772,6.036,62.243,2.263,4.904,70.59
2016,Kansas,III,RT0003,15.004,1.096,2.95,9.946,0.927,1.011,41.972,4.21,3.467,27.115,5.076,9.533,41.753,3.479,5.694,44.599,4.112,4.428,91.39
2016,Kansas,II,RT0003,16.565,1.305,3.313,10.24,1.205,1.406,38.397,3.951,3.457,27.285,4.198,8.396,37.593,3.678,7.355,53.937,4.086,4.495,85.5
2016,Kansas,I,RT0003,19.892,1.567,3.858,12.658,1.567,1.447,46.296,5.181,4.011,46.631,5.181,10.529,44.076,4.613,8.2,85.078,4.613,5.125,80.75
2017,Kansas,III,RT0001,35.443,2.406,5.292,17.16,2.566,2.566,53.308,5.371,3.779,46.943,5.57,13.526,53.395,3.56,6.229,56.065,3.56,3.56,121.25
2017,Kansas,I,RT0001,33.519,2.352,5.293,16.76,2.352,2.205,48.431,5.499,3.725,53.043,5.145,12.596,52.335,4.282,7.612,77.551,3.806,3.806,120.69
