rep,treatment,fertilzier ,yield
1,tr3,fert6,14.8
1,tr3,fert5,15.2
1,tr3,fert4,15.2
1,tr3,fert2,15.4
1,tr3,fert1,14.9
1,tr3,fert3,15.2
1,tr1,fert6,14.5
1,tr1,fert5,15.2
1,tr1,fert4,14.8
1,tr1,fert2,16.1
1,tr1,fert1,14.6
1,tr1,fert3,15.9
1,tr2,fert6,15.4
1,tr2,fert5,15.3
1,tr2,fert4,15.3
1,tr2,fert2,15.1
1,tr2,fert1,15.2
1,tr2,fert3,15.4
2,tr2,fert4,14.7
2,tr2,fert3,14.6
2,tr2,fert5,15.2
2,tr2,fert2,15.5
2,tr2,fert6,15.6
2,tr2,fert1,15.3
2,tr3,fert4,14.8
2,tr3,fert3,15.6
2,tr3,fert5,15.6
2,tr3,fert2,15.0
2,tr3,fert6,15.4
2,tr3,fert1,14.7
2,tr1,fert4,15.3
2,tr1,fert3,16.1
2,tr1,fert5,15.3
2,tr1,fert2,15.8
2,tr1,fert6,14.5
2,tr1,fert1,14.6
3,tr3,fert3,14.7
3,tr3,fert2,15.4
3,tr3,fert4,14.1
3,tr3,fert1,15.5
3,tr3,fert6,14.9
3,tr3,fert5,15.6
3,tr1,fert3,14.5
3,tr1,fert2,15.1
3,tr1,fert4,14.9
3,tr1,fert1,15.3
3,tr1,fert6,14.6
3,tr1,fert5,15.0
3,tr2,fert3,15.0
3,tr2,fert2,15.8
3,tr2,fert4,15.6
3,tr2,fert1,16.4
3,tr2,fert6,15.5
3,tr2,fert5,16.0
4,tr2,fert5,14.4
4,tr2,fert3,15.4
4,tr2,fert2,14.9
4,tr2,fert6,15.7
4,tr2,fert4,15.3
4,tr2,fert1,16.3
4,tr1,fert5,14.5
4,tr1,fert3,15.0
4,tr1,fert2,14.9
4,tr1,fert6,15.4
4,tr1,fert4,14.3
4,tr1,fert1,14.7
4,tr3,fert5,14.5
4,tr3,fert3,14.1
4,tr3,fert2,15.1
4,tr3,fert6,15.6
4,tr3,fert4,13.6
4,tr3,fert1,15.9
