Year,Date,Avg
2020,1/1/2020,1.62
2020,1/2/2020,5.44
2020,1/3/2020,4.70
2020,1/4/2020,-0.91
2020,1/5/2020,0.76
2020,1/6/2020,0.41
2020,1/7/2020,1.27
2020,1/8/2020,-3.19
2020,1/9/2020,4.33
2020,1/10/2020,11.12
2020,1/11/2020,4.82
2020,1/12/2020,-1.98
2020,1/13/2020,-0.02
2020,1/14/2020,3.87
2020,1/15/2020,3.37
2020,1/16/2020,-4.63
2020,1/17/2020,-3.09
2020,1/18/2020,-1.68
2020,1/19/2020,-12.63
2020,1/20/2020,-7.31
2020,1/21/2020,-5.50
2020,1/22/2020,-3.20
2020,1/23/2020,0.75
2020,1/24/2020,0.84
2020,1/25/2020,-0.56
2020,1/26/2020,-1.70
2020,1/27/2020,-2.57
2020,1/28/2020,-2.40
2020,1/29/2020,-1.12
2020,1/30/2020,-0.56
2020,1/31/2020,1.26
2020,2/1/2020,0.97
2020,2/2/2020,5.35
2020,2/3/2020,8.01
2020,2/4/2020,2.62
2020,2/5/2020,-0.81
2020,2/6/2020,-2.59
2020,2/7/2020,-1.72
2020,2/8/2020,-2.01
2020,2/9/2020,0.34
2020,2/10/2020,-0.63
2020,2/11/2020,-0.13
2020,2/12/2020,-0.35
2020,2/13/2020,-6.17
2020,2/14/2020,-12.92
2020,2/15/2020,-2.98
2020,2/16/2020,0.87
2020,2/17/2020,2.77
2020,2/18/2020,0.75
2020,2/19/2020,-2.03
2020,2/20/2020,-4.98
2020,2/21/2020,-4.88
2020,2/22/2020,0.07
2020,2/23/2020,3.84
2020,2/24/2020,4.45
2020,2/25/2020,2.26
2020,2/26/2020,-1.52
2020,2/27/2020,-2.20
2020,2/28/2020,-3.40
2020,2/29/2020,-3.20
2020,3/1/2020,5.62
2020,3/2/2020,7.05
2020,3/3/2020,4.61
2020,3/4/2020,4.84
2020,3/5/2020,5.05
2020,3/6/2020,1.00
2020,3/7/2020,1.60
2020,3/8/2020,7.97
2020,3/9/2020,12.03
2020,3/10/2020,6.85
2020,3/11/2020,6.04
2020,3/12/2020,9.44
2020,3/13/2020,4.54
2020,3/14/2020,1.33
2020,3/15/2020,1.94
2020,3/16/2020,3.51
2020,3/17/2020,5.50
2020,3/18/2020,6.98
2020,3/19/2020,12.95
2020,3/20/2020,8.55
2020,3/21/2020,-0.41
2020,3/22/2020,-0.73
2020,3/23/2020,3.02
2020,3/24/2020,4.66
2020,3/25/2020,7.87
2020,3/26/2020,10.90
2020,3/27/2020,13.05
2020,3/28/2020,19.51
2020,3/29/2020,11.15
2020,3/30/2020,8.85
2020,3/31/2020,5.11
2020,4/1/2020,6.71
2020,4/2/2020,9.52
2020,4/3/2020,13.91
2020,4/4/2020,7.70
2020,4/5/2020,7.91
2020,4/6/2020,12.78
2020,4/7/2020,19.77
2020,4/8/2020,18.16
2020,4/9/2020,6.61
2020,4/10/2020,4.75
2020,4/11/2020,10.17
2020,4/12/2020,12.37
2020,4/13/2020,4.44
2020,4/14/2020,2.27
2020,4/15/2020,1.77
2020,4/16/2020,2.72
2020,4/17/2020,3.06
2020,4/18/2020,5.72
2020,4/19/2020,10.52
2020,4/20/2020,10.65
2020,4/21/2020,8.18
2020,4/22/2020,12.90
2020,4/23/2020,11.53
2020,4/24/2020,12.63
2020,4/25/2020,10.98
2020,4/26/2020,9.68
2020,4/27/2020,13.32
2020,4/28/2020,18.13
2020,4/29/2020,12.37
2020,4/30/2020,10.20
2020,5/1/2020,12.32
2020,5/2/2020,19.05
2020,5/3/2020,16.15
2020,5/4/2020,10.99
2020,5/5/2020,8.64
2020,5/6/2020,9.66
2020,5/7/2020,12.76
2020,5/8/2020,7.96
2020,5/9/2020,7.37
2020,5/10/2020,8.24
2020,5/11/2020,7.46
2020,5/12/2020,10.51
2020,5/13/2020,11.85
2020,5/14/2020,18.35
2020,5/15/2020,19.55
2020,5/16/2020,19.46
2020,5/17/2020,19.54
2020,5/18/2020,15.14
2020,5/19/2020,16.38
2020,5/20/2020,14.38
2020,5/21/2020,14.76
2020,5/22/2020,18.05
2020,5/23/2020,21.99
2020,5/24/2020,23.29
2020,5/25/2020,23.68
2020,5/26/2020,23.48
2020,5/27/2020,21.96
2020,5/28/2020,21.43
2020,5/29/2020,19.30
2020,5/30/2020,17.18
2020,5/31/2020,16.41
2020,6/1/2020,17.44
2020,6/2/2020,22.55
2020,6/3/2020,23.93
2020,6/4/2020,23.41
2020,6/5/2020,24.04
2020,6/6/2020,23.49
2020,6/7/2020,21.19
2020,6/8/2020,22.32
2020,6/9/2020,24.99
2020,6/10/2020,21.75
2020,6/11/2020,19.82
2020,6/12/2020,21.94
2020,6/13/2020,18.34
2020,6/14/2020,16.96
2020,6/15/2020,17.58
2020,6/16/2020,21.00
2020,6/17/2020,22.73
2020,6/18/2020,24.57
2020,6/19/2020,24.73
2020,6/20/2020,24.76
2020,6/21/2020,23.40
2020,6/22/2020,22.69
2020,6/23/2020,20.08
2020,6/24/2020,20.38
2020,6/25/2020,22.09
2020,6/26/2020,24.10
2020,6/27/2020,24.25
2020,6/28/2020,24.79
2020,6/29/2020,25.66
2020,6/30/2020,24.22
2020,7/1/2020,25.26
2020,7/2/2020,25.57
2020,7/3/2020,24.95
2020,7/4/2020,25.29
2020,7/5/2020,26.68
2020,7/6/2020,27.35
2020,7/7/2020,27.76
2020,7/8/2020,27.68
2020,7/9/2020,26.51
2020,7/10/2020,24.24
2020,7/11/2020,24.50
2020,7/12/2020,23.25
2020,7/13/2020,21.35
2020,7/14/2020,22.42
2020,7/15/2020,24.15
2020,7/16/2020,24.04
2020,7/17/2020,24.85
2020,7/18/2020,26.68
2020,7/19/2020,26.28
2020,7/20/2020,24.65
2020,7/21/2020,24.40
2020,7/22/2020,25.26
2020,7/23/2020,23.58
2020,7/24/2020,22.75
2020,7/25/2020,24.47
2020,7/26/2020,26.63
2020,7/27/2020,24.59
2020,7/28/2020,23.90
2020,7/29/2020,23.73
2020,7/30/2020,21.15
2020,7/31/2020,21.48
2020,8/1/2020,20.27
2020,8/2/2020,21.82
2020,8/3/2020,20.71
2020,8/4/2020,17.98
2020,8/5/2020,17.96
2020,8/6/2020,20.07
2020,8/7/2020,20.91
2020,8/8/2020,22.75
2020,8/9/2020,23.92
2020,8/10/2020,25.93
2020,8/11/2020,23.26
2020,8/12/2020,22.69
2020,8/13/2020,23.81
2020,8/14/2020,23.76
2020,8/15/2020,23.85
