Treatment,Block,Yield ,Biomass
Control,I,75.3,191.3
Control,I,45.4,115.3
Control,I,92.2,234.2
Control,I,32.5,82.6
Control,I,85.1,216.2
Control,I,69.6,176.8
Control,I,84.1,213.6
Control,I,41.5,105.4
Control,I,38.4,97.5
Control,II,76.9,195.3
Control,II,70.4,178.8
Control,II,83.8,212.9
Control,II,36.3,92.2
Control,II,62.1,157.7
Control,II,92.0,233.7
Control,II,71.0,180.3
Control,II,67.6,171.7
Control,II,131.4,333.8
Control,III,101.5,257.8
Control,III,63.7,161.8
Control,III,80.7,205.0
Control,III,92.6,235.2
Control,III,78.4,199.1
Control,III,69.5,176.5
Control,III,93.2,236.7
Control,III,40.4,102.6
Control,III,73.3,186.2
Control,IV,14.3,36.3
Control,IV,58.1,147.6
Control,IV,69.8,177.3
Control,IV,56.7,144.0
Control,IV,99.7,253.2
Control,IV,39.5,100.3
Control,IV,72.0,182.9
Control,IV,62.3,158.2
Fertilizer,I,47.9,121.7
Fertilizer,I,27.7,70.4
Fertilizer,I,32.6,82.8
Fertilizer,I,29.9,75.9
Fertilizer,I,43.1,109.5
Fertilizer,I,45.2,114.8
Fertilizer,I,29.3,74.4
Fertilizer,I,33.6,85.3
Fertilizer,I,58.7,149.1
Fertilizer,II,44.2,112.3
Fertilizer,II,26.0,66.0
Fertilizer,II,23.4,59.4
Fertilizer,II,33.7,85.6
Fertilizer,II,44.2,112.3
Fertilizer,II,49.6,126.0
Fertilizer,II,41.4,105.2
Fertilizer,II,36.4,92.5
Fertilizer,II,25.1,63.8
Fertilizer,III,34.1,86.6
Fertilizer,III,35.6,90.4
Fertilizer,III,28.7,72.9
Fertilizer,III,37.6,95.5
Fertilizer,III,36.8,93.5
Fertilizer,III,46.6,118.4
Fertilizer,III,55.4,140.7
Fertilizer,III,24.7,62.7
Fertilizer,III,45.6,115.8
Fertilizer,IV,30.8,78.2
Fertilizer,IV,25.7,65.3
Fertilizer,IV,28.3,71.9
Fertilizer,IV,32.5,82.6
Fertilizer,IV,31.4,79.8
Fertilizer,IV,19.5,49.5
Fertilizer,IV,17.8,45.2
Fertilizer,IV,17.5,44.5
Fertilizer,IV,27.8,70.6
Control,I,56.8,144.3
Control,I,44.8,113.8
Control,I,29.2,74.2
Control,I,66.1,167.9
Control,I,65.2,165.6
Control,I,48.2,122.4
Control,I,38.4,97.5
Control,I,61.8,157.0
Control,I,49.5,125.7
Control,III,48.6,123.4
Control,III,32.0,81.3
Control,III,35.8,90.9
Control,III,55.5,141.0
Control,III,79.0,200.7
Control,III,75.2,191.0
Control,III,63.7,161.8
Control,III,73.4,186.4
Control,III,53.3,135.4
Control,IV,142.6,362.2
Control,IV,78.2,198.6
Control,IV,35.9,91.2
Control,IV,77.2,196.1
Control,IV,85.3,216.7
Control,IV,57.6,146.3
Control,IV,95.9,243.6
Control,IV,61.0,154.9
Control,IV,94.0,238.8
Fertilizer,I,49.7,126.2
Fertilizer,I,37.3,94.7
Fertilizer,I,53.3,135.4
Fertilizer,I,19.8,50.3
Fertilizer,I,31.9,81.0
Fertilizer,I,27.9,70.9
Fertilizer,I,40.6,103.1
Fertilizer,I,41.8,106.2
Fertilizer,I,18.1,46.0
Fertilizer,II,80.1,203.5
Fertilizer,II,77.5,196.9
Fertilizer,II,89.7,227.8
Fertilizer,II,37.7,95.8
Fertilizer,II,46.2,117.3
Fertilizer,II,82.4,209.3
Fertilizer,II,64.6,164.1
Fertilizer,II,50.1,127.3
Fertilizer,II,50.0,127.0
Fertilizer,III,67.4,171.2
Fertilizer,III,41.7,105.9
Fertilizer,III,48.3,122.7
Fertilizer,III,25.6,65.0
Fertilizer,III,46.8,118.9
Fertilizer,III,43.9,111.5
Fertilizer,III,34.6,87.9
Fertilizer,III,46.3,117.6
Fertilizer,III,65.2,165.6
Fertilizer,IV,57.3,145.5
Fertilizer,IV,57.1,145.0
Fertilizer,IV,74.1,188.2
Fertilizer,IV,58.9,149.6
Fertilizer,IV,65.4,166.1
Fertilizer,IV,67.4,171.2
Fertilizer,IV,68.4,173.7
Fertilizer,IV,54.9,139.4
Fertilizer,IV,60.9,154.7
