Treatment,Block,Tuber_wt_g
N1,I,27.4
N1,I,14.8
N1,I,13.5
N1,II,33.8
N1,II,22.7
N1,III,2.6
N1,III,2.8
N1,III,8.0
N1,IV,4.8
N1,IV,5.3
N1,IV,2.7
N1,IV,5.6
N1,I,15.1
N1,I,12.0
N1,I,10.6
N1,I,22.4
N1,II,3.0
N1,II,5.6
N1,II,21.5
N1,II,4.5
N1,III,4.6
N1,IV,4.5
N1,IV,6.1
N1,IV,3.2
N1,IV,6.2
N0,I,5.5
N0,I,3.2
N0,I,5.9
N0,I,4.7
N0,II,10.7
N0,II,5.5
N0,II,9.3
N0,II,3.0
N0,III,21.7
N0,III,11.6
N0,III,4.5
N0,III,5.5
N0,IV,5.4
N0,IV,7.4
N0,IV,12.6
N0,IV,5.4
N0,I,11.6
N0,I,6.6
N0,I,4.0
N0,I,7.2
N0,II,3.5
N0,II,2.6
N0,II,4.8
N0,II,4.4
N0,III,5.4
N0,III,6.7
N0,IV,4.2
N0,IV,14.0
N0,IV,11.0
N0,IV,5.1
