Date,Days_from_sowing,Category,Temp
20/12/2018,1,MEAN,5.8
20/12/2018,1,MAX,12
20/12/2018,1,MIN,-0.5
21/12/2018,2,MEAN,4.3
21/12/2018,2,MAX,11.3
21/12/2018,2,MIN,-1.6
22/12/2018,3,MEAN,4.7
22/12/2018,3,MAX,12.4
22/12/2018,3,MIN,0.2
23/12/2018,4,MEAN,4.3
23/12/2018,4,MAX,6.5
23/12/2018,4,MIN,0.8
24/12/2018,5,MEAN,5.1
24/12/2018,5,MAX,6
24/12/2018,5,MIN,4.3
25/12/2018,6,MEAN,5
25/12/2018,6,MAX,6.2
25/12/2018,6,MIN,4.2
26/12/2018,7,MEAN,5
26/12/2018,7,MAX,6.2
26/12/2018,7,MIN,3.8
27/12/2018,8,MEAN,5.9
27/12/2018,8,MAX,6.9
27/12/2018,8,MIN,5.1
28/12/2018,9,MEAN,5.6
28/12/2018,9,MAX,6.8
28/12/2018,9,MIN,4.8
29/12/2018,10,MEAN,5.1
29/12/2018,10,MAX,5.8
29/12/2018,10,MIN,4.1
30/12/2018,11,MEAN,3.1
30/12/2018,11,MAX,5.5
30/12/2018,11,MIN,-1
31/12/2018,12,MEAN,1.9
31/12/2018,12,MAX,3
31/12/2018,12,MIN,1.1
1/1/2019,13,MEAN,0.9
1/1/2019,13,MAX,1.6
1/1/2019,13,MIN,0
2/1/2019,14,MEAN,2
2/1/2019,14,MAX,4.6
2/1/2019,14,MIN,0.1
3/1/2019,15,MEAN,1.7
3/1/2019,15,MAX,3.7
3/1/2019,15,MIN,0.5
4/1/2019,16,MEAN,-0.6
4/1/2019,16,MAX,1.2
4/1/2019,16,MIN,-3.7
5/1/2019,17,MEAN,-1.3
5/1/2019,17,MAX,1.3
5/1/2019,17,MIN,-3.5
6/1/2019,18,MEAN,-1.8
6/1/2019,18,MAX,4.2
6/1/2019,18,MIN,-5.4
7/1/2019,19,MEAN,0.4
7/1/2019,19,MAX,7
7/1/2019,19,MIN,-4.4
8/1/2019,20,MEAN,1.5
8/1/2019,20,MAX,7.7
8/1/2019,20,MIN,-4.4
9/1/2019,21,MEAN,4
9/1/2019,21,MAX,13.8
9/1/2019,21,MIN,-3.1
10/1/2019,22,MEAN,2.7
10/1/2019,22,MAX,9.9
10/1/2019,22,MIN,-3.6
11/1/2019,23,MEAN,1
11/1/2019,23,MAX,6.8
11/1/2019,23,MIN,-5.7
12/1/2019,24,MEAN,2.1
12/1/2019,24,MAX,9.4
12/1/2019,24,MIN,-5.2
13/01/2019,25,MEAN,5.2
13/01/2019,25,MAX,13.2
13/01/2019,25,MIN,-3.2
14/01/2019,26,MEAN,7.8
14/01/2019,26,MAX,15.2
14/01/2019,26,MIN,2.3
15/01/2019,27,MEAN,2.5
15/01/2019,27,MAX,9.2
15/01/2019,27,MIN,-2.2
16/01/2019,28,MEAN,3.8
16/01/2019,28,MAX,7.2
16/01/2019,28,MIN,-2.7
17/01/2019,29,MEAN,3.9
17/01/2019,29,MAX,5.1
17/01/2019,29,MIN,3.2
18/01/2019,30,MEAN,2.9
18/01/2019,30,MAX,4.6
18/01/2019,30,MIN,-2.1
19/01/2019,31,MEAN,0.4
19/01/2019,31,MAX,3.9
19/01/2019,31,MIN,-4
20/01/2019,32,MEAN,4.1
20/01/2019,32,MAX,9.7
20/01/2019,32,MIN,-0.7
21/01/2019,33,MEAN,3.9
21/01/2019,33,MAX,10
21/01/2019,33,MIN,-0.6
22/01/2019,34,MEAN,2.3
22/01/2019,34,MAX,6.4
22/01/2019,34,MIN,-4.7
23/01/2019,35,MEAN,5.5
23/01/2019,35,MAX,10.8
