Location,Season,Genotype,Reps,Iron_ton_ha,Stage,Fe
East,2021,CV1,1,21.7127,Vegetative,0.44
East,2021,CV1,2,8.734,Vegetative,0.3
East,2021,CV1,3,9.5003,Vegetative,0.31
East,2021,CV1,4,5.9481,Vegetative,0.37
East,2021,CV1,5,7.4608,Vegetative,0.3
East,2021,CV1,6,20.5326,Vegetative,0.33
East,2021,CV1,7,19.8532,Vegetative,0.29
East,2021,CV1,8,7.9718,Vegetative,0.35
East,2021,CV1,9,15.0087,Vegetative,0.38
East,2021,CV1,10,5.6608,Vegetative,0.4
East,2021,CV1,11,21.8885,Vegetative,0.41
East,2021,CV1,12,16.8896,Vegetative,0.41
East,2021,CV1,13,6.2757,Vegetative,0.38
East,2021,CV1,14,7.5574,Vegetative,0.36
East,2021,CV1,15,7.8064,Vegetative,0.34
East,2021,CV1,16,9.0884,Vegetative,0.26
East,2021,CV1,17,8.6052,Vegetative,0.38
East,2021,CV1,18,8.2875,Vegetative,0.36
East,2021,CV1,19,11.5893,Vegetative,0.35
East,2021,CV1,20,8.0175,Vegetative,0.45
East,2021,CV2,1,16.9369,Vegetative,0.36
East,2021,CV2,2,5.0475,Vegetative,0.44
East,2021,CV2,3,6.6257,Vegetative,0.34
East,2021,CV2,4,4.298,Vegetative,0.31
East,2021,CV2,5,3.0783,Vegetative,0.4
East,2021,CV2,6,17.407,Vegetative,0.45
East,2021,CV2,7,3.3106,Vegetative,0.28
East,2021,CV2,8,7.8296,Vegetative,0.36
East,2021,CV2,9,1.2931,Vegetative,0.32
East,2021,CV2,10,3.6554,Vegetative,0.32
East,2021,CV2,11,11.1033,Vegetative,0
East,2021,CV2,12,9.3645,Vegetative,0.39
East,2021,CV2,13,9.335,Vegetative,0.39
East,2021,CV2,14,8.8226,Vegetative,0.33
East,2021,CV2,15,7.7412,Vegetative,0.39
East,2021,CV2,16,9.0417,Vegetative,0.33
East,2021,CV2,17,7.2107,Vegetative,0.41
East,2021,CV2,18,4.9943,Vegetative,0.4
East,2021,CV2,19,8.1762,Vegetative,0.39
East,2021,CV2,20,6.5323,Vegetative,0.39
East,2021,CV3,1,19.8604,Vegetative,0.34
East,2021,CV3,3,8.5195,Vegetative,0.32
East,2021,CV3,4,6.6725,Vegetative,0.43
East,2021,CV3,5,9.2966,Vegetative,0.37
East,2021,CV3,6,16.4475,Vegetative,0.41
East,2021,CV3,7,25.3036,Vegetative,0.36
East,2021,CV3,8,7.9092,Vegetative,0.33
East,2021,CV3,9,6.2444,Vegetative,0.27
East,2021,CV3,10,8.1068,Vegetative,0.29
East,2021,CV3,11,8.3097,Vegetative,0.31
East,2021,CV3,12,27.3571,Vegetative,0.39
East,2021,CV3,13,7.2069,Vegetative,0.37
East,2021,CV3,14,19.0869,Vegetative,0.37
East,2021,CV3,15,8.1706,Vegetative,0.38
East,2021,CV3,16,5.0987,Vegetative,0.41
East,2021,CV3,17,10.8302,Vegetative,0.39
East,2021,CV3,18,8.1015,Vegetative,0.36
East,2021,CV3,19,5.5515,Vegetative,0.3
East,2021,CV3,20,9.1292,Vegetative,0.33
East,2021,CV4,1,24.5038,Vegetative,0.38
East,2021,CV4,2,9.2269,Vegetative,0.36
East,2021,CV4,3,2.3876,Vegetative,0.33
East,2021,CV4,4,3.3808,Vegetative,0.39
East,2021,CV4,5,3.8297,Vegetative,0.39
East,2021,CV4,6,0.7033,Vegetative,0.34
East,2021,CV4,7,9.8258,Vegetative,0.38
East,2021,CV4,8,12.6526,Vegetative,0.37
East,2021,CV4,9,12.0669,Vegetative,0.37
East,2021,CV4,10,9.2066,Vegetative,0.37
East,2021,CV4,11,12.0835,Vegetative,0.32
East,2021,CV4,12,7.423,Vegetative,0.41
East,2021,CV4,13,12.8626,Vegetative,0.36
East,2021,CV4,14,7.8124,Vegetative,0.38
East,2021,CV4,15,2.0709,Vegetative,0.41
East,2021,CV4,16,10.2201,Vegetative,0.49
East,2021,CV4,17,7.4638,Vegetative,0.46
East,2021,CV4,18,11.679,Vegetative,0.45
East,2021,CV4,19,10.8766,Vegetative,0.36
East,2021,CV4,20,8.0137,Vegetative,0.38
East,2021,CV5,1,15.6785,Vegetative,0.3
East,2021,CV5,2,4.5316,Vegetative,0.34
East,2021,CV5,3,3.4444,Vegetative,0.34
East,2021,CV5,4,6.1723,Vegetative,0.26
East,2021,CV5,5,22.8275,Vegetative,0.43
East,2021,CV5,6,18.1803,Vegetative,0.42
East,2021,CV5,7,3.8423,Vegetative,0.39
East,2021,CV5,8,5.3482,Vegetative,0.37
East,2021,CV5,9,4.5714,Vegetative,0.39
East,2021,CV5,10,13.3601,Vegetative,0.34
East,2021,CV5,11,8.9675,Vegetative,0.42
East,2021,CV5,12,7.3105,Vegetative,0.36
East,2021,CV5,13,6.124,Vegetative,0.39
East,2021,CV5,14,7.2898,Vegetative,0.36
East,2021,CV5,15,2.301,Vegetative,0.37
East,2021,CV5,16,9.642,Vegetative,0.4
East,2021,CV5,17,5.1692,Vegetative,0.39
East,2021,CV5,18,17.878,Vegetative,0.42
East,2021,CV5,19,16.6433,Vegetative,0.47
East,2021,CV5,20,15.186,Vegetative,0.46
East,2021,CV6,1,13.4026,Vegetative,0.35
East,2021,CV6,2,4.0009,Vegetative,0.33
East,2021,CV6,3,5.3791,Vegetative,0.36
East,2021,CV6,4,4.2936,Vegetative,0.32
East,2021,CV6,5,17.7228,Vegetative,0.3
East,2021,CV6,6,15.5804,Vegetative,0.49
East,2021,CV6,7,10.095,Vegetative,0.35
East,2021,CV6,8,2.2066,Vegetative,0.39
East,2021,CV6,9,5.4011,Vegetative,0.32
East,2021,CV6,10,10.0975,Vegetative,0.3
East,2021,CV6,11,5.8508,Vegetative,0.39
East,2021,CV6,12,10.6604,Vegetative,0.37
East,2021,CV6,13,8.4938,Vegetative,0.3
East,2021,CV6,14,5.4784,Vegetative,0.37
East,2021,CV6,15,8.0645,Vegetative,0.35
East,2021,CV6,16,2.7485,Vegetative,0.43
East,2021,CV6,17,7.0694,Vegetative,0.36
East,2021,CV6,18,26.8574,Vegetative,0.33
East,2021,CV6,19,35.4026,Vegetative,0.47
East,2021,CV6,20,8.6935,Vegetative,0.43
East,2021,CV7,1,13.6426,Vegetative,0.35
East,2021,CV7,2,4.484,Vegetative,0.29
East,2021,CV7,3,2.927,Vegetative,0.34
East,2021,CV7,4,2.0721,Vegetative,0.3
East,2021,CV7,5,12.4155,Vegetative,0.38
East,2021,CV7,6,9.1939,Vegetative,0.48
East,2021,CV7,7,9.7758,Vegetative,0.41
East,2021,CV7,8,3.4473,Vegetative,0.43
East,2021,CV7,9,8.2727,Vegetative,0.31
East,2021,CV7,10,6.4188,Vegetative,0.37
East,2021,CV7,11,7.1144,Vegetative,0.32
East,2021,CV7,12,7.1526,Vegetative,0.38
East,2021,CV7,13,7.335,Vegetative,0.41
East,2021,CV7,14,3.0495,Vegetative,0.43
East,2021,CV7,15,6.0528,Vegetative,0.35
East,2021,CV7,16,10.7678,Vegetative,0.47
East,2021,CV7,17,3.1894,Vegetative,0.3
East,2021,CV7,18,9.3059,Vegetative,0.37
East,2021,CV7,19,7.4625,Vegetative,0.37
East,2021,CV7,20,3.204,Vegetative,0.3
East,2021,CV8,1,13.2573,Vegetative,0.31
East,2021,CV8,2,3.6541,Vegetative,0.29
East,2021,CV8,3,2.0205,Vegetative,0.32
East,2021,CV8,4,8.0862,Vegetative,0.42
East,2021,CV8,5,16.7108,Vegetative,0.39
East,2021,CV8,6,13.0854,Vegetative,0.41
East,2021,CV8,7,6.8604,Vegetative,0.39
East,2021,CV8,8,6.6806,Vegetative,0.35
East,2021,CV8,9,4.8698,Vegetative,0.44
East,2021,CV8,10,7.9262,Vegetative,0.37
East,2021,CV8,11,0.7067,Vegetative,0.37
East,2021,CV8,12,13.5985,Vegetative,0.44
East,2021,CV8,13,8.3491,Vegetative,0.41
East,2021,CV8,14,7.3554,Vegetative,0.34
East,2021,CV8,15,4.1707,Vegetative,0.39
East,2021,CV8,16,6.0003,Vegetative,0.39
East,2021,CV8,17,2.9332,Vegetative,0.3
East,2021,CV8,18,8.043,Vegetative,0.35
East,2021,CV8,19,4.5451,Vegetative,0.35
East,2021,CV8,20,6.0978,Vegetative,0.37
East,2021,CV9,1,7.5833,Vegetative,0.36
East,2021,CV9,2,4.1246,Vegetative,0.32
East,2021,CV9,3,3.0873,Vegetative,0.39
East,2021,CV9,4,7.4287,Vegetative,0.37
East,2021,CV9,5,11.4825,Vegetative,0.36
East,2021,CV9,6,6.2228,Vegetative,0.36
East,2021,CV9,7,6.0621,Vegetative,0.32
East,2021,CV9,8,3.5002,Vegetative,0.33
East,2021,CV9,9,2.758,Vegetative,0.37
East,2021,CV9,10,7.6637,Vegetative,0.33
East,2021,CV9,11,3.484,Vegetative,0.34
East,2021,CV9,12,17.7713,Vegetative,0.37
East,2021,CV9,13,11.3318,Vegetative,0.37
East,2021,CV9,14,8.6392,Vegetative,0.37
East,2021,CV9,15,6.0482,Vegetative,0.37
East,2021,CV9,16,2.5544,Vegetative,0.37
East,2021,CV9,17,6.9769,Vegetative,0.36
East,2021,CV9,18,8.8261,Vegetative,0.35
East,2021,CV9,19,3.5171,Vegetative,0.37
East,2021,CV9,20,5.7769,Vegetative,0.37
East,2021,CV10,1,7.6309,Vegetative,0.33
East,2021,CV10,2,4.5352,Vegetative,0.42
East,2021,CV10,3,4.0771,Vegetative,0.43
East,2021,CV10,4,9.463,Vegetative,0.36
East,2021,CV10,5,6.9759,Vegetative,0.4
East,2021,CV10,6,5.0788,Vegetative,0.37
East,2021,CV10,7,1.9882,Vegetative,0.35
East,2021,CV10,8,12.7513,Vegetative,0.38
East,2021,CV10,9,7.3094,Vegetative,0.36
East,2021,CV10,10,10.2131,Vegetative,0.35
East,2021,CV10,11,13.0904,Vegetative,0.4
East,2021,CV10,12,5.4171,Vegetative,0.39
East,2021,CV10,13,1.9612,Vegetative,0.35
East,2021,CV10,14,2.9883,Vegetative,0.31
East,2021,CV10,15,2.1805,Vegetative,0.34
East,2021,CV10,16,5.8055,Vegetative,0.38
East,2021,CV10,17,3.1025,Vegetative,0.45
East,2021,CV10,18,1.334,Vegetative,0.34
East,2021,CV10,19,4.3791,Vegetative,0.33
East,2021,CV10,20,6.8661,Vegetative,0.42
East,2021,CV11,1,19.572,Vegetative,0.44
East,2021,CV11,2,19.6074,Vegetative,0.47
East,2021,CV11,3,33.9871,Vegetative,0.43
East,2021,CV11,4,6.9217,Vegetative,0.42
East,2021,CV11,5,7.0454,Vegetative,0.35
East,2021,CV11,6,26.1894,Vegetative,0.4
East,2021,CV11,7,7.2557,Vegetative,0.19
East,2021,CV11,8,6.9062,Vegetative,0.17
East,2021,CV11,9,3.9625,Vegetative,0.38
East,2021,CV11,10,3.4328,Vegetative,0.32
East,2021,CV11,11,10.2632,Vegetative,0.38
East,2021,CV11,12,7.0432,Vegetative,0.41
East,2021,CV11,13,9.7032,Vegetative,0.34
East,2021,CV11,14,4.8052,Vegetative,0.39
East,2021,CV11,15,10.0318,Vegetative,0.35
East,2021,CV11,16,5.9368,Vegetative,0.35
East,2021,CV11,17,11.835,Vegetative,0.48
East,2021,CV11,18,10.3492,Vegetative,0.44
East,2021,CV11,19,12.95,Vegetative,0.41
East,2021,CV11,20,12.7462,Vegetative,0.5
East,2021,CV12,1,32.0683,Vegetative,0.43
East,2021,CV12,2,10.0909,Vegetative,0.51
East,2021,CV12,7,16.1746,Vegetative,0.35
East,2021,CV12,8,8.8964,Vegetative,0.4
East,2021,CV12,9,10.2859,Vegetative,0.38
East,2021,CV12,10,8.2897,Vegetative,0.38
East,2021,CV12,11,18.9557,Vegetative,0.4
East,2021,CV12,12,9.8148,Vegetative,0.33
East,2021,CV12,13,10.6732,Vegetative,0.33
East,2021,CV12,14,6.3319,Vegetative,0.5
East,2022,CV1,1,30.7798,Vegetative,0.31
East,2022,CV1,2,10.1921,Vegetative,0.28
East,2022,CV1,3,9.467,Vegetative,0.25
East,2022,CV1,4,10.2436,Vegetative,0.26
East,2022,CV1,5,8.9765,Vegetative,0.25
East,2022,CV1,6,13.7787,Vegetative,0.31
East,2022,CV1,7,16.1602,Vegetative,0.28
East,2022,CV1,8,20.5788,Vegetative,0.26
East,2022,CV1,9,16.6087,Vegetative,0.33
East,2022,CV1,11,20.5253,Vegetative,0.31
East,2022,CV1,12,26.4724,Vegetative,0.3
East,2022,CV1,13,11.4903,Vegetative,0.22
East,2022,CV1,14,9.6292,Vegetative,0.29
East,2022,CV1,15,12.4825,Vegetative,0.29
East,2022,CV1,16,12.0276,Vegetative,0.26
East,2022,CV1,17,9.3776,Vegetative,0.29
East,2022,CV1,18,14.2534,Vegetative,0.28
East,2022,CV1,19,10.9744,Vegetative,0.3
East,2022,CV1,20,8.7529,Vegetative,0.31
East,2022,CV2,1,14.0833,Vegetative,0.28
East,2022,CV2,2,5.9382,Vegetative,0.3
East,2022,CV2,3,5.2621,Vegetative,0.27
East,2022,CV2,4,3.8301,Vegetative,0.25
East,2022,CV2,5,7.9534,Vegetative,0.28
East,2022,CV2,6,16.1864,Vegetative,0.3
East,2022,CV2,7,2.1515,Vegetative,0.28
East,2022,CV2,8,6.7499,Vegetative,0.26
East,2022,CV2,9,2.0457,Vegetative,0.31
East,2022,CV2,10,6.7845,Vegetative,0.27
East,2022,CV2,11,14.7909,Vegetative,0.34
East,2022,CV2,12,4.5766,Vegetative,0.32
East,2022,CV2,13,8.0416,Vegetative,0.26
East,2022,CV2,14,6.3894,Vegetative,0.28
East,2022,CV2,15,7.4073,Vegetative,0.25
East,2022,CV2,16,7.0342,Vegetative,0.27
East,2022,CV2,17,9.3155,Vegetative,0.32
East,2022,CV2,18,5.7451,Vegetative,0.3
East,2022,CV2,19,4.1004,Vegetative,0.29
East,2022,CV2,20,5.2751,Vegetative,0.31
East,2022,CV3,1,10.1057,Vegetative,0.32
